Paper number,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,565 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time
1,1,64,50,336.7,4467.95,12738.15,5454.55,8011.35,9553.6,3710.75,4148.2,15172.25,2136.65,2781.65,681.1,1117.3,624.4,516.95,262.5,198.55,209.5,b'White',12.5 mA,b'OK Read',14:49:13
1,1,64,50,33.2,32.1,29.2,35.75,56.75,29.1,29.55,52.25,34.35,88,57.4,27.25,49.75,81.25,1047,2322.55,1292.1,438.5,b'IR',12.5 mA,b'OK Read',14:49:14
1,1,64,50,20994.7,7290.75,2424.95,2065.6,851.45,264.95,171.95,122.75,57.3,185,31.3,77.55,18.1,17.1,17.5,11.4,48.8,63.35,b'UV',12.5 mA,b'OK Read',14:49:15
1,1,64,50,369.9,4495.45,12792.45,5490.35,8060.55,9576.2,3732.25,4195.25,15189.4,2161.45,2859.95,706.25,1162.5,705.65,1559.55,2579.35,1484.1,643.1,b'White IR',12.5 mA,b'OK Read',14:49:16
1,1,64,50,18618.75,10800.95,14900.15,7225.05,8741.7,9760.35,3847.8,4244.9,15189.4,2240.45,2859.95,746.05,1130.85,637.25,534.45,268.2,234.35,258.2,b'White UV',12.5 mA,b'OK Read',14:49:17
1,1,64,50,11026.15,3844.7,1097.7,1068.55,431.4,161.55,115.55,112.35,57.3,137.65,73.05,64.95,58.8,89.8,1051.4,2322.55,1308.35,467.7,b'UV IR',12.5 mA,b'OK Read',14:49:18
1,1,64,50,10997.7,8175.2,13961.05,6473.95,8446.55,9676.35,3807.5,4244.9,15189.4,2211.1,2828.6,741.9,1171.55,709.95,1563.95,2579.35,1503.65,672.35,b'White UV IR',12.5 mA,b'OK Read',14:49:19
1,1,64,50,687.65,9453.7,23218.35,9845.05,15496.7,18118.55,7023.8,7834.1,28505.9,4040.9,5182.3,1282.55,2098.85,1176.1,994.45,496.45,377.55,389.75,b'White',25 mA,b'OK Read',14:49:21
1,1,64,50,71.15,64.15,58.45,76,117.3,61.4,59.1,107.1,63,117.3,109.6,54.5,99.5,166.8,2129.05,4776.3,2756.7,959.8,b'IR',25 mA,b'OK Read',14:49:22
1,1,64,50,29753.95,10379.4,3547.65,3035.8,1248.8,390.95,252.6,177.65,80.2,245.95,26.1,113.15,27.15,25.65,26.3,17.1,68.35,87.7,b'UV',25 mA,b'OK Read',14:49:23
1,1,64,50,777.75,9792.8,23339.4,10144.6,15670.75,18625.8,7249.55,8121.45,29250.5,4117.65,5469.35,1364.3,2248.15,1372.85,3127.85,5284.2,3127.7,1354.45,b'White IR',25 mA,b'OK Read',14:49:24
1,1,64,50,27117.2,18916.6,26394.55,12724.35,16613.05,18871.35,7408.05,8171.05,29221.85,4216.9,5213.65,1408.3,2171.25,1227.45,1020.7,519.3,432.85,472.6,b'White UV',25 mA,b'OK Read',14:49:25
1,1,64,50,26458,9256.65,3163.65,2731.75,1207.2,400.6,279.45,261.2,131.75,288.8,135.7,153,122.15,188.2,2155.35,4787.75,2818.5,1037.75,b'UV IR',25 mA,b'OK Read',14:49:25
1,1,64,50,23811.7,17803.05,25993.85,12429.25,16582.8,18900.45,7434.95,8246.8,29296.3,4255.25,5485,1448.15,2270.75,1389.95,3127.85,5267.05,3176.55,1422.65,b'White UV IR',25 mA,b'OK Read',14:49:26
1,1,64,50,1517.6,21033.7,40610.2,18026.9,29396.4,35067.55,13582.8,15088.25,54549,7531.3,9717.5,2456.15,4030.35,2266.65,1870.6,947.25,706.25,740.55,b'White',50 mA,b'OK Read',14:49:28
1,1,64,50,142.25,123.75,121.05,152,238.4,119.55,120.9,216.8,120.3,194.05,229.65,109,203.55,329.3,4087.25,9227.35,5750.95,2104.75,b'IR',50 mA,b'OK Read',14:49:29
1,1,64,50,36805.95,12890.6,4478.4,3840.55,1574.25,494.3,319.75,227.25,97.35,297.8,41.75,142.5,31.65,29.95,35.05,22.85,81.35,107.2,b'UV',50 mA,b'OK Read',14:49:30
1,1,64,50,1508.1,19095.3,37801.3,16842.1,27224.2,32363.35,12583.25,14059.05,50356.45,7053,9133,2363.95,3908.2,2407.8,5786.95,10071.95,6388.85,2786.85,b'White IR',50 mA,b'OK Read',14:49:31
1,1,64,50,29379.3,30505.75,43690.4,20749.75,30236.5,35096.65,13690.3,15122.2,54125.15,7635.1,9962.8,2542.1,4025.8,2270.95,1879.35,953,758.35,813.65,b'White UV',50 mA,b'OK Read',14:49:32
1,1,64,50,27657.8,9705.75,3368.2,2928.5,1377.5,474.95,349.3,378.75,194.75,365.5,224.4,211.65,226.15,350.7,4091.6,9215.95,5806.3,2187.6,b'UV IR',50 mA,b'OK Read',14:49:33
1,1,64,50,12463.1,18820.35,38585.95,15067.15,26698.2,26454.15,10344.95,11551.3,41117.95,6849.9,8741.55,1990.9,3234.25,2031.45,5638,9820.85,6388.85,2708.9,b'White UV IR',50 mA,b'OK Read',14:49:34
