Leaf number,940 nm,led,led current,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,565 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time
1,24.35,b'White',12.5 mA,1,64,50,37.95,339.1,1126.9,366.6,692.55,1295.55,411.1,318.7,933.6,110.55,297.45,115.25,538.3,239.5,74.45,34.25,26.05,24.35,b'White',12.5 mA,b'OK Read',09:39:12
1,214.35,b'IR',12.5 mA,1,64,50,18.95,13.75,16.7,17.9,26.5,12.9,18.8,28.75,17.2,29.35,46.95,16.75,27.15,38.5,324.2,1004.35,589.1,214.35,b'IR',12.5 mA,b'OK Read',09:39:14
1,48.7,b'White',25 mA,1,64,50,75.9,733.2,2061.8,675.1,1347.2,2516.85,800.75,619.1,1798.45,212.1,621.05,238.9,1180.6,534.6,148.95,74.2,48.8,48.7,b'White',25 mA,b'OK Read',09:39:16
1,472.6,b'IR',25 mA,1,64,50,37.95,32.1,33.4,35.75,56.75,29.1,37.6,62.7,34.35,56.4,73.05,33.55,58.8,77,657.1,2065.75,1259.55,472.6,b'IR',25 mA,b'OK Read',09:39:16
1,92.55,b'White',50 mA,1,64,50,161.25,1580.95,3597.75,1211.65,2543.05,4742.9,1510.1,1162.45,3362.05,392.6,1309.95,507.15,2628.1,1206.05,302.25,154.05,87.9,92.55,b'White',50 mA,b'OK Read',09:39:19
1,1028,b'IR',50 mA,1,64,50,71.15,64.15,62.6,76,113.55,58.15,77.9,125.4,68.75,112.8,146.15,67.05,113.1,149.7,1261.65,4000.25,2620,1028,b'IR',50 mA,b'OK Read',09:39:20
1,112.05,b'White',100 mA,1,64,50,194.45,1901.75,4081.9,1394.95,2940.4,5502.1,1751.95,1347.9,3894.7,453.5,1529.1,618.25,3238.75,1496.85,368,188.3,104.15,112.05,b'White',100 mA,b'OK Read',09:39:22
1,2270.4,b'IR',100 mA,1,64,50,132.8,123.75,121.05,138.6,219.5,106.6,145.1,240.35,126,216.6,276.6,125.75,208.1,273.7,2212.3,6961.9,5295.3,2270.4,b'IR',100 mA,b'OK Read',09:39:23
1,26.8,b'White',12.5 mA,1,64,100,37.95,336.825,1129,366.625,690.625,1289.1,411.1,318.7,927.85,110.55,339.225,125.75,628.75,286.55,81.05,39.95,26.025,26.8,b'White',12.5 mA,b'OK Read',09:39:26
1,219.25,b'IR',12.5 mA,1,64,100,16.6,16.05,14.6,17.875,26.5,14.55,18.8,30.05,17.175,28.2,33.925,16.775,27.15,36.35,315.425,992.925,589.1,219.25,b'IR',12.5 mA,b'OK Read',09:39:27
1,48.725,b'White',25 mA,1,64,100,78.25,733.2,2065.975,677.35,1345.325,2507.125,798.05,616.475,1792.725,210.95,678.45,259.875,1341.175,613.725,159.9,82.75,48.825,48.725,b'White',25 mA,b'OK Read',09:39:29
1,477.475,b'IR',25 mA,1,64,100,35.575,32.075,31.3,38,54.875,29.075,38.95,61.375,34.375,57.525,73.075,33.525,56.55,76.975,646.15,2042.925,1259.55,477.475,b'IR',25 mA,b'OK Read',09:39:30
1,97.45,b'White',50 mA,1,64,100,163.625,1578.675,3612.35,1218.325,2543.05,4723.5,1504.725,1159.825,3350.6,393.725,1390.825,546.975,2876.875,1327.925,324.175,165.5,91.125,97.45,b'White',50 mA,b'OK Read',09:39:33
1,1042.625,b'IR',50 mA,1,64,100,71.125,64.15,62.6,73.775,111.625,56.55,76.575,124.075,68.725,112.8,159.175,67.075,110.825,147.55,1228.8,3903.225,2618.375,1042.625,b'IR',50 mA,b'OK Read',09:39:34
1,114.5,b'White',100 mA,1,64,100,199.175,1910.9,4113.2,1410.6,2947.975,5515.05,1757.3,1351.825,3900.45,455.75,1659.6,666.425,3489.8,1616.6,392.075,196.875,105.775,114.5,b'White',100 mA,b'OK Read',09:39:36
1,2314.25,b'IR',100 mA,1,64,100,130.425,119.15,116.875,136.375,213.825,103.375,141.075,236.4,123.15,213.225,274,123.65,199.025,258.75,2098.375,6616.65,5254.625,2314.25,b'IR',100 mA,b'OK Read',09:39:37
1,25.983,b'White',12.5 mA,1,64,150,37.933,337.583,1131.083,368.117,690,1288.033,410.217,317.817,927.867,110.55,334,132.733,667.95,306.5,86.15,43.75,27.117,25.983,b'White',12.5 mA,b'OK Read',09:39:39
1,219.25,b'IR',12.5 mA,1,64,150,17.383,15.283,15.3,17.883,26.483,14,18.817,29.6,17.183,28.583,34.8,16.767,27.133,37.067,312.5,985.317,589.083,219.25,b'IR',12.5 mA,b'OK Read',09:39:40
1,50.35,b'White',25 mA,1,64,150,79.033,733.2,2068.767,679.583,1344.683,2503.9,798.033,616.483,1790.8,211.333,666.267,268.95,1388.683,637.233,165,83.7,48.817,50.35,b'White',25 mA,b'OK Read',09:39:43
1,482.333,b'IR',25 mA,1,64,150,36.367,32.083,30.6,37.25,55.5,29.083,38.517,61.817,34.367,57.15,71.317,33.533,55.783,75.55,639.583,2025.8,1259.55,482.333,b'IR',25 mA,b'OK Read',09:39:44
1,97.45,b'White',50 mA,1,64,150,165.983,1574.85,3617.217,1220.567,2538,4705.183,1499.35,1155.483,3337.233,394.083,1405.617,560.95,2944.733,1361.433,331.483,167.383,91.133,97.45,b'White',50 mA,b'OK Read',09:39:46
1,1052.383,b'IR',50 mA,1,64,150,71.133,62.633,61.217,73.033,111,56,75.233,123.65,66.817,112.067,142.65,66.367,108.567,145.417,1207.633,3848.067,2617.817,1052.383,b'IR',50 mA,b'OK Read',09:39:47
1,115.3,b'White',100 mA,1,64,150,202.35,1917.017,4131.967,1420.283,2950.483,5517.2,1758.2,1354,3904.267,457.267,1682.217,681.1,3570.467,1653.667,400.117,201.633,107.4,115.3,b'White',100 mA,b'OK Read',09:39:50
1,2343.5,b'IR',100 mA,1,64,150,128.05,117.617,115.467,132.633,210.667,102.317,138.833,234.233,122.183,210.583,269.633,121.55,196.017,250.9,2023.9,6398.85,5223.7,2343.5,b'IR',100 mA,b'OK Read',09:39:51
1,26.8,b'White',12.5 mA,1,64,200,39.125,337.962,1131.075,368.85,690.638,1286.687,409.762,317.387,927.862,110.55,358.8,134.125,677.375,310.062,87.612,42.8,26.85,26.8,b'White',12.5 mA,b'OK Read',09:39:53
1,221.688,b'IR',12.5 mA,1,64,200,17.788,14.887,15.65,17.887,26.488,13.725,18.812,29.387,17.188,28.2,35.225,16.762,28.275,37.425,311.038,982.938,589.9,221.688,b'IR',12.5 mA,b'OK Read',09:39:54
1,51.163,b'White',25 mA,1,64,200,79.438,733.2,2069.113,680.7,1344.375,2500.675,796.7,615.837,1788.425,210.963,695.413,270.35,1402.25,642.575,167.562,84.175,49.638,51.163,b'White',25 mA,b'OK Read',09:39:56
1,483.562,b'IR',25 mA,1,64,200,35.562,32.075,31.3,36.888,55.812,28.275,38.288,61.388,34.362,56.975,83.5,33.538,55.413,75.912,634.112,2012.963,1259.55,483.562,b'IR',25 mA,b'OK Read',09:39:57
1,97.438,b'White',50 mA,1,64,200,167.175,1570.65,3621.738,1222.812,2534.537,4692.8,1495.312,1152,3327.7,393.712,1358.2,561.65,2974.125,1371.763,334.038,168.338,91.125,97.438,b'White',50 mA,b'OK Read',09:40:00
1,1059.688,b'IR',50 mA,1,64,200,69.95,63.013,61.562,72.65,110.688,55.737,75.237,123.425,65.862,111.688,156.562,66.013,107.425,144.338,1189.375,3804.787,2612.662,1059.688,b'IR',50 mA,b'OK Read',09:40:01
1,115.713,b'White',100 mA,1,64,200,205.113,1917.775,4143.45,1428.475,2949.863,5516.663,1757.975,1353.787,3903.312,457.45,1689.6,683.725,3600.625,1664.725,400.837,201.15,107.4,115.713,b'White',100 mA,b'OK Read',09:40:03
1,2361.762,b'IR',100 mA,1,64,200,126.862,116.85,113.737,130.775,209.088,100.15,137.713,232.488,120.275,208.7,288.337,120.5,193.375,246.988,1970.237,6255.725,5197.675,2361.762,b'IR',100 mA,b'OK Read',09:40:05
1,26.31,b'White',12.5 mA,1,64,250,38.89,337.27,1131.08,369.3,690.26,1286.52,409.5,317.12,926.71,110.56,337.14,134.13,676.7,309.64,87.61,43.37,27.34,26.31,b'White',12.5 mA,b'OK Read',09:40:07
1,221.19,b'IR',12.5 mA,1,64,250,17.07,15.58,15.03,17.88,26.49,14.22,18.27,29.78,17.18,28.43,45.93,16.35,28.05,36.78,309.28,979.23,589.74,221.19,b'IR',12.5 mA,b'OK Read',09:40:08
1,50.67,b'White',25 mA,1,64,250,79.67,731.37,2068.49,681.37,1342.67,2497.44,795.89,614.92,1785.84,211.18,694.11,269.51,1403.16,641.51,167.34,83.31,49.47,50.67,b'White',25 mA,b'OK Read',09:40:10
1,485.26,b'IR',25 mA,1,64,250,36.04,32.08,30.89,37.56,55.25,28.43,38.16,61.65,34.37,56.86,72.02,33.53,55.19,75.27,628.2,2004.11,1260.2,485.26,b'IR',25 mA,b'OK Read',09:40:12
1,98.42,b'White',50 mA,1,64,250,166.93,1567.22,3623.62,1225.04,2530.18,4681.49,1492.36,1149.9,3319.68,393.04,1407,565.84,2974.58,1371.98,333.81,167.77,91.78,98.42,b'White',50 mA,b'OK Read',09:40:14
1,1066.02,b'IR',50 mA,1,64,250,70.19,62.32,60.94,72.43,110.5,55.57,74.7,123.3,66.44,111.46,141.95,65.81,107.66,142.84,1173.16,3771.98,2613.48,1066.02,b'IR',50 mA,b'OK Read',09:40:15
1,116.93,b'White',100 mA,1,64,250,206.77,1920.99,4154.51,1436.07,2950.24,5520.86,1759.99,1355.75,3905.03,458.02,1679.43,693.68,3600.62,1666.22,402.15,202.01,107.4,116.93,b'White',100 mA,b'OK Read',09:40:18
1,2376.62,b'IR',100 mA,1,64,250,125.2,116.4,113.52,129.66,206.62,100.16,136.5,231.44,119.13,207.12,281.82,119.46,191.79,242.92,1921.4,6145.87,5176.84,2376.62,b'IR',100 mA,b'OK Read',09:40:19
1,24.35,b'White',12.5 mA,2,64,50,33.2,274.95,976.65,286.15,597.9,1218.05,411.1,337,985.15,128.6,323.55,113.15,579,260.9,74.45,39.95,22.8,24.35,b'White',12.5 mA,b'OK Read',09:43:36
1,219.25,b'IR',12.5 mA,2,64,50,18.95,13.75,16.7,17.9,26.5,12.9,18.8,28.75,17.2,29.35,46.95,16.75,27.15,38.5,328.55,1032.85,592.35,219.25,b'IR',12.5 mA,b'OK Read',09:43:38
1,43.85,b'White',25 mA,2,64,50,66.4,595.75,1786.35,523.1,1165.55,2371.45,798.05,650.45,1907.25,245.95,647.15,236.8,1298.2,581.65,157.7,79.9,42.3,43.85,b'White',25 mA,b'OK Read',09:43:40
1,482.35,b'IR',25 mA,2,64,50,37.95,32.1,29.2,35.75,53,29.1,37.6,62.7,34.35,56.4,83.5,33.55,58.8,77,670.25,2134.2,1269.3,482.35,b'IR',25 mA,b'OK Read',09:43:41
1,87.7,b'White',50 mA,2,64,50,142.25,1278.5,3096.9,934.45,2183.55,4452.1,1499.35,1219.9,3551.05,453.5,1393.45,498.8,2831.65,1278.75,319.8,165.5,81.35,87.7,b'White',50 mA,b'OK Read',09:43:43
1,1047.5,b'IR',50 mA,2,64,50,71.15,64.15,62.6,71.55,109.75,54.9,77.9,125.4,68.75,112.8,161.8,67.05,113.1,149.7,1287.95,4131.5,2642.75,1047.5,b'IR',50 mA,b'OK Read',09:43:44
1,102.3,b'White',100 mA,2,64,50,166,1525.95,3505.9,1068.55,2520.35,5140.25,1733.1,1405.4,4089.45,521.2,1664.8,605.65,3428.75,1548.2,385.5,194,94.4,102.3,b'White',100 mA,b'OK Read',09:43:46
1,2309.4,b'IR',100 mA,2,64,50,132.8,119.15,116.85,134.15,211.9,103.4,145.1,240.35,131.75,216.6,281.8,125.75,208.1,273.7,2251.7,7190.15,5331.1,2309.4,b'IR',100 mA,b'OK Read',09:43:47
1,24.35,b'White',12.5 mA,2,64,100,33.2,274.95,976.65,286.15,597.925,1214.8,408.425,335.675,985.125,127.475,365.325,124.7,692.075,310.075,85.425,42.8,24.4,24.35,b'White',12.5 mA,b'OK Read',09:43:49
1,221.675,b'IR',12.5 mA,2,64,100,16.6,16.05,14.6,17.875,26.5,12.925,18.8,30.05,17.175,28.2,46.975,15.725,27.15,36.35,319.8,1024.3,592.35,221.675,b'IR',12.5 mA,b'OK Read',09:43:50
1,46.275,b'White',25 mA,2,64,100,68.775,595.725,1786.35,525.35,1163.675,2361.75,795.35,649.15,1901.55,243.675,699.325,257.775,1447.475,650.075,170.85,85.6,43.95,46.275,b'White',25 mA,b'OK Read',09:43:52
1,487.225,b'IR',25 mA,2,64,100,35.575,32.075,31.3,35.775,54.875,27.45,37.625,61.375,34.375,57.525,86.1,33.525,56.55,76.975,659.3,2108.55,1269.3,487.225,b'IR',25 mA,b'OK Read',09:43:53
1,87.7,b'White',50 mA,2,64,100,142.275,1278.525,3111.5,941.125,2185.425,4439.175,1495.325,1216,3545.35,452.375,1469.1,534.4,3039.725,1377.1,341.7,174.05,81.375,87.7,b'White',50 mA,b'OK Read',09:43:56
