Leaf number,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,565 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time
1,1,64,50,37.95,527,2224.6,527.55,1305.6,2151.75,260.65,316.1,2159.3,151.15,307.9,73.35,438.75,213.85,100.75,39.95,22.8,24.35,b'White',12.5 mA,b'OK Read',10:17:10
1,1,64,50,9.5,9.15,8.35,13.4,15.15,6.45,13.45,20.9,17.2,27.05,31.3,12.55,22.6,34.2,420.55,924.45,377.55,170.5,b'IR',12.5 mA,b'OK Read',10:17:11
1,1,64,50,2978.25,449.1,29.2,22.35,11.35,9.7,13.45,10.45,5.75,22.55,15.65,10.5,13.55,4.3,4.4,0,3.25,4.85,b'UV',12.5 mA,b'OK Read',10:17:12
1,1,64,50,47.4,531.55,2149.45,541,1320.7,2158.2,274.05,337,2170.75,176,313.15,83.85,456.85,243.75,521.3,964.4,397.05,199.75,b'White IR',12.5 mA,b'OK Read',10:17:13
1,1,64,50,2812.25,948.6,2170.35,549.95,1309.35,2154.95,271.4,326.55,2153.55,169.2,302.7,81.75,443.3,218.1,105.15,39.95,26.05,29.25,b'White UV',12.5 mA,b'OK Read',10:17:14
1,1,64,50,2788.55,430.75,33.4,31.3,26.5,12.9,26.85,31.35,17.2,45.1,36.55,20.95,31.65,38.5,420.55,924.45,380.8,175.4,b'UV IR',12.5 mA,b'OK Read',10:17:15
1,1,64,50,2627.3,930.25,2174.5,558.85,1328.3,2161.45,284.8,344.8,2170.75,191.8,334,92.2,465.9,248.05,521.3,964.4,400.3,204.65,b'White UV IR',12.5 mA,b'OK Read',10:17:16
1,1,64,50,80.6,1141.05,3902.4,974.65,2527.9,4180.7,505.15,613.85,4152.45,288.8,537.55,140.4,836.85,406.3,192.75,79.9,42.3,48.7,b'White',25 mA,b'OK Read',10:17:18
1,1,64,50,18.95,13.75,12.5,22.35,34.05,12.9,26.85,44.4,34.35,54.15,67.85,25.15,49.75,68.45,858.65,1900.25,807.15,375.15,b'IR',25 mA,b'OK Read',10:17:19
1,1,64,50,3988.4,591.15,41.75,31.3,15.15,12.9,18.8,15.65,5.75,29.35,5.2,12.55,13.55,8.55,4.4,0,6.5,9.75,b'UV',25 mA,b'OK Read',10:17:20
