Leaf number,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,565 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time
1,1,64,50,47.4,412.45,1485.85,505.2,976.35,1867.45,986.15,882.95,2468.55,302.35,370.55,150.9,479.5,256.6,122.65,51.35,35.8,34.1,b'White',12.5 mA,b'OK Read',9:42:11
1,1,64,50,14.25,13.75,12.5,17.9,26.5,12.9,18.8,31.35,17.2,33.85,36.55,16.75,27.15,42.75,464.35,1038.6,589.1,224.1,b'IR',12.5 mA,b'OK Read',9:42:12
1,1,64,50,2537.2,412.45,29.2,22.35,15.15,9.7,16.1,13.05,5.75,22.55,5.2,12.55,18.1,8.55,4.4,0,6.5,4.85,b'UV',12.5 mA,b'OK Read',9:42:14
1,1,64,50,61.65,426.15,1510.9,523.1,999.05,1880.35,1002.25,914.3,2480,327.15,407.05,167.65,506.6,299.35,587,1089.95,621.65,258.2,b'White IR',12.5 mA,b'OK Read',9:42:15
1,1,64,50,2409.15,801.95,1523.4,527.55,987.7,1873.9,996.9,893.4,2468.55,313.6,354.9,165.55,502.1,273.7,127.05,51.35,39.05,39,b'White UV',12.5 mA,b'OK Read',9:42:16
1,1,64,50,2375.95,398.7,41.75,40.25,37.85,19.4,32.25,41.8,22.9,47.4,52.2,29.35,45.25,51.3,464.35,1038.6,592.35,233.85,b'UV IR',12.5 mA,b'OK Read',9:42:17
1,1,64,50,2252.65,788.2,1531.75,541,1010.4,1883.6,1013,922.1,2485.75,338.45,391.4,180.25,533.75,312.2,587,1084.25,624.9,263.1,b'White UV IR',12.5 mA,b'OK Read',9:42:18
1,1,64,50,94.85,898.15,2737.95,934.45,1892.15,3631.45,1910.45,1711,4748.1,573.1,720.2,299.7,968,521.75,240.95,102.7,68.35,68.2,b'White',25 mA,b'OK Read',9:42:20
1,1,64,50,33.2,27.5,29.2,35.75,53,25.85,40.3,62.7,40.1,63.15,73.05,33.55,58.8,85.55,946.25,2139.95,1259.55,496.95,b'IR',25 mA,b'OK Read',9:42:21
1,1,64,50,3414.55,540.75,37.55,31.3,18.9,12.9,18.8,15.65,5.75,29.35,10.45,18.85,27.15,17.1,8.75,5.7,6.5,9.75,b'UV',25 mA,b'OK Read',9:42:22
1,1,64,50,128.05,921.1,2758.8,970.2,1945.15,3654.1,1945.4,1768.5,4788.2,625,793.25,331.1,1017.75,603,1182.8,2231.25,1324.65,560.3,b'White IR',25 mA,b'OK Read',9:42:24
1,1,64,50,3025.65,1365.6,2771.35,961.25,1903.5,3634.7,1923.9,1721.45,4748.1,588.9,704.55,318.55,1017.75,551.7,249.7,102.7,71.6,73.1,b'White UV',25 mA,b'OK Read',9:42:25
1,1,64,50,2954.55,499.5,58.45,62.6,68.1,35.55,53.75,75.75,40.1,81.2,93.95,50.3,81.4,98.35,950.6,2134.2,1262.8,501.85,b'UV IR',25 mA,b'OK Read',9:42:26
1,1,64,50,2575.15,1319.75,2788.05,992.55,1956.5,3657.3,1956.15,1778.95,4782.5,640.75,808.9,350,1063,628.7,1182.8,2225.5,1327.9,570.05,b'White UV IR',25 mA,b'OK Read',9:42:27
1,1,64,50,194.45,1915.5,4753.85,1663.2,3553.45,6830,3592.5,3200,8843.3,1058.15,1372.55,574.2,1931.5,1052.1,460,188.3,126.95,126.7,b'White',50 mA,b'OK Read',9:42:29
1,1,64,50,66.4,55,54.25,76,105.95,51.7,77.9,128,74.45,119.6,146.15,67.05,113.1,162.5,1818,4131.5,2620,1076.75,b'IR',50 mA,b'OK Read',9:42:30
1,1,64,50,4182.8,650.7,45.9,35.75,22.7,12.9,24.2,20.9,5.75,36.1,26.1,25.15,36.2,21.4,8.75,5.7,9.75,9.75,b'UV',50 mA,b'OK Read',9:42:31
1,1,64,50,232.4,1668.05,4248.85,1538,3186.4,5986.75,3189.45,2904.8,7772.25,1026.6,1268.2,559.55,1755.1,1056.35,2199.15,4274.15,2724.15,1183.95,b'White IR',50 mA,b'OK Read',9:42:32
1,1,64,50,3220.1,2332.5,4666.2,1649.8,3451.3,6629.7,3498.5,3119,8585.55,1042.4,1356.9,584.7,1954.1,1069.2,455.6,188.3,126.95,126.7,b'White UV',50 mA,b'OK Read',9:42:33
1,1,64,50,3020.9,531.55,87.65,98.35,124.9,61.4,94.05,141.05,80.2,137.65,172.2,83.85,140.25,179.6,1813.65,4120.05,2623.25,1081.6,b'UV IR',50 mA,b'OK Read',9:42:34
1,1,64,50,2233.7,1952.15,4186.25,1524.6,3114.5,5834.9,3116.9,2839.5,7577.5,1015.3,1262.95,567.95,1777.7,1073.45,2168.45,4239.9,2720.9,1188.8,b'White UV IR',50 mA,b'OK Read',9:42:35
1,1,64,50,232.4,2309.6,5413.3,1922.5,4117.3,7938.2,4175.6,3717.2,10258,1220.6,1617.85,681.1,2329.55,1274.45,543.2,222.55,146.45,146.15,b'White',100 mA,b'OK Read',9:42:37
1,1,64,50,128.05,105.4,104.35,138.6,208.15,100.15,145.1,245.55,137.45,223.35,297.45,123.65,208.1,295.1,3167.3,7167.35,5279.05,2367.85,b'IR',100 mA,b'OK Read',9:42:38
1,1,64,50,4751.9,733.2,54.25,44.7,26.5,16.15,29.55,23.5,5.75,40.6,15.65,29.35,40.7,25.65,8.75,5.7,9.75,9.75,b'UV',100 mA,b'OK Read',9:42:39
1,1,64,50,284.55,1663.45,4194.6,1564.85,3193.95,5864,3162.6,2933.55,7623.35,1103.3,1435.2,607.75,1822.95,1171.85,3522.1,7287.15,5376.7,2470.15,b'White IR',100 mA,b'OK Read',9:42:40
1,1,64,50,3414.55,2703.7,5271.4,1882.25,3973.5,7640.95,4030.5,3589.2,9874.25,1195.8,1565.65,674.8,2275.25,1244.55,530.05,216.85,146.45,146.15,b'White UV',100 mA,b'OK Read',9:42:41
1,1,64,50,2105.65,439.9,129.4,156.5,219.5,106.6,155.85,253.4,143.2,234.65,302.7,136.2,230.7,303.65,3141,7127.4,5275.8,2377.6,b'UV IR',100 mA,b'OK Read',9:42:42
