Fruit number,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,565 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time
1A,1,64,50,80.6,352.85,1360.65,536.5,1805.1,3589.45,1203.8,1120.65,4725.2,345.2,422.75,249.4,791.6,453.35,276,136.95,74.85,58.45,b'White',12.5 mA,b'OK Read',10:55:53
1A,1,64,50,47.4,41.25,45.9,31.3,53,74.3,34.95,47,40.1,40.6,52.2,39.8,190,230.95,635.2,1004.35,670.45,204.65,b'IR',12.5 mA,b'OK Read',10:55:54
1A,1,64,50,2522.95,458.25,62.6,49.2,45.4,84,34.95,36.55,28.65,29.35,36.55,50.3,194.5,209.55,162.1,97,45.55,24.35,b'UV',12.5 mA,b'OK Read',10:55:55
1A,1,64,50,104.35,380.35,1394,563.35,1846.75,3628.25,1230.65,1159.85,4736.65,376.8,469.7,280.8,886.6,538.85,797.3,1067.1,722.55,253.35,b'White IR',12.5 mA,b'OK Read',10:55:56
1A,1,64,50,2513.5,783.6,1398.2,581.25,1831.6,3621.75,1230.65,1146.75,4730.95,363.25,459.25,305.95,940.85,538.85,319.8,159.8,91.15,73.1,b'White UV',12.5 mA,b'OK Read',10:55:57
1A,1,64,50,2489.75,462.85,75.15,67.05,71.9,96.95,56.45,65.3,51.55,56.4,62.65,69.15,230.7,256.6,648.35,1010.05,683.5,214.35,b'UV IR',12.5 mA,b'OK Read',10:55:58
1A,1,64,50,2451.85,788.2,1419.05,594.65,1861.85,3637.95,1244.1,1172.9,4742.4,390.35,506.25,314.35,931.8,564.55,801.7,1067.1,725.8,263.1,b'White UV IR',12.5 mA,b'OK Read',10:55:59
1A,1,64,50,147,751.55,2495.9,1001.5,3515.6,6968.95,2337.7,2170.75,9078.15,661.1,887.2,507.15,1578.65,825.4,464.35,211.15,130.2,107.2,b'White',25 mA,b'OK Read',10:56:00
1A,1,64,50,66.4,59.55,62.6,49.2,83.25,93.7,61.8,83.6,63,72.2,93.95,60.8,226.15,282.25,1152.15,1974.45,1402.75,428.75,b'IR',25 mA,b'OK Read',10:56:01
1A,1,64,50,3523.6,609.45,75.15,67.05,53,90.45,45.7,44.4,34.35,36.1,46.95,62.85,212.6,218.1,162.1,97,48.8,24.35,b'UV',25 mA,b'OK Read',10:56:02
1A,1,64,50,180.2,779.05,2529.25,1037.25,3572.35,6998,2369.95,2225.6,9106.75,715.25,897.65,534.4,1632.95,906.65,1454.4,2088.55,1487.35,521.3,b'White IR',25 mA,b'OK Read',10:56:03
1A,1,64,50,3371.85,1292.25,2537.6,1050.7,3530.75,6978.6,2351.15,2183.85,9060.95,676.85,934.15,563.75,1678.2,868.2,473.1,216.85,136.7,116.95,b'White UV',25 mA,b'OK Read',10:56:03
1A,1,64,50,3291.25,600.3,100.15,98.35,109.75,116.3,80.6,101.9,68.75,90.25,114.8,96.4,271.4,303.65,1156.5,1968.75,1406,438.5,b'UV IR',25 mA,b'OK Read',10:56:04
1A,1,64,50,3134.75,1283.1,2558.5,1077.5,3583.75,7010.95,2383.35,2236.05,9106.75,728.75,975.9,582.6,1705.3,936.6,1450.05,2082.85,1493.9,531.05,b'White UV IR',25 mA,b'OK Read',10:56:05
1A,1,64,50,256.1,1562.65,4344.85,1792.85,6630.1,13104.3,4390.55,4059.4,16924.85,1222.9,1763.95,966.1,2971.85,1454.1,740.35,319.55,208.3,190,b'White',50 mA,b'OK Read',10:56:07
1A,1,64,50,99.6,87.05,91.8,84.95,140,119.55,99.4,143.65,103.1,128.6,161.8,96.4,289.5,363.5,2067.7,3714.9,2867.35,911.1,b'IR',50 mA,b'OK Read',10:56:07
1A,1,64,50,4396.25,737.8,83.45,80.5,60.55,96.95,51.05,49.65,34.35,42.85,41.75,73.35,226.15,226.65,166.45,102.7,48.8,29.25,b'UV',50 mA,b'OK Read',10:56:08
1A,1,64,50,317.75,1613.05,4394.9,1859.9,6732.25,13146.3,4441.6,4158.65,16976.4,1326.65,1795.3,1035.3,3121.15,1633.7,2632.85,3926.05,3039.85,1081.6,b'White IR',50 mA,b'OK Read',10:56:09
1A,1,64,50,3955.2,2167.55,4407.45,1846.5,6641.45,13091.35,4395.95,4067.25,16913.4,1240.95,1842.25,1045.75,3098.5,1513.95,757.85,325.25,218.05,204.65,b'White UV',50 mA,b'OK Read',10:56:10
1A,1,64,50,3779.7,696.55,133.55,138.6,170.3,145.4,118.25,161.95,108.8,148.9,193.1,136.2,339.25,384.9,2063.35,3703.5,2883.6,920.85,b'UV IR',50 mA,b'OK Read',10:56:11
1A,1,64,50,3338.65,2107.95,4407.45,1891.2,6671.7,13042.9,4420.1,4140.4,16873.3,1328.9,1837.05,1077.2,3152.8,1642.25,2606.55,3891.8,3036.6,1096.25,b'White UV IR',50 mA,b'OK Read',10:56:12
1A,1,64,50,327.25,2098.8,5384.1,2262.3,8450.35,16787.45,5618.5,5193.1,21661.5,1550.05,2285.85,1242.75,3813.2,1839,911.2,388.05,253.85,238.75,b'White',100 mA,b'OK Read',10:56:13
1A,1,64,50,151.75,137.5,146.1,147.55,246,168,161.2,250.75,166.1,230.15,292.25,155.1,389,491.85,3487.1,6362.7,5734.7,1963.45,b'IR',100 mA,b'OK Read',10:56:14
1A,1,64,50,5036.45,838.6,91.8,89.4,68.1,103.4,53.75,52.25,34.35,47.4,41.75,81.75,235.2,230.95,170.85,102.7,52.05,29.25,b'UV',100 mA,b'OK Read',10:56:15
1A,1,64,50,393.6,1828.4,4766.4,2065.6,7375.6,14354.65,4882.3,4618.45,18591.55,1522.95,2071.9,1167.3,3455.85,1864.65,4069.7,6568.15,5897.4,2148.6,b'White IR',100 mA,b'OK Read',10:56:16
1A,1,64,50,4306.1,2676.2,5292.25,2253.35,8208.15,16299.6,5470.75,5057.3,21042.95,1525.2,2291.05,1282.55,3817.75,1839,902.45,382.35,257.1,243.6,b'White UV',100 mA,b'OK Read',10:56:16
1A,1,64,50,3552.1,705.7,183.65,192.25,272.45,190.6,177.35,266.45,177.55,248.2,318.35,190.7,434.25,508.95,3456.4,6322.75,5724.9,1978.1,b'UV IR',100 mA,b'OK Read',10:56:17
1A,1,64,50,2978.25,2231.7,4728.8,2065.6,7231.8,14073.55,4796.3,4537.45,18230.75,1509.4,2144.95,1184.05,3424.2,1843.3,3951.45,6436.9,5868.15,2168.1,b'White UV IR',100 mA,b'OK Read',10:56:18
1A,1,64,100,90.1,366.6,1385.675,547.7,1805.1,3589.475,1207.8,1127.175,4705.175,348.6,456.65,266.15,848.125,502.525,315.425,156.925,86.25,63.35,b'White',12.5 mA,b'OK Read',10:56:20
1A,1,64,100,47.425,43.525,45.9,31.3,52.975,79.15,44.325,53.55,42.95,42.875,41.75,44,199.025,241.625,630.825,992.925,678.6,209.5,b'IR',12.5 mA,b'OK Read',10:56:21
1A,1,64,100,2525.35,458.25,62.6,51.425,45.4,82.375,38.95,39.175,31.5,30.45,36.525,51.35,196.775,215.975,164.275,99.875,47.2,24.35,b'UV',12.5 mA,b'OK Read',10:56:21
1A,1,64,100,104.325,380.35,1398.2,561.1,1842.95,3620.15,1229.3,1158.525,4745.25,375.675,467.075,278.725,863.975,534.6,792.925,1055.7,724.15,255.775,b'White IR',12.5 mA,b'OK Read',10:56:22
1A,1,64,100,2541.95,788.2,1410.725,579,1833.5,3618.55,1225.275,1142.85,4725.225,363.25,454.05,289.2,873.025,513.2,319.8,159.775,91.125,70.65,b'White UV',12.5 mA,b'OK Read',10:56:23
