,Leaf number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,LED current,saturation check,time,Total Chlorophyll (µg/mg),Total Chlorophyll (µg/mg) std,Chlorophyll a (µg/mg),Chlorophyll a (µg/mg) std,Chlorophyll b (µg/mg),Chlorophyll b (µg/mg) std,Total Chlorophyll (µg/cm2),Total Chlorophyll (µg/cm2) std,Chlorophyll a (µg/cm2),Chlorophyll a (µg/cm2) std,Chlorophyll b (µg/cm2),Chlorophyll b (µg/cm2) std
0,1,1,64,50,3623.367,2697.8559999999998,5308.4619999999995,5164.939,3799.4590000000003,1347.971,White LED,12.5 mA,b'OK Read',11:05:52,2.218415293,0.03841484574853903,1.7612315036666668,0.02636505562082707,0.4571837893333333,0.012255897900084701,40.006463733333334,0.20120467937669825,31.762765950000002,0.22386387410283254,8.243697782666667,0.06242325588902183
1,1,1,64,50,7076.43,5249.553000000001,10418.327,10130.128,7414.845,2659.261,White LED,25 mA,b'OK Read',11:05:53,2.218415293,0.03841484574853903,1.7612315036666668,0.02636505562082707,0.4571837893333333,0.012255897900084701,40.006463733333334,0.20120467937669825,31.762765950000002,0.22386387410283254,8.243697782666667,0.06242325588902183
2,1,1,64,50,13418.788999999999,9884.021,19768.518,19194.928,14003.721000000001,5052.597,White LED,50 mA,b'OK Read',11:05:54,2.218415293,0.03841484574853903,1.7612315036666668,0.02636505562082707,0.4571837893333333,0.012255897900084701,40.006463733333334,0.20120467937669825,31.762765950000002,0.22386387410283254,8.243697782666667,0.06242325588902183
3,1,1,64,50,16137.782,11832.81,23820.984,23123.325,16859.215,6075.036999999999,White LED,100 mA,b'OK Read',11:05:55,2.218415293,0.03841484574853903,1.7612315036666668,0.02636505562082707,0.4571837893333333,0.012255897900084701,40.006463733333334,0.20120467937669825,31.762765950000002,0.22386387410283254,8.243697782666667,0.06242325588902183
4,1,1,64,100,3623.367,2682.632,5276.257,5134.025,3780.58,1352.555,White LED,12.5 mA,b'OK Read',11:05:56,2.218415293,0.03841484574853903,1.7612315036666668,0.02636505562082707,0.4571837893333333,0.012255897900084701,40.006463733333334,0.20120467937669825,31.762765950000002,0.22386387410283254,8.243697782666667,0.06242325588902183
5,1,1,64,100,7076.43,5219.104,10359.283000000001,10073.056999999999,7386.526,2643.2140000000004,White LED,25 mA,b'OK Read',11:05:57,2.218415293,0.03841484574853903,1.7612315036666668,0.02636505562082707,0.4571837893333333,0.012255897900084701,40.006463733333334,0.20120467937669825,31.762765950000002,0.22386387410283254,8.243697782666667,0.06242325588902183
6,1,1,64,100,13404.108,9807.895,19591.391,19030.849,13911.684,4999.87,White LED,50 mA,b'OK Read',11:05:58,2.218415293,0.03841484574853903,1.7612315036666668,0.02636505562082707,0.4571837893333333,0.012255897900084701,40.006463733333334,0.20120467937669825,31.762765950000002,0.22386387410283254,8.243697782666667,0.06242325588902183
7,1,1,64,100,16231.743,11826.72,23780.728,23104.302000000003,16861.575,6072.744000000001,White LED,100 mA,b'OK Read',11:05:59,2.218415293,0.03841484574853903,1.7612315036666668,0.02636505562082707,0.4571837893333333,0.012255897900084701,40.006463733333334,0.20120467937669825,31.762765950000002,0.22386387410283254,8.243697782666667,0.06242325588902183
8,1,1,64,150,3621.409,2673.4959999999996,5261.943,5118.965,3771.14,1351.027,White LED,12.5 mA,b'OK Read',11:06:00,2.218415293,0.03841484574853903,1.7612315036666668,0.02636505562082707,0.4571837893333333,0.012255897900084701,40.006463733333334,0.20120467937669825,31.762765950000002,0.22386387410283254,8.243697782666667,0.06242325588902183
9,1,1,64,150,7078.387,5208.954000000001,10339.603000000001,10052.448,7378.66,2647.035,White LED,25 mA,b'OK Read',11:06:01,2.218415293,0.03841484574853903,1.7612315036666668,0.02636505562082707,0.4571837893333333,0.012255897900084701,40.006463733333334,0.20120467937669825,31.762765950000002,0.22386387410283254,8.243697782666667,0.06242325588902183
