Leaf number,spectrometer,gain,LED current,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,time,position,Chlorophyll a (ug/ml),Chlorophyll b (ug/ml),Total Chlorophyll (ug/ml),position stdev,vial number stdev,Absorbance (647) stdev,Absorbance (664) stdev,Chlorophyll a (ug/ml) stdev,Chlorophyll b (ug/ml) stdev,Total Chlorophyll (ug/ml) stdev
Leaf: 1,b'AS7262',16,0,0.02456189,0.01628165,0.034509891,0.032321297,0.030253547,0.02042716,10:19:20,pos 1,0.287778234,0.092409802,0.380188036,1.58113883,1.58113883,0.007522832,0.013761795,0.028015958,0.021207398,0.043210209
Leaf: 1,b'AS7262',16,1,0.047487499,0.03181529,0.067372979,0.063090047,0.058858879,0.04004479,10:19:20,pos 1,0.287778234,0.092409802,0.380188036,1.58113883,1.58113883,0.007522832,0.013761795,0.028015958,0.021207398,0.043210209
Leaf: 1,b'AS7262',16,2,0.079562261,0.053632211,0.114197359,0.106953556,0.09949476,0.067811697,10:19:20,pos 1,0.287778234,0.092409802,0.380188036,1.58113883,1.58113883,0.007522832,0.013761795,0.028015958,0.021207398,0.043210209
Leaf: 1,b'AS7262',16,3,0.089837419,0.060414139,0.128616126,0.12037763,0.111956626,0.076365724,10:19:20,pos 1,0.287778234,0.092409802,0.380188036,1.58113883,1.58113883,0.007522832,0.013761795,0.028015958,0.021207398,0.043210209
Leaf: 1,b'AS7262',16,3,0.090242094,0.060513882,0.128652726,0.120424662,0.111987452,0.076419707,10:19:21,pos 1,0.287778234,0.092409802,0.380188036,1.58113883,1.58113883,0.007522832,0.013761795,0.028015958,0.021207398,0.043210209
Leaf: 1,b'AS7262',16,2,0.080617915,0.053856617,0.114380343,0.107063317,0.099617987,0.068000597,10:19:21,pos 1,0.287778234,0.092409802,0.380188036,1.58113883,1.58113883,0.007522832,0.013761795,0.028015958,0.021207398,0.043210209
Leaf: 1,b'AS7262',16,1,0.047417133,0.031341558,0.066458078,0.062258876,0.058119473,0.039693995,10:19:21,pos 1,0.287778234,0.092409802,0.380188036,1.58113883,1.58113883,0.007522832,0.013761795,0.028015958,0.021207398,0.043210209
Leaf: 1,b'AS7262',16,0,0.02459708,0.01613205,0.03407074,0.031944918,0.02993006,0.020400176,10:19:21,pos 1,0.287778234,0.092409802,0.380188036,1.58113883,1.58113883,0.007522832,0.013761795,0.028015958,0.021207398,0.043210209
Leaf: 1,b'AS7262',16,0,0.025072136,0.018126738,0.033357114,0.032540852,0.02922148,0.021101769,10:19:40,pos 2,0.287778234,0.092409802,0.380188036,1.58113883,1.58113883,0.007522832,0.013761795,0.028015958,0.021207398,0.043210209
Leaf: 1,b'AS7262',16,1,0.048560777,0.035405739,0.065195518,0.063607568,0.056933369,0.041474976,10:19:40,pos 2,0.287778234,0.092409802,0.380188036,1.58113883,1.58113883,0.007522832,0.013761795,0.028015958,0.021207398,0.043210209
Leaf: 1,b'AS7262',16,2,0.085913865,0.063206709,0.117106738,0.114073313,0.10182076,0.074314937,10:19:40,pos 2,0.287778234,0.092409802,0.380188036,1.58113883,1.58113883,0.007522832,0.013761795,0.028015958,0.021207398,0.043210209
Leaf: 1,b'AS7262',16,3,0.097930889,0.071808802,0.132971048,0.129536108,0.115530366,0.084353105,10:19:40,pos 2,0.287778234,0.092409802,0.380188036,1.58113883,1.58113883,0.007522832,0.013761795,0.028015958,0.021207398,0.043210209
Leaf: 1,b'AS7262',16,3,0.098599478,0.071958426,0.133154015,0.12967725,0.115715214,0.084461044,10:19:40,pos 2,0.287778234,0.092409802,0.380188036,1.58113883,1.58113883,0.007522832,0.013761795,0.028015958,0.021207398,0.043210209
Leaf: 1,b'AS7262',16,2,0.087638107,0.06365552,0.117728855,0.114653564,0.102390716,0.074746693,10:19:40,pos 2,0.287778234,0.092409802,0.380188036,1.58113883,1.58113883,0.007522832,0.013761795,0.028015958,0.021207398,0.043210209
Leaf: 1,b'AS7262',16,1,0.048877476,0.03505667,0.064719768,0.063090047,0.056548277,0.041313054,10:19:40,pos 2,0.287778234,0.092409802,0.380188036,1.58113883,1.58113883,0.007522832,0.013761795,0.028015958,0.021207398,0.043210209
Leaf: 1,b'AS7262',16,0,0.025388835,0.018076871,0.033229039,0.032431074,0.029175272,0.021263678,10:19:40,pos 2,0.287778234,0.092409802,0.380188036,1.58113883,1.58113883,0.007522832,0.013761795,0.028015958,0.021207398,0.043210209
