leaf number, sensor type, gain, integration time, data type,,410,435,460,485,510,535,560,585,610,645,680,705,730,760,810,860,900,940,,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,,,LED
Leaf: 13, b'AS7265X',64,10,25, Raw data,12,104,235,65,150,354,165,169,145,84,45,45,59,33,14,6,7,4, Calibrated data,5801.796429,1620.572143,1831.279286,969.5889286,455.9464286,251.40625,2458.788929,2402.717857,1030.091429,539.6217857,132.4198214,119.8636429,398.6067857,3498.685714,7497.914286,1985.049286,4118.528571,8305.228571, 10:28:33, pos 1, White LED
Leaf: 13, b'AS7265X',64,50,25, Raw data,62,523,1190,332,747,1770,828,843,725,420,248,235,317,178,70,30,34,22, Calibrated data,5801.795714,1786.230714,1967.849286,1045.980714,455.9465714,251.4062857,2467.73,2397.031429,1030.091429,563.605,128.6363571,131.85,411.8935,3518.87,7593.628571,2027.804286,4102.053571,8305.228571, 10:28:35, pos 1, White LED
Leaf: 13, b'AS7265X',64,200,25, Raw data,259,2106,4828,1363,2989,7076,3317,3380,2902,1688,1102,1123,1581,898,300,132,142,95, Calibrated data,5805.796429,1984.3,2453.603571,1319.228393,488.5141071,276.5469643,2471.455357,2402.717857,1034.996429,673.3280357,134.3115357,142.3380714,430.1630357,3542.419643,7702.110714,2081.248214,4103.426786,8300.539286, 10:28:38, pos 1, White LED
Leaf: 13, b'AS7265X',64,10,25, Raw data,6,8,7,5,6,5,9,18,3,18,9,8,6,11,98,199,165,53, Calibrated data,120.0371429,324.1144286,186.2317857,323.19625,3191.626071,8338.307143,134.11575,255.9107857,220.7338571,95.93275,3121.323929,1588.193214,199.3032857,269.1296429,223.3420714,152.6961071,164.7411071,117.3055, 10:28:57, pos 1, IR LED
Leaf: 13, b'AS7265X',64,50,25, Raw data,30,38,33,22,31,24,44,89,16,86,44,40,28,48,443,919,818,270, Calibrated data,128.0396429,316.9119286,173.8163571,282.0621429,2885.490714,7701.414286,131.1354286,253.0673571,210.9234286,95.93278571,3094.84,1618.159286,199.3032857,255.6731429,210.5796429,134.3725714,170.2325,112.6132857, 10:28:59, pos 1, IR LED
Leaf: 13, b'AS7265X',64,200,25, Raw data,115,145,128,84,120,90,171,345,60,335,156,153,104,175,1581,3349,3219,1108, Calibrated data,120.0371607,280.8991071,161.4008929,257.0878571,2574.469643,7016.328571,127.4099821,245.2478571,205.4051786,91.73569643,3044.708929,1660.111071,190.9989286,243.89875,204.1983929,128.2647143,164.7410893,105.5749821, 10:29:02, pos 1, IR LED
Leaf: 13, b'AS7265X',64,10,25, Raw data,232,32,5,3,2,2,2,2,1,2,0,3,3,2,1,0,1,0, Calibrated data,40.01239286,0,93.11589286,58.76296429,32.56761071,0,29.80350357,28.43453214,24.52598214,35.97478571,18.91711786,0,7706.392857,1076.518571,159.5300714,91.61767857,54.91371429,46.92221429, 10:29:07, pos 1, UV (405 nm) LED
Leaf: 13, b'AS7265X',64,50,25, Raw data,1175,162,27,13,11,12,11,12,3,13,4,13,13,9,5,3,3,2, Calibrated data,24.00742857,28.81017143,80.70042857,52.88665714,32.56761429,25.14062857,32.78385714,34.12143571,31.88377857,31.17815,11.35027143,11.98636429,7806.042857,1089.975,172.2925,79.402,60.40507143,56.30665, 10:29:09, pos 1, UV (405 nm) LED
Leaf: 13, b'AS7265X',64,200,25, Raw data,4765,663,109,54,44,47,44,49,13,52,22,54,52,37,18,12,13,7, Calibrated data,26.00805357,39.61398214,80.70044643,54.35573214,29.31085714,25.140625,32.78385714,34.83230357,31.88378571,32.37730357,12.296125,10.48806786,7914.001786,1115.206071,173.8877679,82.45589286,60.40507143,55.13358929, 10:29:12, pos 1, UV (405 nm) LED
Leaf: 13, b'AS7265X',64,10,25, Raw data,21,3,3,1,1,2,1,1,0,1,6,2,3,5,1,1,0,0, Calibrated data,0,216.0762857,93.11589286,146.9073929,32.56761071,41.90103571,14.90175357,14.21726429,12.26299286,23.98318929,0,0,697.5614286,100.9236071,95.71803571,30.53922143,27.45685,46.92221429, 10:29:19, pos 1, 390 nm LED
Leaf: 13, b'AS7265X',64,50,25, Raw data,106,15,15,5,6,12,7,6,3,7,33,13,15,33,5,3,2,1, Calibrated data,24.00742857,237.6838571,93.11592857,193.9177857,32.56761429,25.14062857,20.86245,17.06072143,17.16818571,31.17815,7.566842857,5.993181429,704.2050714,100.9236429,95.718,30.53922143,32.94822143,56.30665, 10:29:21, pos 1, 390 nm LED
Leaf: 13, b'AS7265X',64,200,25, Raw data,425,59,61,19,25,50,29,24,12,26,157,52,59,129,19,14,9,3, Calibrated data,24.00742857,282.6998214,91.56396429,189.5105357,30.93923214,29.33073214,21.60753571,17.06071964,15.94188929,31.17814286,8.512701786,4.494885714,705.8658929,99.24155357,97.31333929,29.01225,34.32107143,58.65276786, 10:29:24, pos 1, 390 nm LED
Leaf: 13, b'AS7265X',64,10,25, Raw data,45,8,11,1,2,6,1,1,1,1,2,2,4,5,1,1,0,0, Calibrated data,40.01239286,72.02542857,124.1545357,146.9073929,32.56761071,41.90103571,14.90175357,14.21726429,12.26299286,23.98318929,0,0,1494.774643,269.1296429,350.9661071,30.53922143,54.91371429,140.7666071, 10:29:28, pos 1, 395 nm LED
Leaf: 13, b'AS7265X',64,50,25, Raw data,224,41,59,7,9,32,6,6,3,7,11,13,24,25,5,3,2,1, Calibrated data,24.00742857,79.228,148.9854286,146.9073571,32.56761429,25.14062857,17.8821,17.06072143,17.16818571,31.17815,7.566842857,5.993181429,1488.131429,275.8579286,376.4909286,42.75490714,49.42232857,150.1510714, 10:29:30, pos 1, 395 nm LED
Leaf: 13, b'AS7265X',64,200,25, Raw data,891,165,218,26,34,127,25,24,12,29,38,49,96,97,20,13,10,5, Calibrated data,24.00742857,68.42416071,148.9854286,142.5001786,32.56760714,27.23567857,18.62719643,17.06071964,17.7813375,29.37941071,9.458558929,7.491476786,1479.826964,277.54,347.7755357,39.70098214,46.67664286,148.9780179, 10:29:33, pos 1, 395 nm LED
Leaf: 13, b'AS7265X',64,10,25, Raw data,20,3,2,1,1,1,2,1,0,1,9,3,2,3,1,3,0,0, Calibrated data,0,324.1144286,62.07725,88.14442857,32.56761071,125.7031429,29.80350357,14.21726429,12.26299286,35.97478571,0,0,664.3442857,100.9236071,63.81203571,30.53922143,27.45685,23.46110357, 10:29:38, pos 1, 400 nm LED
Leaf: 13, b'AS7265X',64,50,25, Raw data,101,13,8,3,4,5,8,6,3,5,61,15,13,18,8,17,2,1, Calibrated data,24.00742857,439.3551429,80.70042857,105.7732857,52.10817857,142.4635714,23.8428,17.06072143,12.26299286,35.97478571,7.566842857,5.993181429,670.9877857,87.46714286,51.04961429,18.32353571,21.96547857,23.4611, 10:29:40, pos 1, 400 nm LED
Leaf: 13, b'AS7265X',64,200,25, Raw data,403,54,24,14,15,21,32,25,11,22,270,63,52,74,36,67,9,4, Calibrated data,22.00680357,486.1716071,80.70044643,108.7114643,58.62169643,140.3685,23.84280357,17.77158214,13.48929107,37.77351786,8.512701786,5.993182143,669.3269643,90.83126786,38.28721429,21.37744643,20.59264286,24.63416071, 10:29:43, pos 1, 400 nm LED
Leaf: 13, b'AS7265X',64,10,25, Raw data,11,2,2,0,1,1,1,1,0,0,13,1,2,5,1,1,0,0, Calibrated data,0,468.1653571,62.07725,146.9073929,32.56761071,41.90103571,14.90175357,14.21726429,0,11.99159286,0,0,365.3892857,67.28242857,63.81203571,0,27.45685,23.46110357, 10:29:48, pos 1, 405 nm LED
Leaf: 13, b'AS7265X',64,50,25, Raw data,55,12,5,3,3,5,4,4,2,3,71,6,9,30,6,6,2,1, Calibrated data,16.00495714,511.3805714,55.86954286,176.2888571,39.08113571,50.28125,11.9214,11.37381429,7.357792857,14.38991429,7.566842857,5.993181429,365.3893571,80.73892857,31.90601429,18.32353571,16.47411429,23.4611, 10:29:51, pos 1, 405 nm LED
Leaf: 13, b'AS7265X',64,200,25, Raw data,216,47,29,11,12,18,17,15,10,13,301,24,37,121,23,26,8,3, Calibrated data,20.00619643,541.99125,57.42148214,177.7579464,37.45275,54.47135714,12.66648929,10.66295,7.970944643,14.38991429,7.566846429,4.494885714,358.7458929,79.05683929,46.26371429,16.79656964,16.47411071,21.115, 10:29:54, pos 1, 405 nm LED
Leaf: 13, b'AS7265X',64,10,25, Raw data,32,5,1,1,1,1,17,5,1,3,1,14,3,2,2,0,1,0, Calibrated data,40.01239286,36.01271429,93.11589286,58.76296429,65.13521429,0,253.3297857,71.08632143,36.78896429,167.8823214,18.91711786,0,1062.951071,168.2060357,31.90601071,30.53922143,27.45685,23.46110357, 10:29:59, pos 1, 410 nm LED
