leaf number, sensor type, gain, integration time, data type,,410,435,460,485,510,535,560,585,610,645,680,705,730,760,810,860,900,940,,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,560 nm,585 nm,645 nm,705 nm,900 nm,940 nm,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,,,LED
Leaf: 37, b'AS7265X',64,10,25, Raw data,6,42,127,33,69,175,114,103,85,43,25,29,32,18,8,3,4,2, Calibrated data,3401.052857,900.3178571,993.2364286,528.8664286,260.5408929,125.7031429,1698.799643,1464.378214,527.3085714,347.75625,75.66846429,59.93182143,199.3032857,1412.930714,4052.064286,1007.794286,1894.522857,4105.692857, 10:41:38, pos 1, White LED
Leaf: 37, b'AS7265X',64,50,25, Raw data,28,188,586,153,316,801,519,471,391,198,116,135,150,84,38,17,20,11, Calibrated data,3128.968571,835.495,931.1592857,493.6087857,247.5138571,142.4635714,1546.802143,1339.266429,485.6145,323.7730714,75.66842857,65.925,186.0164286,1264.909286,3739.384286,934.5,1735.272857,3758.468571, 10:41:40, pos 1, White LED
Leaf: 37, b'AS7265X',64,200,25, Raw data,119,779,2409,634,1294,3294,2130,1933,1604,811,519,591,676,378,156,69,82,47, Calibrated data,3208.992857,934.5298214,1049.105714,555.31,254.0273214,144.558625,1587.036429,1374.09875,497.2642857,354.3516071,77.56017857,70.41989286,197.6425,1310.325,3843.078571,968.0932143,1776.458214,3864.044643, 10:41:43, pos 1, White LED
Leaf: 37, b'AS7265X',64,10,25, Raw data,6,7,7,4,6,5,9,18,3,17,8,8,6,11,99,202,164,51, Calibrated data,120.0371429,288.1017143,186.2317857,323.19625,3224.193571,8464.010714,134.11575,255.9107857,208.4708571,95.93275,3102.407143,1528.261429,199.3032857,235.4884643,223.3420714,122.1568929,164.7411071,117.3055, 10:42:07, pos 1, IR LED
Leaf: 37, b'AS7265X',64,50,25, Raw data,29,36,32,21,30,23,45,87,17,85,45,40,28,50,450,934,812,262, Calibrated data,136.0421429,324.1144286,173.8163571,293.8147857,2931.085,7827.114286,134.1157857,247.3804286,208.4708571,95.93278571,3072.139286,1570.213571,192.6598571,242.2167143,204.1985,128.2647143,164.7410714,107.9210714, 10:42:09, pos 1, IR LED
Leaf: 37, b'AS7265X',64,200,25, Raw data,108,139,122,78,114,85,167,333,60,326,153,151,101,173,1602,3385,3179,1068, Calibrated data,120.0371607,275.4973214,156.7450893,254.1498214,2608.666071,7091.751786,124.4296429,236.7175,199.8867857,90.53653571,3006.875,1600.179286,179.3730357,233.8064286,194.6266071,119.1029464,156.5040536,99.70969643, 10:42:12, pos 1, IR LED
Leaf: 37, b'AS7265X',64,10,25, Raw data,123,18,3,2,1,1,2,1,0,2,0,2,2,1,1,0,0,0, Calibrated data,0,0,62.07725,29.381475,32.56761071,0,29.80350357,14.21726429,24.52598214,23.98318929,0,0,4085.717857,605.5417857,95.71803571,61.07842857,27.45685,23.46110357, 10:42:16, pos 1, UV (405 nm) LED
Leaf: 37, b'AS7265X',64,50,25, Raw data,620,92,16,8,7,7,8,8,3,8,2,8,8,6,4,3,2,1, Calibrated data,24.00742857,14.40508571,49.66181429,35.25777143,26.05409286,25.14062857,23.8428,22.74762857,19.62078571,19.18655,7.566842857,5.993181429,4118.935,618.9982143,102.0992143,48.86275,38.43959286,32.84554286, 10:42:18, pos 1, UV (405 nm) LED
Leaf: 37, b'AS7265X',64,200,25, Raw data,2500,372,62,32,27,28,30,32,11,34,7,31,31,24,14,10,9,5, Calibrated data,22.00680357,12.60445,48.10989286,35.25776786,22.79732143,20.95051786,22.352625,22.747625,20.84708929,18.58696429,8.512701786,7.491476786,4152.151786,625.7264286,98.90864286,48.86275,37.06675,32.84555357, 10:42:21, pos 1, UV (405 nm) LED
Leaf: 37, b'AS7265X',64,10,25, Raw data,23,3,5,1,1,3,2,1,0,1,6,3,3,6,1,1,0,0, Calibrated data,0,216.0762857,93.11589286,176.2888571,32.56761071,41.90103571,29.80350357,14.21726429,12.26299286,35.97478571,0,0,763.9960714,100.9236071,159.5300714,30.53922143,27.45685,70.38332143, 10:42:31, pos 1, 390 nm LED
Leaf: 37, b'AS7265X',64,50,25, Raw data,117,17,21,5,7,14,8,7,3,7,40,15,16,36,5,4,2,1, Calibrated data,24.00742857,288.1017143,99.32364286,211.5466429,32.56761429,33.52083571,23.8428,19.90417143,17.16818571,35.97478571,7.566842857,5.993181429,777.2828571,114.3800714,134.0052143,30.53922143,38.43959286,65.69109286, 10:42:33, pos 1, 390 nm LED
Leaf: 37, b'AS7265X',64,200,25, Raw data,468,69,74,20,29,55,32,26,13,27,184,60,64,147,20,15,9,4, Calibrated data,26.00805357,331.3169643,99.323625,215.9539286,32.56760714,31.42578571,23.84280357,18.48244643,16.55503929,35.97478571,8.512701786,5.993182143,777.2828571,116.0621607,118.0522321,30.53921429,39.81242857,64.51803571, 10:42:36, pos 1, 390 nm LED
Leaf: 37, b'AS7265X',64,10,25, Raw data,48,8,11,1,2,6,1,1,0,1,3,2,4,5,1,1,0,0, Calibrated data,0,108.0381429,124.1545357,146.9073929,32.56761071,41.90103571,14.90175357,14.21726429,12.26299286,23.98318929,0,0,1594.426429,269.1296429,350.9661071,30.53922143,54.91371429,140.7666071, 10:42:40, pos 1, 395 nm LED
Leaf: 37, b'AS7265X',64,50,25, Raw data,235,40,52,7,8,28,6,6,3,7,13,13,26,27,5,4,3,1, Calibrated data,24.00742857,93.63307143,161.4009286,158.66,32.56761429,33.52083571,17.8821,17.06072143,17.16818571,31.17815,11.35027143,5.993181429,1561.209286,269.1296429,331.8225,42.75490714,43.93095714,131.3822143, 10:42:42, pos 1, 395 nm LED
Leaf: 37, b'AS7265X',64,200,25, Raw data,936,161,213,27,33,112,26,24,14,26,54,49,104,105,22,16,10,5, Calibrated data,28.00867857,97.23432143,161.4008929,154.2527679,35.824375,33.52083929,19.37228571,17.06071964,15.94188929,29.37941071,9.458558929,7.491476786,1554.565714,270.8117857,339.7989286,41.22794643,45.30380357,131.3821786, 10:42:45, pos 1, 395 nm LED
Leaf: 37, b'AS7265X',64,10,25, Raw data,21,3,2,1,1,1,2,1,0,1,10,4,2,3,2,3,0,0, Calibrated data,0,360.1271429,62.07725,88.14442857,65.13521429,125.7031429,29.80350357,14.21726429,12.26299286,47.96639286,0,0,697.5614286,100.9236071,63.81203571,30.53922143,27.45685,23.46110357, 10:42:49, pos 1, 400 nm LED
Leaf: 37, b'AS7265X',64,50,25, Raw data,104,14,6,3,4,6,9,8,3,6,70,20,14,19,9,19,3,1, Calibrated data,24.00742857,504.178,86.90821429,111.6496429,58.6217,159.224,26.82315,22.74762857,14.71559286,47.96637857,11.35027143,5.993181429,690.9181429,94.19535714,38.28721429,18.32353571,21.96547857,28.15332143, 10:42:51, pos 1, 400 nm LED
