Leaf number,spectrometer,gain,integratoin time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,time,position,Chlorophyll a (ug/ml),Chlorophyll b (ug/ml),Total Chlorophyll (ug/ml),position stdev,vial number stdev,Absorbance (647) stdev,Absorbance (664) stdev,Chlorophyll a (ug/ml) stdev,Chlorophyll b (ug/ml) stdev,Total Chlorophyll (ug/ml) stdev
Leaf: 1,b'AS7262',16,100,0.058765569,0.064752587,0.12760975,0.117993912,0.095181615,0.064654514,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.058378489,0.062683116,0.124499096,0.11526518,0.093163689,0.063008477,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.079175167,0.065600328,0.150207685,0.134554464,0.134908656,0.083246764,12:41:54,pos 2,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.078629731,0.06325659,0.146200438,0.131182767,0.131858664,0.081249905,12:41:54,pos 2,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.079597437,0.065575408,0.14993321,0.134476051,0.135139743,0.083327698,12:42:07,pos 3,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.079034406,0.063456055,0.146328514,0.131355257,0.132166754,0.081492761,12:42:07,pos 3,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 2,b'AS7262',16,100,0.087796464,0.093700526,0.166181845,0.159646194,0.113943757,0.097953236,12:43:53,pos 1,0.229680252,0.063844685,0.293524937,1.58113883,1.58113883,0.004060172,0.012579666,0.026617897,0.006863818,0.03027574
Leaf: 2,b'AS7262',16,100,0.087426979,0.090708491,0.161881765,0.155898118,0.111509913,0.095632587,12:43:53,pos 1,0.229680252,0.063844685,0.293524937,1.58113883,1.58113883,0.004060172,0.012579666,0.026617897,0.006863818,0.03027574
Leaf: 2,b'AS7262',16,100,0.124305012,0.080660242,0.167206546,0.159144388,0.13481624,0.124532813,12:44:10,pos 2,0.229680252,0.063844685,0.293524937,1.58113883,1.58113883,0.004060172,0.012579666,0.026617897,0.006863818,0.03027574
Leaf: 2,b'AS7262',16,100,0.123478081,0.07814196,0.163363908,0.155694246,0.131827869,0.121996313,12:44:11,pos 2,0.229680252,0.063844685,0.293524937,1.58113883,1.58113883,0.004060172,0.012579666,0.026617897,0.006863818,0.03027574
Leaf: 2,b'AS7262',16,100,0.093725812,0.05841947,0.117253121,0.115657225,0.106673035,0.100031029,12:44:26,pos 3,0.229680252,0.063844685,0.293524937,1.58113883,1.58113883,0.004060172,0.012579666,0.026617897,0.006863818,0.03027574
Leaf: 2,b'AS7262',16,100,0.092687725,0.056549444,0.114380343,0.113069651,0.104192998,0.097926258,12:44:26,pos 3,0.229680252,0.063844685,0.293524937,1.58113883,1.58113883,0.004060172,0.012579666,0.026617897,0.006863818,0.03027574
Leaf: 3,b'AS7262',16,100,0.034274045,0.032289042,0.063109549,0.060549504,0.037940172,0.027820862,12:46:26,pos 1,0.455421297,0.148642811,0.604064108,1.58113883,1.58113883,0.006326769,0.015227377,0.03128852,0.011313917,0.04237508
Leaf: 3,b'AS7262',16,100,0.03388698,0.031216875,0.061426147,0.059075368,0.037000521,0.026957375,12:46:27,pos 1,0.455421297,0.148642811,0.604064108,1.58113883,1.58113883,0.006326769,0.015227377,0.03128852,0.011313917,0.04237508
Leaf: 3,b'AS7262',16,100,0.05565135,0.047772806,0.060602738,0.065536495,0.050016945,0.057449711,12:47:05,pos 2,0.455421297,0.148642811,0.604064108,1.58113883,1.58113883,0.006326769,0.015227377,0.03128852,0.011313917,0.04237508
Leaf: 3,b'AS7262',16,100,0.054560491,0.045254503,0.058571661,0.063058682,0.04786038,0.055857631,12:47:05,pos 2,0.455421297,0.148642811,0.604064108,1.58113883,1.58113883,0.006326769,0.015227377,0.03128852,0.011313917,0.04237508
Leaf: 3,b'AS7262',16,100,0.026374122,0.030069946,0.07518618,0.067057677,0.043685889,0.023422426,12:47:22,pos 3,0.455421297,0.148642811,0.604064108,1.58113883,1.58113883,0.006326769,0.015227377,0.03128852,0.011313917,0.04237508
Leaf: 3,b'AS7262',16,100,0.025899081,0.028972859,0.073319794,0.06550513,0.04249977,0.022504955,12:47:23,pos 3,0.455421297,0.148642811,0.604064108,1.58113883,1.58113883,0.006326769,0.015227377,0.03128852,0.011313917,0.04237508
Leaf: 4,b'AS7262',16,100,0.076148924,0.039420038,0.059761037,0.062807762,0.071382366,0.051998857,12:48:07,pos 1,0.496377297,0.150496432,0.64687373,1.58113883,1.58113883,0.003980829,0.008757682,0.017949121,0.008935954,0.025254508
Leaf: 4,b'AS7262',16,100,0.075673868,0.038547357,0.058699752,0.061568864,0.069888172,0.051243311,12:48:07,pos 1,0.496377297,0.150496432,0.64687373,1.58113883,1.58113883,0.003980829,0.008757682,0.017949121,0.008935954,0.025254508
Leaf: 4,b'AS7262',16,100,0.076324862,0.039694325,0.060072096,0.062980269,0.071382366,0.052322674,12:48:19,pos 2,0.496377297,0.150496432,0.64687373,1.58113883,1.58113883,0.003980829,0.008757682,0.017949121,0.008935954,0.025254508
Leaf: 4,b'AS7262',16,100,0.075779425,0.038597238,0.058736352,0.061600229,0.069857362,0.051270289,12:48:19,pos 2,0.496377297,0.150496432,0.64687373,1.58113883,1.58113883,0.003980829,0.008757682,0.017949121,0.008935954,0.025254508
Leaf: 4,b'AS7262',16,100,0.088183544,0.030294332,0.053118887,0.053806093,0.077174292,0.062603726,12:48:34,pos 3,0.496377297,0.150496432,0.64687373,1.58113883,1.58113883,0.003980829,0.008757682,0.017949121,0.008935954,0.025254508
Leaf: 4,b'AS7262',16,100,0.084998944,0.028249781,0.050813335,0.051453756,0.073277065,0.060660851,12:48:34,pos 3,0.496377297,0.150496432,0.64687373,1.58113883,1.58113883,0.003980829,0.008757682,0.017949121,0.008935954,0.025254508
Leaf: 5,b'AS7262',16,100,0.054120626,0.079139304,0.112093098,0.117993912,0.074463184,0.045873418,12:50:31,pos 1,0.373901622,0.146896,0.520797622,1.58113883,1.58113883,0.007263746,0.009330434,0.01792598,0.022667119,0.037327645
Leaf: 5,b'AS7262',16,100,0.053874308,0.077244337,0.109915654,0.115610194,0.072891956,0.045117844,12:50:31,pos 1,0.373901622,0.146896,0.520797622,1.58113883,1.58113883,0.007263746,0.009330434,0.01792598,0.022667119,0.037327645
