Leaf number,spectrometer,gain,integratoin time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,time,position,Chlorophyll a (ug/ml),Chlorophyll b (ug/ml),Total Chlorophyll (ug/ml),position stdev,vial number stdev,Absorbance (647) stdev,Absorbance (664) stdev,Chlorophyll a (ug/ml) stdev,Chlorophyll b (ug/ml) stdev,Total Chlorophyll (ug/ml) stdev
Leaf: 1,b'AS7262',16,100,0.016186926,0.017453531,0.034583091,0.032039013,0.026079056,0.01775571,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.03142374,0.034333592,0.067665746,0.062635255,0.050725525,0.034593964,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.058765569,0.064752587,0.12760975,0.117993912,0.095181615,0.064654514,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.086336121,0.095146682,0.188322288,0.174152375,0.140146055,0.094957975,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.086899138,0.09469787,0.187517154,0.173446583,0.139683913,0.094526219,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.058378489,0.062683116,0.124499096,0.11526518,0.093163689,0.063008477,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.031335764,0.033336247,0.066165311,0.061364992,0.0498167,0.033595534,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.016204521,0.017154326,0.033960957,0.031521508,0.025709361,0.017162054,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.021869941,0.017777667,0.040804381,0.036586895,0.03696971,0.022882739,12:41:54,pos 2,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.04234992,0.034832265,0.07977896,0.071448735,0.071921511,0.044551171,12:41:54,pos 2,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.079175167,0.065600328,0.150207685,0.134554464,0.134908656,0.083246764,12:41:54,pos 2,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.11651066,0.096193888,0.22155136,0.198585491,0.198773863,0.122481998,12:41:54,pos 2,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.117196858,0.095545611,0.220380226,0.197691509,0.198034472,0.121969308,12:41:54,pos 2,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.078629731,0.06325659,0.146200438,0.131182767,0.131858664,0.081249905,12:41:54,pos 2,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.042244349,0.033760118,0.077949175,0.069990282,0.070627562,0.043525764,12:41:54,pos 2,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.021905132,0.017453531,0.040090755,0.036022326,0.036507599,0.022424002,12:41:54,pos 2,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.022010703,0.017827534,0.040804381,0.036602577,0.037046744,0.022936709,12:42:07,pos 3,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.042613834,0.034931987,0.07977896,0.071511464,0.072090945,0.044605154,12:42:07,pos 3,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.079597437,0.065575408,0.14993321,0.134476051,0.135139743,0.083327698,12:42:07,pos 3,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.117214453,0.096268689,0.221478061,0.198742315,0.199297533,0.122805843,12:42:07,pos 3,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.117883041,0.095819878,0.220544983,0.197926827,0.198558143,0.122347109,12:42:07,pos 3,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.079034406,0.063456055,0.146328514,0.131355257,0.132166754,0.081492761,12:42:07,pos 3,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.042473072,0.033884781,0.078022358,0.070084377,0.070797012,0.043687686,12:42:07,pos 3,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,0.022028298,0.017503398,0.040109064,0.036053691,0.036584618,0.022531942,12:42:08,pos 3,0.270691207,0.085988829,0.356680036,1.58113883,1.58113883,0.003000833,0.00821383,0.017212536,0.005732519,0.021004776
Leaf: 2,b'AS7262',16,100,0.024333167,0.025357489,0.045067795,0.043393019,0.03120861,0.026849438,12:43:53,pos 1,0.229680252,0.063844685,0.293524937,1.58113883,1.58113883,0.004060172,0.012579666,0.026617897,0.006863818,0.03027574
Leaf: 2,b'AS7262',16,100,0.047100434,0.049667753,0.088214312,0.084841445,0.060799786,0.052403635,12:43:53,pos 1,0.229680252,0.063844685,0.293524937,1.58113883,1.58113883,0.004060172,0.012579666,0.026617897,0.006863818,0.03027574
Leaf: 2,b'AS7262',16,100,0.087796464,0.093700526,0.166181845,0.159646194,0.113943757,0.097953236,12:43:53,pos 1,0.229680252,0.063844685,0.293524937,1.58113883,1.58113883,0.004060172,0.012579666,0.026617897,0.006863818,0.03027574
Leaf: 2,b'AS7262',16,100,0.12704976,0.135514204,0.241386349,0.231973211,0.165193045,0.1416679,12:43:53,pos 1,0.229680252,0.063844685,0.293524937,1.58113883,1.58113883,0.004060172,0.012579666,0.026617897,0.006863818,0.03027574
Leaf: 2,b'AS7262',16,100,0.127876691,0.134816066,0.240105432,0.230922405,0.164592309,0.141047271,12:43:53,pos 1,0.229680252,0.063844685,0.293524937,1.58113883,1.58113883,0.004060172,0.012579666,0.026617897,0.006863818,0.03027574
Leaf: 2,b'AS7262',16,100,0.087426979,0.090708491,0.161881765,0.155898118,0.111509913,0.095632587,12:43:53,pos 1,0.229680252,0.063844685,0.293524937,1.58113883,1.58113883,0.004060172,0.012579666,0.026617897,0.006863818,0.03027574
Leaf: 2,b'AS7262',16,100,0.047030053,0.048271478,0.086128343,0.08305366,0.059690685,0.051135372,12:43:53,pos 1,0.229680252,0.063844685,0.293524937,1.58113883,1.58113883,0.004060172,0.012579666,0.026617897,0.006863818,0.03027574
