Leaf number,index,sensor type,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,560 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,position,LED,Chlorophyll a (ug/ml),Chlorophyll b (ug/ml),Total Chlorophyll (ug/ml),Chlorophyll a (ug/ml) stdev,Chlorophyll b (ug/ml) stdev,Total Chlorophyll (ug/ml) stdev
55,0,b'AS7265X',64,150,1107.009286,194.4686667,300.0402381,168.4537857,91.18930952,55.86804762,641.7688095,610.3947619,247.712381,99.13052381,29.0062381,31.96364286,81.93580952,446.3066667,1348.560714,480.4838095,728.5216667,1329.462619,3,White LED,0.297936757,0.086565405,0.384502162,0.01237267,0.022903482,0.033479001
55,1,b'AS7265X',64,200,1106.3425,199.8705357,301.0746429,170.4125714,91.18932143,56.56641071,640.0301786,609.2098214,242.8071429,99.53023214,28.37567857,31.46419643,81.38217857,445.7458929,1327.29,480.9926786,726.2335714,1326.725357,3,White LED,0.297936757,0.086565405,0.384502162,0.01237267,0.022903482,0.033479001
55,2,b'AS7265X',64,250,1104.341857,198.7901429,301.6955714,171.5878571,92.49202857,56.98541429,640.1792857,609.0677143,247.7124286,99.77007143,28.75401429,32.36318571,82.3787,445.4095714,1328.566286,480.0765714,727.0572857,1327.898429,3,White LED,0.297936757,0.086565405,0.384502162,0.01237267,0.022903482,0.033479001
55,3,b'AS7265X',64,150,29.34240476,36.01271429,33.10788095,50.92790476,388.6402381,1022.385476,24.8362619,36.96488095,30.24871429,15.98879286,335.4635714,171.8045476,31.0027381,40.36945238,38.28721429,24.43138095,27.45685714,21.89703095,3,IR LED,0.297936757,0.086565405,0.384502162,0.01237267,0.022903482,0.033479001
55,4,b'AS7265X',64,200,28.00867857,36.01271429,32.59057143,49.94851786,385.92625,1018.195357,24.58789286,36.25403571,30.04433929,15.58907321,335.77875,173.8022679,29.8955,40.36944643,36.69191071,24.431375,27.45685714,21.115,3,IR LED,0.297936757,0.086565405,0.384502162,0.01237267,0.022903482,0.033479001
55,5,b'AS7265X',64,250,28.80891429,23.04814286,32.28018571,50.53614286,382.9951429,1015.681286,24.43887143,36.3962,29.9217,15.8289,335.968,173.8022857,30.55984286,40.36944286,37.01097143,24.43137143,26.35857143,21.58421429,3,IR LED,0.297936757,0.086565405,0.384502162,0.01237267,0.022903482,0.033479001
55,6,b'AS7265X',64,150,21.3399381,0,26.90014286,27.42271429,19.54056667,19.55382143,22.84935238,21.79980714,16.35065476,13.59047381,7.566847619,5.993180952,3408.085714,562.9295238,97.84509524,42.75490476,34.77866667,34.40961905,3,UV (405 nm) LED,0.297936757,0.086565405,0.384502162,0.01237267,0.022903482,0.033479001
55,7,b'AS7265X',64,200,20.00619643,0,26.38283929,24.97425,17.91219643,18.85546429,22.352625,20.61503571,15.94188929,12.591175,6.620991071,5.993182143,3414.730357,565.1721429,110.0757321,42.75491071,34.32107143,32.84555357,3,UV (405 nm) LED,0.297936757,0.086565405,0.384502162,0.01237267,0.022903482,0.033479001
55,8,b'AS7265X',64,250,22.40694286,0,28.55554286,28.20621429,20.84327143,21.78854286,22.65065714,22.17892857,16.67767143,13.43058571,8.323531429,7.191818571,3418.715714,567.8635714,100.823,43.97647143,35.14477143,32.84554286,3,UV (405 nm) LED,0.297936757,0.086565405,0.384502162,0.01237267,0.022903482,0.033479001
55,9,b'AS7265X',64,150,21.3399381,21.60762857,22.76166429,35.2577619,21.71174286,22.34722381,20.86245238,14.21726667,15.53312143,15.98879286,6.305704762,3.995454762,717.4919048,74.01066667,55.3037381,24.43138095,23.79593571,34.40961905,3,390 nm LED,0.297936757,0.086565405,0.384502162,0.01237267,0.022903482,0.033479001
