,Leaf number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
0,1,1,64,50,3541.151,2825.7459999999996,5501.691999999999,5431.27,4370.558,1384.65,White LED,12.5 mA,b'OK Read',9:05:14,41.448510999999996,33.48518073,7.963330267999999,2.190958039333333,1.7698893476666668,0.4210686916666666
1,1,1,64,50,7170.39,5901.181,10579.351,10639.013,8476.806,2764.715,White LED,25 mA,b'OK Read',9:05:15,41.448510999999996,33.48518073,7.963330267999999,2.190958039333333,1.7698893476666668,0.4210686916666666
2,1,1,64,50,13348.318000000001,10961.944,19736.314,19846.488999999998,15745.337,5208.484,White LED,50 mA,b'OK Read',9:05:16,41.448510999999996,33.48518073,7.963330267999999,2.190958039333333,1.7698893476666668,0.4210686916666666
3,1,1,64,50,15415.458,12630.596000000001,22736.748,22871.26,18128.846999999998,6010.847,White LED,100 mA,b'OK Read',9:05:18,41.448510999999996,33.48518073,7.963330267999999,2.190958039333333,1.7698893476666668,0.4210686916666666
4,1,1,64,100,3679.156,3041.94,5354.085999999999,5407.491,4321.0,1432.7920000000001,White LED,12.5 mA,b'OK Read',9:05:19,41.448510999999996,33.48518073,7.963330267999999,2.190958039333333,1.7698893476666668,0.4210686916666666
5,1,1,64,100,7190.944,5934.675,10504.206,10600.964,8439.046999999999,2792.224,White LED,25 mA,b'OK Read',9:05:20,41.448510999999996,33.48518073,7.963330267999999,2.190958039333333,1.7698893476666668,0.4210686916666666
6,1,1,64,100,13398.235,10986.305,19559.186,19737.103,15650.94,5144.295,White LED,50 mA,b'OK Read',9:05:21,41.448510999999996,33.48518073,7.963330267999999,2.190958039333333,1.7698893476666668,0.4210686916666666
7,1,1,64,100,15474.183,12624.507,22554.252999999997,22771.387000000002,18060.41,5923.733,White LED,100 mA,b'OK Read',9:05:22,41.448510999999996,33.48518073,7.963330267999999,2.190958039333333,1.7698893476666668,0.4210686916666666
8,1,1,64,150,3668.39,3034.835,5315.618,5380.54,4299.7609999999995,1407.575,White LED,12.5 mA,b'OK Read',9:05:23,41.448510999999996,33.48518073,7.963330267999999,2.190958039333333,1.7698893476666668,0.4210686916666666
9,1,1,64,150,7168.433000000001,5907.27,10416.537,10534.381000000001,8393.421999999999,2746.375,White LED,25 mA,b'OK Read',9:05:24,41.448510999999996,33.48518073,7.963330267999999,2.190958039333333,1.7698893476666668,0.4210686916666666
