,Leaf No.,Spot,Leaf weight (mg),Mean leaf weight (mg),A647,Unnamed: 5,Unnamed: 6,A664,Unnamed: 8,Unnamed: 9,Average,Unnamed: 11,Chlorophyll a (µg),Chlorophyll b (µg),Total Chlorophyll (µg),Avg Chlorophyll a ,Avg Chlorophyll b,Avg Total Chlorophyll,Chlorophyll a STD,Chlorophyll b STD,Total Chlorophyll STD,Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
0,1,A,4.8,5.37,0.068,0.0686,0.0683,0.189,0.1892,0.1893,0.0683,0.1892,8.7474,2.1173,10.8647,9.4676,2.2516,11.7192,0.7898,0.1803,0.9669,2.263478611,1.822374722,0.441103889,38.42646012,30.93795949,7.488500625,41.44868077,33.48518073,7.963500035,2.182346369,1.763054004,0.419292365
1,1,B,5.2,5.37,0.0721,0.0721,0.0719,0.2022,0.2017,0.2016,0.072,0.2018,9.3432,2.1809,11.5241,9.4676,2.2516,11.7192,0.7898,0.1803,0.9669,2.216171026,1.796764359,0.419406667,40.75860979,33.04511094,7.713498856,41.44868077,33.48518073,7.963500035,2.182346369,1.763054004,0.419292365
2,1,C,6.1,5.37,0.08,0.0803,0.0799,0.2233,0.2229,0.2225,0.0801,0.2229,10.3122,2.4564,12.7687,9.4676,2.2516,11.7192,0.7898,0.1803,0.9669,2.093224481,1.690528962,0.402695519,45.16046309,36.47247176,8.687991323,41.44868077,33.48518073,7.963500035,2.182346369,1.763054004,0.419292365
3,2,A,3.9,4.13,0.0878,0.088,0.0877,0.2358,0.2355,0.2349,0.0878,0.2354,10.8513,2.8991,13.7504,11.2403,3.0221,14.2624,0.3456,0.238,0.53,3.525741197,2.782394188,0.743347009,48.63263304,38.37920822,10.25342482,50.44351701,39.75489849,10.68861852,3.453365617,2.721622276,0.731743341
4,2,B,4.6,4.13,0.0902,0.0899,0.0901,0.2463,0.2457,0.2458,0.0901,0.2459,11.3572,2.8709,14.2281,11.2403,3.0221,14.2624,0.3456,0.238,0.53,3.093062609,2.468954783,0.624107826,50.3221617,40.16832426,10.15383745,50.44351701,39.75489849,10.68861852,3.453365617,2.721622276,0.731743341
5,2,C,3.9,4.13,0.095,0.0959,0.0962,0.2499,0.2504,0.2507,0.0957,0.2503,11.5123,3.2965,14.8087,11.2403,3.0221,14.2624,0.3456,0.238,0.53,3.797113504,2.951867009,0.845246496,52.37583174,40.71684704,11.6589847,50.44351701,39.75489849,10.68861852,3.453365617,2.721622276,0.731743341
6,3,A,4,3.83,0.0763,0.0768,0.0778,0.2029,0.2033,0.2039,0.077,0.2034,9.3617,2.6056,11.9673,9.9127,2.8937,12.8065,0.4898,0.2497,0.7361,2.991815667,2.340424333,0.651391333,42.32603334,33.11062224,9.215411096,45.29426328,35.05941855,10.23449105,3.343733681,2.588172324,0.755535248
7,3,B,3.1,3.83,0.0857,0.0855,0.0851,0.2198,0.2196,0.2192,0.0854,0.2195,10.0778,3.0312,13.109,9.9127,2.8937,12.8065,0.4898,0.2497,0.7361,4.228707527,3.250910538,0.977796989,46.36412723,35.64342741,10.72069982,45.29426328,35.05941855,10.23449105,3.343733681,2.588172324,0.755535248
8,3,C,4.4,3.83,0.0864,0.0868,0.0869,0.2241,0.2242,0.2243,0.0867,0.2242,10.2986,3.0445,13.3431,9.9127,2.8937,12.8065,0.4898,0.2497,0.7361,3.032524545,2.340595455,0.691929091,47.19214826,36.42434746,10.76780081,45.29426328,35.05941855,10.23449105,3.343733681,2.588172324,0.755535248
9,4,A,4.5,4.7,0.0583,0.0598,0.0603,0.1625,0.1637,0.1637,0.0595,0.1633,7.5452,1.8749,9.4201,7.8142,1.901,9.7151,0.2935,0.109,0.3829,2.093352296,1.676717037,0.416635259,33.31712999,26.68609559,6.631034401,34.36054326,27.63740539,6.723491547,2.067042553,1.662595745,0.404468085
10,4,B,4.8,4.7,0.0646,0.0641,0.0635,0.1766,0.1758,0.1753,0.0641,0.1759,8.1273,2.0206,10.1479,7.8142,1.901,9.7151,0.2935,0.109,0.3829,2.114139444,1.693180556,0.420958889,35.89116974,28.7446653,7.146504445,34.36054326,27.63740539,6.723491547,2.067042553,1.662595745,0.404468085
11,4,C,4.8,4.7,0.0603,0.0599,0.0593,0.1684,0.1679,0.1672,0.0598,0.1678,7.77,1.8074,9.5775,7.8142,1.901,9.7151,0.2935,0.109,0.3829,1.995306944,1.618759722,0.376547222,33.87378275,27.48124307,6.392539671,34.36054326,27.63740539,6.723491547,2.067042553,1.662595745,0.404468085
12,5,A,5.5,6.03,0.1036,0.1037,0.1039,0.2584,0.2581,0.2583,0.1037,0.2583,11.8173,3.8662,15.6835,11.6275,3.4141,15.0416,0.4569,0.7294,1.1808,2.851543273,2.148602182,0.702941091,55.46964703,41.79568508,13.67396194,53.19940581,41.12435453,12.07505128,2.494461028,1.92827529,0.566185738
13,5,B,6.4,6.03,0.1036,0.1039,0.1037,0.2612,0.2613,0.2607,0.1037,0.2611,11.9589,3.8035,15.7623,11.6275,3.4141,15.0416,0.4569,0.7294,1.1808,2.462865,1.868575,0.59429,55.74851807,42.29638537,13.4521327,53.19940581,41.12435453,12.07505128,2.494461028,1.92827529,0.566185738
14,5,C,6.2,6.03,0.0923,0.092,0.0719,0.2406,0.2398,0.2392,0.0854,0.2399,11.1063,2.5726,13.6789,11.6275,3.4141,15.0416,0.4569,0.7294,1.1808,2.206270538,1.791334624,0.414935914,48.37970338,39.28087524,9.098828134,53.19940581,41.12435453,12.07505128,2.494461028,1.92827529,0.566185738
15,6,A,4.3,4.7,0.0262,0.0261,0.0264,0.0842,0.0842,0.0845,0.0262,0.0843,3.9485,0.5524,4.5009,4.2441,0.6798,4.9239,0.3074,0.2874,0.5691,1.046717829,0.918245891,0.128471938,15.91881823,13.96497607,1.953842164,17.41493952,15.01061045,2.404329066,1.047638298,0.903,0.144638298
16,6,B,4.9,4.7,0.027,0.0268,0.0265,0.0901,0.0899,0.0895,0.0268,0.0898,4.2218,0.4781,4.6999,4.2441,0.6798,4.9239,0.3074,0.2874,0.5691,0.959173061,0.861600816,0.097572245,16.62286199,14.93189503,1.690966966,17.41493952,15.01061045,2.404329066,1.047638298,0.903,0.144638298
17,6,C,4.9,4.7,0.0363,0.031,0.0363,0.0984,0.0985,0.0983,0.0345,0.0984,4.5621,1.0088,5.5709,4.2441,0.6798,4.9239,0.3074,0.2874,0.5691,1.136919728,0.931037823,0.205881905,19.70328453,16.13526679,3.568017731,17.41493952,15.01061045,2.404329066,1.047638298,0.903,0.144638298
18,7,A,4.2,4.07,0.0356,0.0369,0.0379,0.1064,0.1074,0.1088,0.0368,0.1075,4.9968,1.0151,6.0119,5.4473,1.0709,6.5183,0.5167,0.1783,0.6729,1.431400635,1.189704127,0.241696508,21.2629365,17.67262267,3.590313834,23.05404258,19.26611021,3.787578694,1.601547912,1.338402948,0.263120393
19,7,B,4.2,4.07,0.0374,0.0378,0.0373,0.1145,0.1145,0.1141,0.0375,0.1144,5.3339,0.9272,6.2611,5.4473,1.0709,6.5183,0.5167,0.1783,0.6729,1.490729841,1.269971111,0.22075873,22.14425031,18.86495956,3.27929075,23.05404258,19.26611021,3.787578694,1.601547912,1.338402948,0.263120393
20,7,C,3.8,4.07,0.0442,0.0447,0.0456,0.1289,0.1295,0.1301,0.0448,0.1295,6.0113,1.2705,7.2818,5.4473,1.0709,6.5183,0.5167,0.1783,0.6729,1.916264912,1.581924561,0.334340351,25.75442692,21.26092287,4.493504044,23.05404258,19.26611021,3.787578694,1.601547912,1.338402948,0.263120393
21,8,A,3.7,4.03,0.0865,0.0863,0.0865,0.2263,0.2256,0.2254,0.0864,0.2258,10.381,2.9846,13.3656,11.1244,3.2762,14.4007,0.6663,0.2669,0.9328,3.612325405,2.805681081,0.806644324,47.27171253,36.71578128,10.55593124,50.93265898,39.34498125,11.58732404,3.57337469,2.760397022,0.812952854
22,8,B,4.6,4.03,0.0987,0.0989,0.0991,0.2543,0.2543,0.2539,0.0989,0.2542,11.6678,3.5083,15.1761,11.1244,3.2762,14.4007,0.6663,0.2669,0.9328,3.299162029,2.536483188,0.762678841,53.67526821,41.26696848,12.40829973,50.93265898,39.34498125,11.58732404,3.57337469,2.760397022,0.812952854
23,8,C,3.8,4.03,0.0955,0.0951,0.095,0.2467,0.2464,0.2464,0.0952,0.2465,11.3244,3.3358,14.6603,11.1244,3.2762,14.4007,0.6663,0.2669,0.9328,3.857962105,2.980117895,0.877844211,51.85066139,40.05251468,11.79814671,50.93265898,39.34498125,11.58732404,3.57337469,2.760397022,0.812952854
