,Leaf No.,Spot,Leaf weight (mg),Mean leaf weight (mg),A647,Unnamed: 5,Unnamed: 6,A664,Unnamed: 8,Unnamed: 9,Average,Unnamed: 11,Chlorophyll a (µg),Chlorophyll b (µg),Total Chlorophyll (µg),Avg Chlorophyll a ,Avg Chlorophyll b,Avg Total Chlorophyll,Chlorophyll a STD,Chlorophyll b STD,Total Chlorophyll STD,Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
0,1,A,6.1,6.03,0.0881,0.0828,0.0823,0.2324,0.2263,0.2254,0.0844,0.228,10.5199,2.7446,13.2646,10.4033,2.6179,13.0212,0.1755,0.1169,0.2796,2.174519781,1.724580546,0.449939235,46.91437599,37.20712079,9.707255193,46.05361817,36.79458159,9.259036571,2.159402985,1.725257048,0.434145937
1,1,B,6.2,6.03,0.0803,0.0803,0.0799,0.2219,0.2206,0.2197,0.0802,0.2207,10.2015,2.5143,12.7158,10.4033,2.6179,13.0212,0.1755,0.1169,0.2796,2.050929677,1.645400645,0.405529032,44.97334654,36.08079508,8.892551461,46.05361817,36.79458159,9.259036571,2.159402985,1.725257048,0.434145937
2,1,C,5.8,6.03,0.0831,0.082,0.0825,0.2283,0.2267,0.2259,0.0825,0.227,10.4883,2.5948,13.0832,10.4033,2.6179,13.0212,0.1755,0.1169,0.2796,2.255721379,1.808333793,0.447387586,46.27284431,37.09533847,9.177505836,46.05361817,36.79458159,9.259036571,2.159402985,1.725257048,0.434145937
3,2,A,5.2,5.37,0.0794,0.0791,0.0792,0.2269,0.2248,0.2245,0.0792,0.2254,10.4486,2.3229,12.7715,10.5134,2.3585,12.8719,0.1296,0.0333,0.1559,2.456058205,2.009344872,0.446713333,45.17048407,36.95477588,8.215708189,45.5255712,37.18398529,8.341585909,2.397001862,1.957802607,0.439199255
4,2,B,5.4,5.37,0.0811,0.081,0.0811,0.2311,0.2299,0.2292,0.0811,0.2301,10.6626,2.3889,13.0516,10.5134,2.3585,12.8719,0.1296,0.0333,0.1559,2.416956049,1.974558025,0.442398025,46.1610054,37.71172573,8.449279668,45.5255712,37.18398529,8.341585909,2.397001862,1.957802607,0.439199255
5,2,C,5.5,5.37,0.0797,0.0796,0.0795,0.226,0.225,0.2243,0.0796,0.2251,10.429,2.3637,12.7928,10.5134,2.3585,12.8719,0.1296,0.0333,0.1559,2.325960727,1.896189091,0.429771636,45.24575228,36.8856193,8.360132984,45.5255712,37.18398529,8.341585909,2.397001862,1.957802607,0.439199255
6,3,A,5.4,5.43,0.0626,0.0625,0.0624,0.1804,0.1795,0.1792,0.0625,0.1797,8.3381,1.7897,10.1279,8.4333,1.8158,10.2491,0.1026,0.03,0.1325,1.875528148,1.544098519,0.33142963,35.82037207,29.49045766,6.329914409,36.24920422,29.82704959,6.42215463,1.887495396,1.553093923,0.334401473
7,3,B,5.4,5.43,0.0633,0.0632,0.0629,0.1823,0.1813,0.1808,0.0631,0.1815,8.4199,1.8091,10.229,8.4333,1.8158,10.2491,0.1026,0.03,0.1325,1.89425037,1.559237037,0.335013333,36.1779444,29.77958548,6.398358916,36.24920422,29.82704959,6.42215463,1.887495396,1.553093923,0.334401473
8,3,C,5.5,5.43,0.0642,0.0643,0.0641,0.1847,0.1841,0.1836,0.0642,0.1841,8.5419,1.8486,10.3905,8.4333,1.8158,10.2491,0.1026,0.03,0.1325,1.889187394,1.553081697,0.336105697,36.74941878,30.21132253,6.538096249,36.24920422,29.82704959,6.42215463,1.887495396,1.553093923,0.334401473
9,4,A,4.7,4.63,0.0541,0.0544,0.0548,0.1563,0.1557,0.1555,0.0544,0.1558,7.2279,1.5738,8.8017,7.0032,1.533,8.5362,0.2078,0.044,0.2504,1.872706667,1.537853333,0.334853333,31.13008889,25.56380656,5.566282332,30.19098819,24.76904577,5.421942421,1.843671706,1.512570194,0.331101512
10,4,B,4.6,4.63,0.0526,0.0524,0.0531,0.1504,0.1503,0.1499,0.0527,0.1502,6.9638,1.5387,8.5025,7.0032,1.533,8.5362,0.2078,0.044,0.2504,1.84838,1.513873913,0.334506087,30.07196718,24.62976586,5.442201316,30.19098819,24.76904577,5.421942421,1.843671706,1.512570194,0.331101512
11,4,C,4.6,4.63,0.0512,0.0513,0.0516,0.1474,0.1469,0.1467,0.0514,0.147,6.818,1.4864,8.3043,7.0032,1.533,8.5362,0.2078,0.044,0.2504,1.805288986,1.482168406,0.32312058,29.37090377,24.11393742,5.256966353,30.19098819,24.76904577,5.421942421,1.843671706,1.512570194,0.331101512
12,5,A,6.2,6.33,0.0434,0.0437,0.0438,0.1217,0.1216,0.1217,0.0436,0.1217,5.6296,1.3343,6.9639,5.87,1.3809,7.2509,0.2325,0.0882,0.308,1.123213548,0.908001935,0.215211613,24.63013369,19.91091462,4.719219071,25.64511565,20.76112329,4.88399236,1.145481833,0.927330174,0.218151659
13,5,B,6.5,6.33,0.0477,0.0475,0.0478,0.132,0.1317,0.1317,0.0477,0.1318,6.0937,1.4826,7.5763,5.87,1.3809,7.2509,0.2325,0.0882,0.308,1.165584821,0.937494564,0.228090256,26.79600104,21.55236142,5.243639622,25.64511565,20.76112329,4.88399236,1.145481833,0.927330174,0.218151659
14,5,C,6.3,6.33,0.0454,0.0461,0.043,0.1268,0.1303,0.124,0.0448,0.127,5.8866,1.3257,7.2123,5.87,1.3809,7.2509,0.2325,0.0882,0.308,1.14481672,0.934380741,0.210435979,25.5087548,20.81982976,4.688925043,25.64511565,20.76112329,4.88399236,1.145481833,0.927330174,0.218151659
15,6,A,5.9,6.03,0.0569,0.0569,0.0564,0.1591,0.1587,0.1576,0.0567,0.1585,7.3335,1.7288,9.0624,7.0578,1.6277,8.6855,0.3533,0.1123,0.4646,1.53599322,1.242973559,0.293019661,32.05192049,25.93741246,6.114508029,30.71903516,24.96215604,5.756879112,1.440381426,1.170447761,0.269933665
