Leaf number,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,565 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,led,led current,saturation check,time
1,1,64,50,    47.400,   384.950,  1197.850,   393.450,   995.250,  2196.950,   687.850,   540.750,  1924.450,   162.450,   391.400,   150.900,   678.500,   354.950,   127.050,    51.350,    29.300,    29.250,b'White',12.5 mA,b'OK Read',10:27:41
1,1,64,50,    18.950,    18.350,    16.700,    22.350,    30.250,    16.150,    18.800,    31.350,    17.200,    31.600,    52.200,    16.750,    31.650,    51.300,   512.550,  1181.250,   637.900,   248.500,b'IR',12.5 mA,b'OK Read',10:27:42
1,1,64,50,  3148.950,   421.600,    33.400,    26.850,    15.150,    12.900,    16.100,    13.050,     5.750,    20.300,    20.900,    29.350,    49.750,    29.950,    13.150,     5.700,     6.500,     9.750,b'UV',12.5 mA,b'OK Read',10:27:43
1,1,64,50,    66.400,   407.850,  1243.750,   415.800,  1033.100,  2219.600,   706.700,   569.450,  1947.350,   185.000,   407.050,   169.750,   741.850,   419.100,   635.200,  1232.600,   663.950,   277.700,b'White IR',12.5 mA,b'OK Read',10:27:44
1,1,64,50,  3177.400,   806.500,  1260.450,   420.250,  1018.000,  2209.900,   701.300,   551.200,  1930.200,   176.000,   438.400,   194.900,   814.200,   427.650,   140.200,    57.050,    35.800,    39.000,b'White UV',12.5 mA,b'OK Read',10:27:45
1,1,64,50,  3153.700,   435.350,    45.900,    49.200,    45.400,    29.100,    34.950,    44.400,    22.900,    49.650,    73.050,    48.200,    85.950,    77.000,   516.950,  1181.250,   644.400,   253.350,b'UV IR',12.5 mA,b'OK Read',10:27:46
1,1,64,50,  3130.000,   815.700,  1273.000,   438.150,  1044.450,  2219.600,   717.450,   582.550,  1947.350,   203.050,   464.500,   203.300,   805.150,   453.350,   639.600,  1226.900,   670.450,   282.600,b'White UV IR',12.5 mA,b'OK Read',10:27:47
1,1,64,50,    94.850,   838.600,  2245.450,   728.750,  1945.150,  4258.250,  1332.750,  1044.900,  3717.150,   302.350,   788.050,   305.950,  1456.550,   765.550,   249.700,    97.000,    55.350,    58.450,b'White',25 mA,b'OK Read',10:27:49
1,1,64,50,    42.700,    36.650,    37.550,    44.700,    64.350,    35.550,    40.300,    65.300,    40.100,    60.900,    78.300,    35.650,    67.850,    98.350,  1038.250,  2425.250,  1360.450,   540.800,b'IR',25 mA,b'OK Read',10:27:50
1,1,64,50,  4486.350,   582.000,    41.750,    40.250,    22.700,    19.400,    24.200,    18.300,     5.750,    29.350,    26.100,    41.900,    72.350,    42.750,    13.150,     5.700,     9.750,     9.750,b'UV',25 mA,b'OK Read',10:27:51
1,1,64,50,   132.800,   875.250,  2278.850,   769.000,  2005.700,  4290.550,  1370.350,  1110.200,  3757.250,   358.750,   819.350,   335.300,  1501.750,   846.800,  1283.550,  2516.550,  1412.500,   594.400,b'White IR',25 mA,b'OK Read',10:27:52
1,1,64,50,  4296.650,  1388.500,  2283.000,   764.550,  1960.250,  4261.500,  1351.550,  1060.550,  3722.900,   327.150,   829.800,   358.350,  1569.600,   821.150,   262.850,   102.700,    61.850,    68.200,b'White UV',25 mA,b'OK Read',10:27:53
1,1,64,50,  4249.200,   586.550,    75.150,    80.500,    83.250,    48.450,    61.800,    83.600,    45.800,    85.750,    99.150,    75.450,   126.650,   132.600,  1042.600,  2425.250,  1366.950,   550.550,b'UV IR',25 mA,b'OK Read',10:27:53
1,1,64,50,  4059.500,  1388.500,  2316.400,   804.750,  2020.800,  4290.550,  1389.200,  1123.250,  3757.250,   383.550,   897.650,   389.800,  1623.900,   906.650,  1283.550,  2510.850,  1419.050,   609.000,b'White UV IR',25 mA,b'OK Read',10:27:54
1,1,64,50,   189.700,  1800.950,  3919.100,  1305.500,  3667.000,  8028.650,  2512.350,  1967.000,  6941.750,   564.050,  1555.200,   609.850,  2989.950,  1573.850,   486.250,   188.300,   100.900,   107.200,b'White',50 mA,b'OK Read',10:27:56
1,1,64,50,    85.350,    73.300,    70.950,    84.950,   124.900,    67.850,    80.600,   133.200,    80.200,   119.600,   172.200,    69.150,   126.650,   188.200,  1993.250,  4673.600,  2825.050,  1174.200,b'IR',50 mA,b'OK Read',10:27:57
1,1,64,50,  5634.000,   719.450,    54.250,    49.200,    30.250,    22.600,    29.550,    23.500,    11.450,    38.350,    36.550,    56.600,    95.000,    55.600,    17.500,    11.400,    13.000,    14.600,b'UV',50 mA,b'OK Read',10:27:58
1,1,64,50,   270.300,  1869.650,  3985.900,  1390.450,  3799.450,  8102.950,  2587.600,  2089.800,  7033.400,   679.150,  1701.350,   676.900,  3107.550,  1757.750,  2462.000,  4850.500,  2922.650,  1281.350,b'White IR',50 mA,b'OK Read',10:27:59
1,1,64,50,  5088.600,  2428.750,  3973.350,  1354.700,  3682.100,  8022.200,  2531.150,  1980.050,  6936.050,   593.400,  1581.300,   695.750,  3179.950,  1680.750,   512.550,   199.750,   110.650,   121.800,b'White UV',50 mA,b'OK Read',10:28:00
1,1,64,50,  4974.800,   705.700,   116.850,   125.200,   151.350,    84.000,   104.800,   154.100,    85.900,   148.900,   203.550,   119.450,   208.100,   235.200,  1993.250,  4667.900,  2831.550,  1183.950,b'UV IR',50 mA,b'OK Read',10:28:01
1,1,64,50,  4443.650,  2410.400,  4023.450,  1430.700,  3803.200,  8086.800,  2598.350,  2102.850,  7010.500,   701.700,  1774.400,   748.150,  3261.350,  1839.000,  2444.450,  4804.850,  2922.650,  1296.000,b'White UV IR',50 mA,b'OK Read',10:28:02
1,1,64,50,   260.850,  2506.650,  4941.650,  1690.000,  4775.800, 10509.950,  3286.200,  2565.200,  9060.950,   731.000,  2092.750,   836.200,  4093.650,  2176.850,   652.750,   256.800,   133.450,   141.300,b'White',100 mA,b'OK Read',10:28:04
1,1,64,50,   156.500,   137.500,   133.550,   156.500,   242.200,   122.750,   150.450,   256.000,   148.900,   225.600,   297.450,   129.950,   230.700,   333.600,  3465.150,  8086.050,  5676.100,  2582.250,b'IR',100 mA,b'OK Read',10:28:05
