Leaf number,spectrometer,gain,integration time,LED current,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,Unnamed: 19,position,Chlorophyll a (ug/ml),Chlorophyll b (ug/ml),Total Chlorophyll (ug/ml),Chlorophyll a (ug/ml) STDEV,Chlorophyll b (ug/ml) STDEV,Total Chlorophyll (ug/ml) STDEV
Leaf: 1,b'AS7262',16,100,12.5,4051.125,3076.624643,7481.528571,7040.996429,6018.75,2301.202857,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,25,7864.464286,6052.160714,14638.46071,13764.925,11706.875,4483.5,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,50,14707.34286,11414.275,27606.43929,25930.72143,21966.83571,8379.453571,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,100,21607.46429,16772,40740.67857,38272.28571,32344.11786,12306.88929,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,100,21748.37143,16692.88571,40566.5,38117.17857,32237.46071,12250.93214,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,50,14610.46786,11049.47857,26933.49643,25331.04643,21501.12143,8166.121429,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,25,7842.446429,5876.353571,14313.86429,13485.76786,11497.12857,4354.1,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,12.5,4055.528571,3023.882143,7346.939286,6927.267857,5933.428571,2224.262857,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,12.5,5473.421429,3133.761786,8827.410714,8040.453571,8532.189286,2965.683929,12:41:54,pos 2,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,25,10598.975,6140.064286,17258.97143,15701.80357,16598.66786,5773.989286,12:41:54,pos 2,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,50,19815.28214,11563.71071,32495.16071,29570.12143,31135.38571,10789.075,12:41:54,pos 2,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,100,29159.28929,16956.59643,47929.28571,43641.78571,45874.75,15874.1,12:41:54,pos 2,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,100,29331.025,16842.32143,47675.92857,43445.32143,45704.10714,15807.65357,12:41:54,pos 2,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,50,19678.775,11150.56786,31628.25357,28829.14643,30431.48214,10530.275,12:41:54,pos 2,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,25,10572.55357,5951.071429,16863.125,15381.28929,16300.03929,5641.092857,12:41:54,pos 2,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,12.5,5482.228571,3076.624643,8673.028571,7916.382143,8425.539286,2906.23,12:41:54,pos 2,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,12.5,5508.65,3142.552143,8827.410714,8043.9,8549.967857,2972.678571,12:42:07,pos 3,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,25,10665.025,6157.642857,17258.97143,15715.58929,16637.77143,5780.985714,12:42:07,pos 3,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,50,19920.96429,11559.31786,32435.78214,29552.88929,31188.71786,10799.56429,12:42:07,pos 3,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,100,29335.42857,16969.78214,47913.42857,43676.25,45995.60714,15916.07143,12:42:07,pos 3,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,100,29502.75714,16890.66786,47711.57143,43497.03571,45824.96429,15856.61786,12:42:07,pos 3,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,50,19780.05357,11185.72857,31655.96071,28867.05357,30502.58571,10561.75,12:42:07,pos 3,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,25,10629.79643,5973.046429,16878.95714,15401.96786,16339.14643,5662.078571,12:42:07,pos 3,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,12.5,5513.053571,3085.415,8676.989286,7923.275,8443.314286,2920.219286,12:42:08,pos 3,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 10,b'AS7262',16,100,12.5,4931.803571,4478.685714,8103.007143,8181.753571,5044.657143,1895.519643,10:56:38,pos 1,0.427458126,0.129254991,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 10,b'AS7262',16,100,25,9520.142857,8750.8,15873.50357,16011.97857,9829.796429,3745.575,10:56:38,pos 1,0.427458126,0.129254991,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 10,b'AS7262',16,100,50,17745.68571,16525.86786,29930.06786,30159.45714,18443.75357,7015.521429,10:56:38,pos 1,0.427458126,0.129254991,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 10,b'AS7262',16,100,100,24240.69643,22586.82143,41152.35714,41474,25308.61071,9606.996429,10:56:38,pos 1,0.427458126,0.129254991,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 10,b'AS7262',16,100,100,24394.81429,22520.89286,41013.82143,41356.82143,25248.175,9561.532143,10:56:38,pos 1,0.427458126,0.129254991,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 10,b'AS7262',16,100,50,17657.61786,16081.95714,29261.08214,29539.10357,18081.13571,6833.664286,10:56:38,pos 1,0.427458126,0.129254991,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 10,b'AS7262',16,100,25,9502.528571,8548.621429,15540.99286,15701.80357,9652.042857,3626.667857,10:56:38,pos 1,0.427458126,0.129254991,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 10,b'AS7262',16,100,12.5,4931.803571,4412.757143,7980.296429,8071.471429,4977.110714,1850.055,10:56:39,pos 1,0.427458126,0.129254991,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 10,b'AS7262',16,100,12.5,4936.207143,4483.082143,8106.967857,8188.65,5044.657143,1906.011429,10:56:52,pos 2,0.427458126,0.129254991,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 10,b'AS7262',16,100,25,9528.95,8759.589286,15869.54643,16005.08571,9819.132143,3738.578571,10:56:52,pos 2,0.427458126,0.129254991,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 10,b'AS7262',16,100,50,17754.49286,16539.05357,29941.93929,30173.24286,18436.64286,7005.028571,10:56:52,pos 2,0.427458126,0.129254991,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 10,b'AS7262',16,100,100,24258.30714,22613.18929,41152.35714,41477.42857,25301.5,9582.517857,10:56:52,pos 2,0.427458126,0.129254991,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 10,b'AS7262',16,100,100,24412.42857,22525.28929,40982.14286,41336.14286,25233.95357,9544.046429,10:56:52,pos 2,0.427458126,0.129254991,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 10,b'AS7262',16,100,50,17670.82857,16086.35357,29261.08214,29546,18074.025,6830.164286,10:56:52,pos 2,0.427458126,0.129254991,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 10,b'AS7262',16,100,25,9511.335714,8557.410714,15564.74286,15722.48214,9655.596429,3637.160714,10:56:52,pos 2,0.427458126,0.129254991,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 10,b'AS7262',16,100,12.5,4940.610714,4421.55,7996.128571,8081.810714,4980.667857,1864.044286,10:56:52,pos 2,0.427458126,0.129254991,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 10,b'AS7262',16,100,12.5,4940.610714,4487.475,8106.967857,8185.203571,5041.103571,1909.508571,10:57:03,pos 3,0.427458126,0.129254991,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 10,b'AS7262',16,100,25,9537.757143,8768.382143,15873.50357,16005.08571,9819.132143,3735.082143,10:57:03,pos 3,0.427458126,0.129254991,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 10,b'AS7262',16,100,50,17758.89643,16534.66071,29918.18929,30142.22143,18418.86786,6984.046429,10:57:03,pos 3,0.427458126,0.129254991,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 10,b'AS7262',16,100,100,24284.72857,22621.98214,41140.46429,41470.53571,25301.5,9568.528571,10:57:03,pos 3,0.427458126,0.129254991,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 10,b'AS7262',16,100,100,24443.25,22542.86786,40994.03571,41353.35714,25241.06429,9547.542857,10:57:03,pos 3,0.427458126,0.129254991,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 10,b'AS7262',16,100,50,17679.63571,16103.93214,29276.91786,29539.10357,18070.46786,6833.664286,10:57:03,pos 3,0.427458126,0.129254991,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 10,b'AS7262',16,100,25,9520.142857,8570.596429,15572.66071,15722.48214,9652.042857,3644.153571,10:57:03,pos 3,0.427458126,0.129254991,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 10,b'AS7262',16,100,12.5,4949.417857,4430.339286,8000.089286,8085.257143,4984.221429,1871.038929,10:57:03,pos 3,0.427458126,0.129254991,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 11,b'AS7262',16,100,12.5,5270.864286,1586.659286,4215.782143,3828.95,4895.346429,1968.962143,10:57:48,pos 1,0.437354234,0.145501694,0.582855928,0.007820217,0.009584473,0.014427534
Leaf: 11,b'AS7262',16,100,25,10198.26429,3107.390714,8225.721429,7468.35,9520.503571,3860.985714,10:57:48,pos 1,0.437354234,0.145501694,0.582855928,0.007820217,0.009584473,0.014427534
Leaf: 11,b'AS7262',16,100,50,16389.44286,5010.503571,15540.99286,14106.11786,17910.48929,7281.314286,10:57:48,pos 1,0.437354234,0.145501694,0.582855928,0.007820217,0.009584473,0.014427534
Leaf: 11,b'AS7262',16,100,100,22633.45714,6926.8,18426.72143,16715.04286,21198.93929,8627.760714,10:57:48,pos 1,0.437354234,0.145501694,0.582855928,0.007820217,0.009584473,0.014427534
Leaf: 11,b'AS7262',16,100,100,22677.48929,6918.010714,18414.85,16701.26071,21166.94286,8631.260714,10:57:48,pos 1,0.437354234,0.145501694,0.582855928,0.007820217,0.009584473,0.014427534
Leaf: 11,b'AS7262',16,100,50,19022.67143,5779.657143,15327.23214,13899.33571,17636.75,7193.882143,10:57:48,pos 1,0.437354234,0.145501694,0.582855928,0.007820217,0.009584473,0.014427534
Leaf: 11,b'AS7262',16,100,25,10202.66786,3067.833929,8134.675,7382.192857,9410.296429,3846.996429,10:57:48,pos 1,0.437354234,0.145501694,0.582855928,0.007820217,0.009584473,0.014427534
Leaf: 11,b'AS7262',16,100,12.5,5279.671429,1582.263929,4176.196429,3791.039286,4849.128571,1979.453929,10:57:48,pos 1,0.437354234,0.145501694,0.582855928,0.007820217,0.009584473,0.014427534
Leaf: 11,b'AS7262',16,100,12.5,5284.075,1595.449643,4223.7,3835.842857,4898.9,1996.940357,10:57:59,pos 2,0.437354234,0.145501694,0.582855928,0.007820217,0.009584473,0.014427534
Leaf: 11,b'AS7262',16,100,25,10229.08929,3129.366429,8265.307143,7499.367857,9541.832143,3902.953571,10:57:59,pos 2,0.437354234,0.145501694,0.582855928,0.007820217,0.009584473,0.014427534
Leaf: 11,b'AS7262',16,100,50,19119.54643,5893.932143,15572.66071,14119.90357,17889.16071,7295.303571,10:57:59,pos 2,0.437354234,0.145501694,0.582855928,0.007820217,0.009584473,0.014427534
Leaf: 11,b'AS7262',16,100,100,22831.60714,7010.307143,18620.68929,16880.47143,21380.25,8715.192857,10:57:59,pos 2,0.437354234,0.145501694,0.582855928,0.007820217,0.009584473,0.014427534
Leaf: 11,b'AS7262',16,100,100,22902.06429,6997.125,18596.93929,16866.68571,21362.475,8715.192857,10:58:00,pos 2,0.437354234,0.145501694,0.582855928,0.007820217,0.009584473,0.014427534
Leaf: 11,b'AS7262',16,100,50,19049.08929,5779.657143,15323.275,13899.33571,17629.63929,7193.882143,10:58:00,pos 2,0.437354234,0.145501694,0.582855928,0.007820217,0.009584473,0.014427534
Leaf: 11,b'AS7262',16,100,25,10211.475,3072.229286,8130.717857,7382.192857,9406.742857,3843.5,10:58:00,pos 2,0.437354234,0.145501694,0.582855928,0.007820217,0.009584473,0.014427534
Leaf: 11,b'AS7262',16,100,12.5,5288.478571,1582.263929,4176.196429,3794.485714,4852.682143,1975.956786,10:58:00,pos 2,0.437354234,0.145501694,0.582855928,0.007820217,0.009584473,0.014427534
Leaf: 11,b'AS7262',16,100,12.5,5292.882143,1599.844643,4231.614286,3842.735714,4906.010714,2000.4375,10:58:15,pos 3,0.437354234,0.145501694,0.582855928,0.007820217,0.009584473,0.014427534
Leaf: 11,b'AS7262',16,100,25,10242.3,3138.156786,8273.221429,7513.153571,9552.5,3913.442857,10:58:16,pos 3,0.437354234,0.145501694,0.582855928,0.007820217,0.009584473,0.014427534
Leaf: 11,b'AS7262',16,100,50,19150.36786,5907.121429,15584.53571,14144.02857,17906.93571,7305.796429,10:58:16,pos 3,0.437354234,0.145501694,0.582855928,0.007820217,0.009584473,0.014427534
Leaf: 11,b'AS7262',16,100,100,22858.02857,7023.492857,18640.48214,16914.93571,21401.58214,8732.678571,10:58:16,pos 3,0.437354234,0.145501694,0.582855928,0.007820217,0.009584473,0.014427534
Leaf: 11,b'AS7262',16,100,100,22959.30714,7019.1,18616.73214,16890.81071,21376.69286,8729.182143,10:58:16,pos 3,0.437354234,0.145501694,0.582855928,0.007820217,0.009584473,0.014427534
Leaf: 11,b'AS7262',16,100,50,19075.51429,5797.239286,15350.98571,13930.35357,17654.525,7211.367857,10:58:16,pos 3,0.437354234,0.145501694,0.582855928,0.007820217,0.009584473,0.014427534
Leaf: 11,b'AS7262',16,100,25,10229.08929,3081.019643,8142.592857,7395.975,9413.85,3846.996429,10:58:16,pos 3,0.437354234,0.145501694,0.582855928,0.007820217,0.009584473,0.014427534
Leaf: 11,b'AS7262',16,100,12.5,5297.285714,1586.659286,4180.153571,3797.932143,4856.239286,1979.453929,10:58:16,pos 3,0.437354234,0.145501694,0.582855928,0.007820217,0.009584473,0.014427534
Leaf: 12,b'AS7262',16,100,12.5,12193.00357,8034.385714,20778.06071,18700.17143,14202.54286,5224.917857,10:59:36,pos 1,0.354973045,0.146112721,0.501085766,0.016224475,0.051639241,0.061055437
Leaf: 12,b'AS7262',16,100,25,23597.8,15655.625,40522.96429,36459.46429,27598.08571,10229.51071,10:59:36,pos 1,0.354973045,0.146112721,0.501085766,0.016224475,0.051639241,0.061055437
Leaf: 12,b'AS7262',16,100,50,44091.21429,29496.03929,76165.10714,68448.96429,51534.42857,19179.02143,10:59:36,pos 1,0.354973045,0.146112721,0.501085766,0.016224475,0.051639241,0.061055437
Leaf: 12,b'AS7262',16,100,100,62589.85714,41820.10714,108288.1786,97322.92857,73074.67857,27177.275,10:59:36,pos 1,0.354973045,0.146112721,0.501085766,0.016224475,0.051639241,0.061055437
Leaf: 12,b'AS7262',16,100,100,62964.14286,41631.10714,107805.25,96916.25,72758.25,26988.42143,10:59:36,pos 1,0.354973045,0.146112721,0.501085766,0.016224475,0.051639241,0.061055437
Leaf: 12,b'AS7262',16,100,50,43672.89286,28656.56071,74617.35714,67104.89286,50489.25,18678.91071,10:59:36,pos 1,0.354973045,0.146112721,0.501085766,0.016224475,0.051639241,0.061055437
Leaf: 12,b'AS7262',16,100,25,23509.73214,15387.51786,39968.78571,35966.64286,27178.58214,10037.16071,10:59:36,pos 1,0.354973045,0.146112721,0.501085766,0.016224475,0.051639241,0.061055437
Leaf: 12,b'AS7262',16,100,12.5,12193.00357,7964.060714,20580.13571,18527.85357,14056.78571,5172.460714,10:59:36,pos 1,0.354973045,0.146112721,0.501085766,0.016224475,0.051639241,0.061055437
Leaf: 12,b'AS7262',16,100,12.5,12254.65,8082.732143,20809.72857,18741.52857,14227.42857,5294.864286,10:59:55,pos 2,0.354973045,0.146112721,0.501085766,0.016224475,0.051639241,0.061055437
Leaf: 12,b'AS7262',16,100,25,23721.09643,15761.10714,40562.53571,36524.96429,27626.52143,10257.48929,10:59:55,pos 2,0.354973045,0.146112721,0.501085766,0.016224475,0.051639241,0.061055437
Leaf: 12,b'AS7262',16,100,50,44298.17857,29636.68214,76125.53571,68483.42857,51573.53571,19179.02143,10:59:55,pos 2,0.354973045,0.146112721,0.501085766,0.016224475,0.051639241,0.061055437
Leaf: 12,b'AS7262',16,100,100,63003.78571,42004.71429,108367.3571,97440.10714,73234.64286,27149.29643,10:59:55,pos 2,0.354973045,0.146112721,0.501085766,0.016224475,0.051639241,0.061055437
Leaf: 12,b'AS7262',16,100,100,63351.64286,41758.57143,107829,97026.53571,72911.14286,26935.96429,10:59:55,pos 2,0.354973045,0.146112721,0.501085766,0.016224475,0.051639241,0.061055437
Leaf: 12,b'AS7262',16,100,50,43906.25,28726.88571,74589.64286,67135.89286,50581.67857,18654.43214,10:59:55,pos 2,0.354973045,0.146112721,0.501085766,0.016224475,0.051639241,0.061055437
Leaf: 12,b'AS7262',16,100,25,23641.83571,15427.075,39972.71429,36014.89286,27242.575,10040.65714,10:59:55,pos 2,0.354973045,0.146112721,0.501085766,0.016224475,0.051639241,0.061055437
