Leaf number,spectrometer,gain,integration time,current,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,time,position,Chlorophyll a (ug/ml),Chlorophyll b (ug/ml),Total Chlorophyll (ug/ml),position stdev,vial number stdev,Absorbance (647) stdev,Absorbance (664) stdev,Chlorophyll a (ug/ml) stdev,Chlorophyll b (ug/ml) stdev,Total Chlorophyll (ug/ml) stdev
Leaf: 1,b'AS7262',16,100,12,0.039253296,0.02902272,0.037108194,0.039174485,0.037724514,0.036401895,11:11:10,pos 1,0.338754342,0.127924396,0.466678739,1.58113883,1.58113883,0.004038936,0.011958135,0.025128478,0.005978654,0.029697149
Leaf: 1,b'AS7262',16,100,25,0.065416291,0.048670428,0.057748251,0.060925883,0.0585816,0.05647826,11:11:10,pos 1,0.338754342,0.127924396,0.466678739,1.58113883,1.58113883,0.004038936,0.011958135,0.025128478,0.005978654,0.029697149
Leaf: 1,b'AS7262',16,100,50,0.068864804,0.051213651,0.069989574,0.073769723,0.070827823,0.068297409,11:11:10,pos 1,0.338754342,0.127924396,0.466678739,1.58113883,1.58113883,0.004038936,0.011958135,0.025128478,0.005978654,0.029697149
Leaf: 1,b'AS7262',16,100,200,0.080283621,0.059840685,0.081315995,0.085672615,0.082149793,0.07919909,11:11:10,pos 1,0.338754342,0.127924396,0.466678739,1.58113883,1.58113883,0.004038936,0.011958135,0.025128478,0.005978654,0.029697149
Leaf: 1,b'AS7262',16,100,200,0.086828772,0.064777528,0.085487917,0.090063672,0.086308886,0.083165803,11:11:10,pos 1,0.338754342,0.127924396,0.466678739,1.58113883,1.58113883,0.004038936,0.011958135,0.025128478,0.005978654,0.029697149
Leaf: 1,b'AS7262',16,100,50,0.071855857,0.053308063,0.070227449,0.073989277,0.071043481,0.068405348,11:11:10,pos 1,0.338754342,0.127924396,0.466678739,1.58113883,1.58113883,0.004038936,0.011958135,0.025128478,0.005978654,0.029697149
Leaf: 1,b'AS7262',16,100,25,0.063621654,0.047099589,0.058333802,0.061506134,0.059105332,0.056856033,11:11:10,pos 1,0.338754342,0.127924396,0.466678739,1.58113883,1.58113883,0.004038936,0.011958135,0.025128478,0.005978654,0.029697149
Leaf: 1,b'AS7262',16,100,12,0.039270877,0.028873137,0.036540951,0.038531504,0.037154573,0.035754288,11:11:11,pos 1,0.338754342,0.127924396,0.466678739,1.58113883,1.58113883,0.004038936,0.011958135,0.025128478,0.005978654,0.029697149
Leaf: 1,b'AS7262',16,100,12,0.034801887,0.025681617,0.044226094,0.042671642,0.03832528,0.019941442,11:16:17,pos 2,0.338754342,0.127924396,0.466678739,1.58113883,1.58113883,0.004038936,0.011958135,0.025128478,0.005978654,0.029697149
Leaf: 1,b'AS7262',16,100,25,0.067369271,0.050066703,0.086311326,0.083257532,0.074493979,0.038857488,11:16:17,pos 2,0.338754342,0.127924396,0.466678739,1.58113883,1.58113883,0.004038936,0.011958135,0.025128478,0.005978654,0.029697149
Leaf: 1,b'AS7262',16,100,50,0.125906116,0.094398663,0.162723466,0.156744971,0.13963769,0.072776812,11:16:17,pos 2,0.338754342,0.127924396,0.466678739,1.58113883,1.58113883,0.004038936,0.011958135,0.025128478,0.005978654,0.029697149
Leaf: 1,b'AS7262',16,100,200,0.166197414,0.124593272,0.215714179,0.207681157,0.184648384,0.096253216,11:16:18,pos 2,0.338754342,0.127924396,0.466678739,1.58113883,1.58113883,0.004038936,0.011958135,0.025128478,0.005978654,0.029697149
