,Model,y transform,x transform,LED,r2 train,mae train,r2 test,mae test
0,PLS 1-component,None,None,White LED,0.49245878772879115,0.08193916460990909,0.3371886145817669,0.09111497519763927
1,PLS 1-component,None,Logarithm,White LED,0.4777248049121079,0.08229420393625084,0.30525324447939806,0.09216346740440257
2,PLS 1-component,Exponential,None,White LED,0.5133363995583342,0.08216543397384238,0.3678215669583661,0.0907320645103413
3,PLS 1-component,Exponential,Logarithm,White LED,0.5024512132879956,0.08214689398388281,0.3449740490502795,0.09127256458068503
4,PLS 1-component,Logarithm,None,White LED,0.40096711958247844,0.08496207723076751,0.17937587804588997,0.09459280719617824
5,PLS 1-component,Logarithm,Logarithm,White LED,0.37141607319707515,0.08676771887770779,0.09913311072337687,0.09722783159551773
6,PLS 1-component,Reciprocol,None,White LED,0.106912371043278,0.0961081352436974,-0.6533438828887446,0.1113599630396429
7,PLS 1-component,Reciprocol,Logarithm,White LED,-0.028504707837310184,0.10004391567223994,-1.546080652355318,0.11960856518898418
8,PLS 2-component,None,None,White LED,0.7707029853905797,0.05827181860339362,0.6970754406889464,0.06349084232197602
9,PLS 2-component,None,Logarithm,White LED,0.7656808305400635,0.05773308545387224,0.6846919848534891,0.06337377060704563
10,PLS 2-component,Exponential,None,White LED,0.7576772920401645,0.060416544741771876,0.6864983012116694,0.06533931938030452
11,PLS 2-component,Exponential,Logarithm,White LED,0.7628272727632829,0.059298918730859566,0.6897460717254801,0.06416082797459446
12,PLS 2-component,Logarithm,None,White LED,0.763138363720095,0.0559363629918183,0.6676600197174747,0.06284406772696735
13,PLS 2-component,Logarithm,Logarithm,White LED,0.7267143109269321,0.05823387601094087,0.601010200595968,0.06564587749459407
14,PLS 2-component,Reciprocol,None,White LED,0.6514634688386978,0.06303754324919225,0.4710368761171198,0.0694628964507209
15,PLS 2-component,Reciprocol,Logarithm,White LED,0.4235378304537113,0.07246672758903264,-0.058185044611905525,0.07999719853571122
16,PLS 3-component,None,None,White LED,0.7809249590324666,0.05847487078159829,0.6849793819182964,0.06516907018329578
17,PLS 3-component,None,Logarithm,White LED,0.7771075734514108,0.057833447500253585,0.6586767263645553,0.06459620172537353
18,PLS 3-component,Exponential,None,White LED,0.765976759299839,0.06097859797526088,0.6704501403463686,0.06802622754874217
19,PLS 3-component,Exponential,Logarithm,White LED,0.7726629746404793,0.05960315995138417,0.6615990038094959,0.06667205862948578
20,PLS 3-component,Logarithm,None,White LED,0.7772125479646517,0.05527095926028003,0.6553200656399717,0.0629431021255422
21,PLS 3-component,Logarithm,Logarithm,White LED,0.7408433327083455,0.057373360737277924,0.5573547798825651,0.06682393951771746
22,PLS 3-component,Reciprocol,None,White LED,0.6635903877155827,0.06105751410472793,0.3318886641059132,0.07761887656953076
23,PLS 3-component,Reciprocol,Logarithm,White LED,0.3969152506857253,0.07053345325870364,-0.6033205748287219,0.09527783839058057
24,PLS 4-component,None,None,White LED,0.7836628922217455,0.058060762541026226,0.6791939053999669,0.06636216159669575
25,PLS 4-component,None,Logarithm,White LED,0.7799125566654467,0.05740514254898481,0.6563889878196679,0.06552610787688605
26,PLS 4-component,Exponential,None,White LED,0.7660955519747605,0.06117244887395205,0.6549057761573163,0.06927873294343563
27,PLS 4-component,Exponential,Logarithm,White LED,0.7733356076248121,0.05939195429989207,0.6453391895643478,0.06891510659364719
28,PLS 4-component,Logarithm,None,White LED,0.7841228976191482,0.054650551232565424,0.6603311697513119,0.06291123949052273
29,PLS 4-component,Logarithm,Logarithm,White LED,0.7472476155177651,0.056734876771727824,0.5621999766175396,0.0671769573564684
30,PLS 4-component,Reciprocol,None,White LED,0.6862239431273292,0.058506365175516335,0.4015360591809348,0.07289196688531954
31,PLS 4-component,Reciprocol,Logarithm,White LED,0.4176851938974463,0.06930633103462287,-0.496830823820372,0.09268410817798516
32,Lasso alpha 5,None,None,White LED,0.7072593237358971,0.06280293084620765,0.6524476482993118,0.06667494302672738
33,Lasso alpha 5,None,Logarithm,White LED,0.0,0.12497875075333333,-0.10214137169790476,0.12618877100138887
34,Lasso alpha 5,Exponential,None,White LED,0.7093481975039522,0.06315967269876548,0.6530227913480703,0.06710529530012545
35,Lasso alpha 5,Exponential,Logarithm,White LED,-0.005414908725924983,0.12463054228333333,-0.10806864383228505,0.125949825501059
36,Lasso alpha 5,Logarithm,None,White LED,0.7162290722696203,0.0593016107110759,0.6389336636235524,0.06377232888459942
37,Lasso alpha 5,Logarithm,Logarithm,White LED,-0.03322299265632234,0.1281947585909871,-0.14666701283303127,0.12942604536759056
38,Lasso alpha 5,Reciprocol,None,White LED,0.6361815836064351,0.06284177847822353,0.45156587432798856,0.06813801336512372
39,Lasso alpha 5,Reciprocol,Logarithm,White LED,-0.14221224874077665,0.13530128502028374,-0.28192205807173976,0.13643319001017973
40,Lasso alpha 2,None,None,White LED,0.7195408103460459,0.061216169299397945,0.6603004664460864,0.06475892552850729
41,Lasso alpha 2,None,Logarithm,White LED,0.0,0.12497875075333333,-0.10214137169790476,0.12618877100138887
42,Lasso alpha 2,Exponential,None,White LED,0.7128236019541028,0.0627205936456921,0.6530851218112252,0.0663903803248049
43,Lasso alpha 2,Exponential,Logarithm,White LED,-0.005414908725924983,0.12463054228333333,-0.10806864383228505,0.125949825501059
44,Lasso alpha 2,Logarithm,None,White LED,0.7179006181223542,0.05912795611468975,0.636601946178864,0.06345303985496127
45,Lasso alpha 2,Logarithm,Logarithm,White LED,-0.03322299265632234,0.1281947585909871,-0.14666701283303127,0.12942604536759056
46,Lasso alpha 2,Reciprocol,None,White LED,0.6304240136894133,0.06303358935622844,0.429750983307376,0.06903452146215733
47,Lasso alpha 2,Reciprocol,Logarithm,White LED,-0.14221224874077665,0.13530128502028374,-0.28192205807173976,0.13643319001017973
48,Lasso alpha 1,None,None,White LED,0.7212953084332099,0.06089599016582944,0.6601621070174518,0.06449867085541865
49,Lasso alpha 1,None,Logarithm,White LED,0.0,0.12497875075333333,-0.10214137169790476,0.12618877100138887
50,Lasso alpha 1,Exponential,None,White LED,0.7127422459425563,0.06291854650240872,0.6512899898612344,0.06651402094478309
51,Lasso alpha 1,Exponential,Logarithm,White LED,-0.005414908725924983,0.12463054228333333,-0.10806864383228505,0.125949825501059
52,Lasso alpha 1,Logarithm,None,White LED,0.7181006740511153,0.059102421029702944,0.633136603616878,0.06389266562570219
53,Lasso alpha 1,Logarithm,Logarithm,White LED,-0.03322299265632234,0.1281947585909871,-0.14666701283303127,0.12942604536759056
54,Lasso alpha 1,Reciprocol,None,White LED,0.6540708052203403,0.06112305607662643,0.43133963925452123,0.06973030936109156
55,Lasso alpha 1,Reciprocol,Logarithm,White LED,-0.14221224874077665,0.13530128502028374,-0.28192205807173976,0.13643319001017973
56,Lasso alpha 0.2,None,None,White LED,0.7396311567961114,0.05984776243413339,0.6537696943795943,0.06597320454473828
57,Lasso alpha 0.2,None,Logarithm,White LED,0.0,0.12497875075333333,-0.10214137169790476,0.12618877100138887
58,Lasso alpha 0.2,Exponential,None,White LED,0.7298919019774417,0.06326687184396108,0.635387240430047,0.06990324812317487
59,Lasso alpha 0.2,Exponential,Logarithm,White LED,-0.005414908725924983,0.12463054228333333,-0.10806864383228505,0.125949825501059
60,Lasso alpha 0.2,Logarithm,None,White LED,0.752950024035155,0.05632231677408686,0.6370129625672346,0.06414404494162998
61,Lasso alpha 0.2,Logarithm,Logarithm,White LED,-0.03322299265632234,0.1281947585909871,-0.14666701283303127,0.12942604536759056
62,Lasso alpha 0.2,Reciprocol,None,White LED,0.6642344024184691,0.06132723817173653,0.41292867390075044,0.07098467449282346
63,Lasso alpha 0.2,Reciprocol,Logarithm,White LED,0.09208560005947031,0.11800501541462806,-0.028932714271671302,0.12049015127392611
64,LassoLars alpha 1,None,None,White LED,0.0,0.12497875075333333,-0.10214137169790476,0.12618877100138887
65,LassoLars alpha 1,None,Logarithm,White LED,0.0,0.12497875075333333,-0.10214137169790476,0.12618877100138887
66,LassoLars alpha 1,Exponential,None,White LED,-0.005414908725924983,0.12463054228333333,-0.10806864383228505,0.125949825501059
67,LassoLars alpha 1,Exponential,Logarithm,White LED,-0.005414908725924983,0.12463054228333333,-0.10806864383228505,0.125949825501059
68,LassoLars alpha 1,Logarithm,None,White LED,-0.03322299265632234,0.1281947585909871,-0.14666701283303127,0.12942604536759056
69,LassoLars alpha 1,Logarithm,Logarithm,White LED,-0.03322299265632234,0.1281947585909871,-0.14666701283303127,0.12942604536759056
70,LassoLars alpha 1,Reciprocol,None,White LED,-0.14221224874077665,0.13530128502028374,-0.28192205807173976,0.13643319001017973
71,LassoLars alpha 1,Reciprocol,Logarithm,White LED,-0.14221224874077665,0.13530128502028374,-0.28192205807173976,0.13643319001017973
72,LassoLars alpha 0.1,None,None,White LED,0.0,0.12497875075333333,-0.10214137169790476,0.12618877100138887
73,LassoLars alpha 0.1,None,Logarithm,White LED,0.0,0.12497875075333333,-0.10214137169790476,0.12618877100138887
74,LassoLars alpha 0.1,Exponential,None,White LED,-0.005414908725924983,0.12463054228333333,-0.10806864383228505,0.125949825501059
75,LassoLars alpha 0.1,Exponential,Logarithm,White LED,-0.005414908725924983,0.12463054228333333,-0.10806864383228505,0.125949825501059
76,LassoLars alpha 0.1,Logarithm,None,White LED,-0.03322299265632234,0.1281947585909871,-0.14666701283303127,0.12942604536759056
77,LassoLars alpha 0.1,Logarithm,Logarithm,White LED,-0.03322299265632234,0.1281947585909871,-0.14666701283303127,0.12942604536759056
78,LassoLars alpha 0.1,Reciprocol,None,White LED,0.10824001955018969,0.116620391885322,0.11733653017932404,0.10932464254219638
79,LassoLars alpha 0.1,Reciprocol,Logarithm,White LED,0.08030742340803587,0.11895144319643083,0.09180373398025235,0.11132934869036674
80,LassoLars alpha 0.01,None,None,White LED,0.44671807035230693,0.0918978000113259,0.4451081176109447,0.08894755935847373
81,LassoLars alpha 0.01,None,Logarithm,White LED,0.44491641961367057,0.09160132222525827,0.4366084830674003,0.08871849626768757
82,LassoLars alpha 0.01,Exponential,None,White LED,0.5950415132930444,0.07734918159727593,0.5689425555258261,0.07693795949313262
83,LassoLars alpha 0.01,Exponential,Logarithm,White LED,0.5955702556729499,0.0771653952370788,0.559853371154001,0.0775298508005067
84,LassoLars alpha 0.01,Logarithm,None,White LED,0.6780796880580879,0.06352846781180559,0.6233060859141253,0.0670680104208774
