,Model,y transform,x transform,LED,r2 train,mae train,r2 test,mae test
0,PLS 1-component,None,None,White LED,0.38043923302986815,0.033962380022635304,0.16500547196737658,0.03788174387047221
1,PLS 1-component,None,Logarithm,White LED,0.36903858286506896,0.03417305785228356,0.14345684997985067,0.03821702372101482
2,PLS 1-component,Exponential,None,White LED,0.3890481184194984,0.03397418653893237,0.1727479695194713,0.037800485932100614
3,PLS 1-component,Exponential,Logarithm,White LED,0.37848179136652804,0.034120172922651446,0.15271601293175524,0.03815852426489673
4,PLS 1-component,Logarithm,None,White LED,0.2532990380429462,0.03501315196484575,0.0038237480469276,0.0395925440858699
5,PLS 1-component,Logarithm,Logarithm,White LED,0.22664713536882042,0.03550858114673264,-0.0569706067896222,0.04035079137414798
6,PLS 1-component,Reciprocol,None,White LED,-0.582736499480802,0.04339401626433817,-3.904656519792617,0.0542147081022283
7,PLS 1-component,Reciprocol,Logarithm,White LED,-1.4616201606037773,0.0475292326056535,-111.56357684202173,0.10710228314924217
8,PLS 2-component,None,None,White LED,0.6456218407444958,0.026120216642868687,0.46176950978661324,0.030370043572213696
9,PLS 2-component,None,Logarithm,White LED,0.6420473424881076,0.025972868998673897,0.45661967254516045,0.030374821575867524
10,PLS 2-component,Exponential,None,White LED,0.6420353294248209,0.026393776366556387,0.45609451699688125,0.030555484793748578
11,PLS 2-component,Exponential,Logarithm,White LED,0.6409954636832911,0.02613479428004856,0.45413026163626763,0.030517229724737853
12,PLS 2-component,Logarithm,None,White LED,0.6317493015964835,0.025383359652414946,0.4388710511860284,0.030114803309312422
13,PLS 2-component,Logarithm,Logarithm,White LED,0.5933201864042043,0.026115648439176974,0.38494573979508767,0.03083705559433313
14,PLS 2-component,Reciprocol,None,White LED,0.2821990402203378,0.030798761270243804,-0.17551634748126624,0.03629576767418642
15,PLS 2-component,Reciprocol,Logarithm,White LED,-1.306919455212599,0.039308716688012287,-5.532778326085053,0.05116205879991317
16,PLS 3-component,None,None,White LED,0.6513110510976075,0.026417006544144955,0.412472874983564,0.03156320478310668
17,PLS 3-component,None,Logarithm,White LED,0.6464315395733768,0.026022142126190324,0.38856613894871306,0.03150459329717857
18,PLS 3-component,Exponential,None,White LED,0.6473613990404044,0.026753922190245735,0.4073341871980335,0.03200980203632462
19,PLS 3-component,Exponential,Logarithm,White LED,0.6449480072130018,0.026235208335957508,0.38259748320838227,0.03182139425510548
20,PLS 3-component,Logarithm,None,White LED,0.6389602001861912,0.025332973728363985,0.3920303305684718,0.030865207435158103
21,PLS 3-component,Logarithm,Logarithm,White LED,0.5983689777050017,0.025790067042645366,0.2912897389171534,0.032154208889222095
22,PLS 3-component,Reciprocol,None,White LED,0.12090466689824042,0.03138644664717879,-1.7910609672013051,0.04735048605983002
23,PLS 3-component,Reciprocol,Logarithm,White LED,-4.216349932551964,0.0463814938697359,-49.86264450327939,0.1032975130217536
24,PLS 4-component,None,None,White LED,0.6566094865186517,0.026083358962385457,0.38811015027749607,0.032178796203959005
25,PLS 4-component,None,Logarithm,White LED,0.6493542305753879,0.025651793752246063,0.3574405304610672,0.03206440341787155
26,PLS 4-component,Exponential,None,White LED,0.6537279901464497,0.02640693959076714,0.37371259622652603,0.032641846916432335
27,PLS 4-component,Exponential,Logarithm,White LED,0.6478844782180804,0.02585160552420202,0.35199017618673667,0.03245880279025666
28,PLS 4-component,Logarithm,None,White LED,0.632534158534316,0.02552332082870136,0.35250680223518877,0.03159009911477181
