,Model,y transform,x transform,LED,r2 train,mae train,r2 test,mae test
0,PLS 1-component,None,None,White LED,0.47350040180349995,0.1130115970663332,0.29942279008820577,0.12531340867673404
1,PLS 1-component,None,Logarithm,White LED,0.4593270373918359,0.11352156448380575,0.26779286694065535,0.12619842445084947
2,PLS 1-component,Exponential,None,White LED,0.5011121011201463,0.1136886954516077,0.3382911571450714,0.12530602396268495
3,PLS 1-component,Exponential,Logarithm,White LED,0.4915631412566627,0.11356683227049205,0.3172664074751338,0.12568261540961836
4,PLS 1-component,Logarithm,None,White LED,0.37320355334212996,0.11554204643519513,0.12963111158163193,0.1292998475568691
5,PLS 1-component,Logarithm,Logarithm,White LED,0.34401371148803794,0.11763883031031035,0.048251323349112286,0.13279067480263784
6,PLS 1-component,Reciprocol,None,White LED,0.0221339087866409,0.13329569473594247,-0.9309167733214363,0.1564195459376395
7,PLS 1-component,Reciprocol,Logarithm,White LED,-0.14828858532637468,0.13919382237670605,-2.2860259483097467,0.17090156785986627
8,PLS 2-component,None,None,White LED,0.7557679019358641,0.08301817843683663,0.65520755121928,0.09258582424715225
9,PLS 2-component,None,Logarithm,White LED,0.7511477210706489,0.08227484185641125,0.6434967791129914,0.09196983091335967
10,PLS 2-component,Exponential,None,White LED,0.7329639646221784,0.08691573220426035,0.6338773060587266,0.0964072773548936
11,PLS 2-component,Exponential,Logarithm,White LED,0.7422095809432665,0.08524105950191603,0.6432534746234174,0.09463404490024355
12,PLS 2-component,Logarithm,None,White LED,0.7475559552084585,0.07956881730065518,0.6222177363453317,0.0908662674748534
13,PLS 2-component,Logarithm,Logarithm,White LED,0.7104375889094628,0.08126060282466763,0.5548878785441888,0.09424413105011237
14,PLS 2-component,Reciprocol,None,White LED,0.6101871055404625,0.08875104407727491,0.3779021053939684,0.10167090450446355
15,PLS 2-component,Reciprocol,Logarithm,White LED,0.31317204164261736,0.10309795061054702,-0.3518447506555512,0.1179167419261977
16,PLS 3-component,None,None,White LED,0.7632708711316845,0.08326294428521334,0.6339520534205596,0.09415979820419615
17,PLS 3-component,None,Logarithm,White LED,0.7589882571292135,0.08211526181900368,0.6033679165224919,0.09307728480706412
18,PLS 3-component,Exponential,None,White LED,0.7384273566811923,0.08751584994573394,0.6076411557189199,0.09892363730369358
19,PLS 3-component,Exponential,Logarithm,White LED,0.7481497843873872,0.08536945353035176,0.5979042007326653,0.09713142149739896
20,PLS 3-component,Logarithm,None,White LED,0.7580416986960807,0.07871403474048012,0.6019405078005607,0.09028618431020301
21,PLS 3-component,Logarithm,Logarithm,White LED,0.720527532626573,0.08083964391780761,0.5016994372029467,0.0950989121463938
