,Read number,gain,integration time,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,565 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm
12.5 mA 50,-2.5,-64.0,-50.0,-40.287500000000364,-29.799999999999955,-26.08750000000005,-12.28750000000003,-18.9125,-57.36250000000018,-16.812499999999865,-17.625000000000227,-17.174999999999635,-12.42499999999999,2.587500000000002,-12.087500000000006,-114.22499999999997,-162.5,-128.13749999999993,-81.29999999999998,-30.874999999999986,-12.162500000000001
12.5 mA 100,-2.5,-64.0,-100.0,-64.01249999999982,-36.09374999999994,-37.03749999999995,-19.01249999999986,-17.493750000000176,-53.712500000000546,-21.83124999999982,-22.843750000000085,-8.599999999999639,-15.78125000000001,-36.53124999999995,-26.46249999999999,-165.66250000000002,-197.7875,-154.96250000000003,-95.58749999999998,-42.73125,-16.4375
12.5 mA 150,-2.5,-64.0,-150.0,-57.69975000000022,-33.98300000000012,-39.304250000000046,-19.371250000000003,-15.450250000000182,-49.262749999999684,-19.93350000000013,-21.12525000000032,-0.48350000000073834,-14.662250000000004,-21.746249999999954,-26.02499999999995,-163.5915,-196.73324999999997,-156.60449999999994,-95.58349999999999,-42.299749999999996,-16.250999999999998
25 mA 50,-2.5,-64.0,-50.0,-290.4499999999998,-73.32499999999993,-37.599999999999824,-21.22499999999995,-40.66249999999991,-80.76250000000091,-29.58749999999982,-30.01250000000018,-30.07499999999891,-18.62499999999998,-9.137500000000024,-19.375,-140.2374999999999,-187.11249999999995,-153.325,-94.15000000000003,-41.4875,-18.275
25 mA 100,-2.5,-64.0,-100.0,-287.5250000000001,-69.31875000000002,-31.31250000000027,-19.006249999999866,-30.275000000000546,-75.53125,-30.218750000000355,-28.718749999999545,-36.51249999999891,-17.487500000000047,-13.699999999999882,-23.312500000000092,-150.97499999999985,-190.8499999999998,-155.5125,-94.87500000000003,-42.300000000000026,-16.443749999999998
25 mA 150,-2.5,-64.0,-150.0,-297.19150000000036,-71.02899999999977,-36.52074999999985,-20.48774999999999,-38.787499999999866,-81.8417500000005,-30.003500000000273,-29.603999999999914,-32.9375,-19.737499999999933,-30.874500000000065,-23.237749999999878,-154.1792500000002,-192.80375000000004,-155.51675,-96.53349999999999,-42.02949999999998,-17.475500000000004
50 mA 50,-2.5,-64.0,-50.0,-694.7749999999996,-136.33749999999964,-33.37500000000054,-24.612499999999955,-57.72500000000109,-115.52499999999856,-43.63750000000054,-41.149999999999544,-64.42500000000072,-24.79999999999982,37.86250000000027,-12.062499999999915,-117.58750000000083,-173.2125000000001,-151.13749999999993,-97.00000000000003,-40.675,-18.274999999999977
50 mA 100,-2.5,-64.0,-100.0,-703.0624999999995,-139.1999999999997,-37.556250000000176,-24.58750000000026,-72.85625,-130.04375000000147,-47.01250000000036,-44.0812500000001,-88.06250000000364,-26.243749999999864,22.175000000000182,-17.02499999999999,-127.78125,-183.36249999999993,-154.9749999999999,-96.29374999999997,-42.73125,-17.04999999999999
50 mA 150,-2.5,-64.0,-150.0,-707.0249999999996,-142.8249999999996,-40.00000000000017,-27.57500000000033,-87.03799999999956,-144.30825000000036,-50.158499999999954,-47.8875,-100.70900000000087,-27.828999999999986,-12.179249999999996,-19.55824999999993,-136.07100000000034,-186.39999999999992,-156.61249999999984,-97.01274999999998,-43.67075000000004,-17.862500000000008
100 mA 50,-2.5,-64.0,-50.0,-1049.2875000000004,-261.2000000000005,-181.55000000000035,-94.97500000000028,-303.67500000000075,-594.4875000000022,-204.87499999999983,-190.03750000000036,-681.5625000000015,-71.65,-65.23749999999991,-50.325000000000045,-229.5375,-228.8000000000001,-175.23750000000018,-104.13750000000002,-50.42499999999997,-26.78750000000001
100 mA 100,-2.5,-64.0,-100.0,-1064.6749999999997,-262.9187500000003,-177.90624999999926,-93.90000000000026,-296.1374999999989,-590.4249999999956,-202.53749999999928,-189.06874999999962,-669.4062500000007,-69.08749999999986,-23.487500000000267,-50.5625000000001,-236.92499999999953,-232.54375000000016,-176.32500000000005,-104.85000000000001,-49.624999999999986,-24.356250000000006
100 mA 150,-2.5,-64.0,-150.0,-1127.5037499999994,-286.7957499999999,-205.20824999999962,-112.52075000000016,-331.7624999999997,-635.1292500000039,-203.54574999999954,-192.22524999999987,-634.3169999999957,-70.89149999999992,-47.837500000000134,-51.16649999999996,-239.3667499999995,-229.15875000000008,-175.95775000000012,-104.14600000000004,-50.17975,-25.587500000000013
