Leaf number,spectrometer,gain,integratoin time,LED current,wavelength,450,500,550,570,600,650,Unnamed: 12,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,Unnamed: 19,position,Chlorophyll a (ug/ml),Chlorophyll b (ug/ml),Total Chlorophyll (ug/ml),Chlorophyll a (ug/ml) STDEV,Chlorophyll b (ug/ml) STDEV,Total Chlorophyll (ug/ml) STDEV
Leaf: 1,b'AS7262',16,100,12.5,Raw data,920,700,1890,2043,1693,658,Calibrated data,4051.125,3076.624643,7481.528571,7040.996429,6018.75,2301.202857,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,25,Raw data,1786,1377,3698,3994,3293,1282,Calibrated data,7864.464286,6052.160714,14638.46071,13764.925,11706.875,4483.5,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,50,Raw data,3340,2597,6974,7524,6179,2396,Calibrated data,14707.34286,11414.275,27606.43929,25930.72143,21966.83571,8379.453571,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,100,Raw data,4907,3816,10292,11105,9098,3519,Calibrated data,21607.46429,16772,40740.67857,38272.28571,32344.11786,12306.88929,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,100,Raw data,4939,3798,10248,11060,9068,3503,Calibrated data,21748.37143,16692.88571,40566.5,38117.17857,32237.46071,12250.93214,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,50,Raw data,3318,2514,6804,7350,6048,2335,Calibrated data,14610.46786,11049.47857,26933.49643,25331.04643,21501.12143,8166.121429,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,25,Raw data,1781,1337,3616,3913,3234,1245,Calibrated data,7842.446429,5876.353571,14313.86429,13485.76786,11497.12857,4354.1,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,12.5,Raw data,921,688,1856,2010,1669,636,Calibrated data,4055.528571,3023.882143,7346.939286,6927.267857,5933.428571,2224.262857,12:41:32,pos 1,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,12.5,Raw data,1243,713,2230,2333,2400,848,Calibrated data,5473.421429,3133.761786,8827.410714,8040.453571,8532.189286,2965.683929,12:41:54,pos 2,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
Leaf: 1,b'AS7262',16,100,25,Raw data,2407,1397,4360,4556,4669,1651,Calibrated data,10598.975,6140.064286,17258.97143,15701.80357,16598.66786,5773.989286,12:41:54,pos 2,0.270691207,0.085988829,0.356680036,0.017212536,0.005732519,0.021004776
