,Model,y transform,x transform,r2 train,mae train,r2 test,mae test
0,PLS 1-component,None,None,0.5948039094914443,0.10263913148356016,0.38588892464087754,0.11015339117728641
1,PLS 1-component,None,Exponential,0.35248525966485467,0.12884924232392503,-1.118177219173571,0.20599394815605251
2,PLS 1-component,None,Logarithm plus 1,0.08460203719665793,0.1623504720067225,-2.2964316865244383,0.26960018614576275
3,PLS 1-component,None,Quantile Transform,0.3524852596648548,0.12884924232392503,0.2929052523187019,0.12887179527482162
4,PLS 1-component,Exponential,None,0.6208557963908083,0.10022314639573462,0.009657546707552145,0.12375307383235214
5,PLS 1-component,Exponential,Exponential,0.35921912761416164,0.13004118472238324,0.2158317734159274,0.11763914649878641
6,PLS 1-component,Exponential,Logarithm plus 1,0.06927416455651503,0.16268062434557184,-0.6382977945385264,0.21095647206032156
7,PLS 1-component,Exponential,Quantile Transform,0.35921912761416186,0.13004118472238324,0.07608366760107255,0.11951687247344983
8,PLS 1-component,LogarithmReciprocol,None,0.4682893761386303,0.10957721204214427,-1.099463472127471,0.17599469778210017
9,PLS 1-component,LogarithmReciprocol,Exponential,0.20494087431813557,0.13263183283972188,0.3747566942924848,0.144095786485647
10,PLS 1-component,LogarithmReciprocol,Logarithm plus 1,0.053686170422330814,0.16573000756700776,-0.1569635348778009,0.2032357328550656
11,PLS 1-component,LogarithmReciprocol,Quantile Transform,0.20494087431813535,0.13263183283972188,-1.103379895296249,0.1568150918943694
12,PLS 1-component,Logarithm plus 1,None,0.5659132931511344,0.10461997657949729,0.22774380946072215,0.12896618705693838
13,PLS 1-component,Logarithm plus 1,Exponential,0.3280361135531171,0.12987588399077635,0.27385905772226304,0.1428733692105731
14,PLS 1-component,Logarithm plus 1,Logarithm plus 1,0.08328214005356616,0.1631452105188344,-0.5134985853958995,0.17982199665048648
15,PLS 1-component,Logarithm plus 1,Quantile Transform,0.3280361135531168,0.12987588399077638,-0.08790098874169905,0.1609195769622519
16,PLS 1-component,Exponential minus one,None,-1.1352225579650366,0.1472668777614134,-0.7359331755094372,0.17482826706698296
17,PLS 1-component,Exponential minus one,Exponential,-27.055671611608336,0.2698998623589876,0.3381281127036062,0.11881983896536016
18,PLS 1-component,Exponential minus one,Logarithm plus 1,-0.06859467038876743,0.17406341699825506,-1.2738039651529993,0.24015690760560088
19,PLS 1-component,Exponential minus one,Quantile Transform,-27.055671611608435,0.2698998623589879,-3.4446816831924005,0.20084240919501245
20,PLS 1-component,Quantile Transform,None,0.596069236168751,0.10236145730948897,0.15786868567187828,0.10401261836322041
21,PLS 1-component,Quantile Transform,Exponential,0.36261361776879864,0.12851509329008956,0.10892069917362279,0.1388922824243485
22,PLS 1-component,Quantile Transform,Logarithm plus 1,0.08385628917707699,0.161922741782032,-0.6909152396004625,0.23864495152347137
23,PLS 1-component,Quantile Transform,Quantile Transform,0.36261361776879864,0.12851509329008956,0.14814712964672028,0.16197870309122575
24,PLS 1-component,Normal Quantile Transform,None,0.630505036103473,0.09362773067738121,-0.30819821472805264,0.12008943192680291
25,PLS 1-component,Normal Quantile Transform,Exponential,0.47590317405659666,0.10706416992517598,0.09374124738619771,0.1563666985856817
26,PLS 1-component,Normal Quantile Transform,Logarithm plus 1,0.03930767048726369,0.1623456530147128,-0.15589384999642175,0.18796054956935163
27,PLS 1-component,Normal Quantile Transform,Quantile Transform,0.47590317405659677,0.10706416992517595,-0.03715223501881648,0.14664151151949828
28,PLS 1-component,Power Transform,None,0.5971101389568918,0.10246465431757926,0.33137434635113805,0.10524825312633705
29,PLS 1-component,Power Transform,Exponential,0.35384272480953394,0.12883202372475305,-4.117327612530017,0.27107130275853614
30,PLS 1-component,Power Transform,Logarithm plus 1,0.08424083329862786,0.16232497925594613,-0.09696903034863724,0.2009680123169672
31,PLS 1-component,Power Transform,Quantile Transform,0.35384272480953394,0.12883202372475305,0.34250807404685646,0.10798713822619262
32,PLS 2-component,None,None,0.6541039593871377,0.09239292123171526,0.49232072904401925,0.09906313075235565
33,PLS 2-component,None,Exponential,0.4870548657254812,0.10875932316431082,-0.28370385941332477,0.11939169090673728
34,PLS 2-component,None,Logarithm plus 1,0.0953868026392578,0.16045212074417287,-0.3292371485156478,0.19601094268450656
35,PLS 2-component,None,Quantile Transform,0.48705486572548107,0.10875932316431083,-0.8755598763591776,0.22035654393769868
36,PLS 2-component,Exponential,None,0.6725309036999554,0.09068483689132624,0.3380559761881683,0.07421594142574821
37,PLS 2-component,Exponential,Exponential,0.47609683933844527,0.11115520634536626,0.2686679994560215,0.11612448555091373
38,PLS 2-component,Exponential,Logarithm plus 1,0.07677804142855515,0.16062671175775486,-0.4264275504368513,0.1907262808123496
39,PLS 2-component,Exponential,Quantile Transform,0.47609683933844527,0.11115520634536626,-1.8535880897268844,0.198046597699713
40,PLS 2-component,LogarithmReciprocol,None,0.5679405855912493,0.09974629503835589,0.4737783828379706,0.11998074338958699
41,PLS 2-component,LogarithmReciprocol,Exponential,0.45182454982566544,0.11042805851559957,-28095.839545230356,8.220455042052645
42,PLS 2-component,LogarithmReciprocol,Logarithm plus 1,0.07015422647435032,0.16361674875250473,-1.2453779902643545,0.20296505958268427
43,PLS 2-component,LogarithmReciprocol,Quantile Transform,0.4518245498256658,0.11042805851559957,0.3390993965140666,0.14626263424224634
44,PLS 2-component,Logarithm plus 1,None,0.6340233204867778,0.09399791724117974,0.6046600594468194,0.09745156177548425
45,PLS 2-component,Logarithm plus 1,Exponential,0.4844536546392135,0.1082239300334079,-70.73452429285202,0.6002018693852916
46,PLS 2-component,Logarithm plus 1,Logarithm plus 1,0.09597742375572671,0.16122972304759242,-1.1632407730666596,0.21069486768775098
47,PLS 2-component,Logarithm plus 1,Quantile Transform,0.48445365463921364,0.10822393003340786,-8.248570170652476,0.24830109505113446
48,PLS 2-component,Exponential minus one,None,0.12068991017300257,0.1285795013933612,0.4413577915061021,0.10099761986109644
49,PLS 2-component,Exponential minus one,Exponential,-0.5927315857569211,0.1446723385719912,-1.7396670287248868,0.2606809588521492
50,PLS 2-component,Exponential minus one,Logarithm plus 1,-0.04781788690480093,0.17216391268228548,-0.5765830236930445,0.19921787979090463
51,PLS 2-component,Exponential minus one,Quantile Transform,-0.5927315857569246,0.1446723385719913,-2.305907411718352,0.22678255265016956
52,PLS 2-component,Quantile Transform,None,0.649580951349384,0.09359415538133616,0.6598326606295828,0.08926215772923721
53,PLS 2-component,Quantile Transform,Exponential,0.4782067417157163,0.10861676092587627,0.31001574216079386,0.12910756867918657
54,PLS 2-component,Quantile Transform,Logarithm plus 1,0.0918361716220647,0.16050582334992772,-0.21432907901300569,0.1709140308023335
55,PLS 2-component,Quantile Transform,Quantile Transform,0.4782067417157162,0.1086167609258763,0.3036556224717718,0.09909071114988384
56,PLS 2-component,Normal Quantile Transform,None,0.6368195856435396,0.08849580812532166,0.1953118415672792,0.11627927045615237
57,PLS 2-component,Normal Quantile Transform,Exponential,0.4704850733337874,0.10337690358447542,0.522730311089427,0.11399851286644384
58,PLS 2-component,Normal Quantile Transform,Logarithm plus 1,0.02536308452093483,0.16381310177833755,-0.48425568914112715,0.20736198071958875
59,PLS 2-component,Normal Quantile Transform,Quantile Transform,0.4704850733337874,0.10337690358447542,0.2650573429801899,0.11194006473412947
60,PLS 2-component,Power Transform,None,0.6557600948004844,0.09226689115253522,0.5517452076235749,0.09972128026045438
61,PLS 2-component,Power Transform,Exponential,0.4868716774208547,0.10883105070581324,-0.25080571756463454,0.15557572603746847
62,PLS 2-component,Power Transform,Logarithm plus 1,0.09482532106640373,0.16038412957814785,-2.5514506037422597,0.3014522060722214
63,PLS 2-component,Power Transform,Quantile Transform,0.4868716774208548,0.10883105070581324,0.5915604535236598,0.10118066340340412
64,PLS 3-component,None,None,0.6583275370015131,0.09165400706249201,0.13248187246841392,0.13009463797427687
65,PLS 3-component,None,Exponential,0.49753711703287196,0.1074734521661598,0.5788755095403866,0.11098884761907317
66,PLS 3-component,None,Logarithm plus 1,0.09585471351621011,0.1600019575791869,-1.4885124796279792,0.27357764767278175
67,PLS 3-component,None,Quantile Transform,0.49753711703287185,0.1074734521661598,0.5440275942362507,0.084808052395937
68,PLS 3-component,Exponential,None,0.6738579585865572,0.09007813643689165,0.711610208167781,0.06529477446403871
69,PLS 3-component,Exponential,Exponential,0.4881036470687975,0.11001610537261702,0.3319274515627043,0.1472925700225499
70,PLS 3-component,Exponential,Quantile Transform,0.4881036470687975,0.11001610537261704,-3.3850077586631295,0.21544775113470313
71,PLS 3-component,LogarithmReciprocol,None,0.5841002250315945,0.09811280610734172,-0.024405550947242505,0.1407914729499861
72,PLS 3-component,LogarithmReciprocol,Exponential,0.46113147386823417,0.10999356005743416,0.5137023076216535,0.10520721539608208
73,PLS 3-component,LogarithmReciprocol,Logarithm plus 1,0.07123766400502063,0.1630695130588004,-0.6216325409099719,0.22565875192495935
74,PLS 3-component,LogarithmReciprocol,Quantile Transform,0.4611314738682343,0.10999356005743416,-341107223.7888872,912.1235646132471
75,PLS 3-component,Logarithm plus 1,None,0.6410814944149514,0.09296456851382305,0.48551041653003946,0.10340691218217349
