,Model,y transform,x transform,r2 train,mae train,r2 test,mae test
0,PLS 1-component,None,None,0.5948039094914445,0.10263913148356016,0.655156860491504,0.10867808790098345
1,PLS 1-component,None,Exponential,0.3191710489361389,0.13317467713114312,0.03947975998657649,0.14408421665677384
2,PLS 1-component,None,Logarithm plus 1,0.13727334849344142,0.15429507669081183,-0.3040338501090254,0.19369593862167847
3,PLS 1-component,None,Quantile Transform,0.319171048936139,0.13317467713114312,-0.3542301690965348,0.18908596619912107
4,PLS 1-component,Exponential,None,0.6208557963908083,0.10022314639573458,0.5069821809800144,0.11658962487098946
5,PLS 1-component,Exponential,Exponential,0.32186615224481585,0.1339301837472941,-0.6631493357253047,0.1640529079628707
6,PLS 1-component,Exponential,Quantile Transform,0.32186615224481585,0.1339301837472941,-0.34507937187720983,0.153476546397262
7,PLS 1-component,LogarithmReciprocol,None,0.4682893761386301,0.10957721204214427,0.4538528490736672,0.12377729096089582
8,PLS 1-component,LogarithmReciprocol,Exponential,0.18565397173399445,0.13762249378665123,-0.9379979433135703,0.1922279556359205
9,PLS 1-component,LogarithmReciprocol,Logarithm plus 1,0.08741534442730714,0.16169737258986439,-0.054638112422327634,0.19000169093422253
10,PLS 1-component,LogarithmReciprocol,Quantile Transform,0.18565397173399456,0.1376224937866512,0.19362341613555212,0.130051971133463
11,PLS 1-component,Logarithm plus 1,None,0.5659132931511344,0.10461997657949729,0.47755739255445684,0.10438217260811887
12,PLS 1-component,Logarithm plus 1,Exponential,0.29860839252800264,0.13372052243273766,0.1860267406866779,0.14400419250756394
13,PLS 1-component,Logarithm plus 1,Logarithm plus 1,0.13047874684011085,0.15571142002045094,-2.4281351216657154,0.2279400140134417
14,PLS 1-component,Logarithm plus 1,Quantile Transform,0.29860839252800264,0.13372052243273766,-0.3535419532641295,0.15653265500371932
15,PLS 1-component,Exponential minus one,None,-1.135222557965042,0.1472668777614135,-0.13741005850474575,0.10930985797573352
16,PLS 1-component,Exponential minus one,Exponential,-38.03865383956819,0.2983494708182129,-0.2947099346773161,0.1967558792019259
17,PLS 1-component,Exponential minus one,Logarithm plus 1,-0.08019047433624693,0.17464152871953068,0.1554322053150885,0.16291384068231377
18,PLS 1-component,Exponential minus one,Quantile Transform,-38.03865383956924,0.2983494708182151,-0.011426916044174451,0.15251291869597516
19,PLS 1-component,Quantile Transform,None,0.596069236168751,0.10236145730948898,-0.14007848143816148,0.13575667715554374
20,PLS 1-component,Quantile Transform,Exponential,0.32862416512921566,0.13214491894302455,0.15398389029354753,0.1398743354965049
21,PLS 1-component,Quantile Transform,Logarithm plus 1,0.14287444414825112,0.1529650234013093,-0.15080216246857825,0.16002329689886297
22,PLS 1-component,Quantile Transform,Quantile Transform,0.32862416512921566,0.13214491894302455,0.6014803753904003,0.10744779613140863
23,PLS 1-component,Normal Quantile Transform,None,0.630505036103473,0.09362773067738121,-0.2558719312924649,0.14654012725929888
24,PLS 1-component,Normal Quantile Transform,Exponential,0.47058248004125014,0.1103395968384522,0.5089690718368307,0.07436566627983847
25,PLS 1-component,Normal Quantile Transform,Logarithm plus 1,-0.007035794238264392,0.15892576892711077,-0.8216240889157869,0.18631032970310044
26,PLS 1-component,Normal Quantile Transform,Quantile Transform,0.47058248004125014,0.11033959683845217,0.535328347801806,0.10553926599132997
27,PLS 1-component,Power Transform,None,0.597110138956892,0.10246465431757924,0.45496463114483576,0.09822588196048775
28,PLS 1-component,Power Transform,Exponential,0.3201979315653024,0.13315760680546201,0.35570019373525685,0.0973346993002326
29,PLS 1-component,Power Transform,Logarithm plus 1,0.137443696174545,0.15417446264019682,0.0117948676414803,0.149908609262722
30,PLS 1-component,Power Transform,Quantile Transform,0.3201979315653024,0.13315760680546201,-32.27884142846764,0.4150547556555207
31,PLS 2-component,None,None,0.6541039593871378,0.09239292123171526,0.7218167851652595,0.08098128504908801
32,PLS 2-component,None,Exponential,0.49052971201348194,0.10897260863607001,-145.00025975306488,0.745777058753102
33,PLS 2-component,None,Logarithm plus 1,0.14192994049394203,0.15336730360497325,-0.27520248708643735,0.2364089141846858
34,PLS 2-component,None,Quantile Transform,0.49052971201348194,0.10897260863607001,0.6996322567368956,0.08027241281325652
35,PLS 2-component,Exponential,None,0.6725309036999553,0.09068483689132627,0.5696206501371079,0.11182737146011269
36,PLS 2-component,Exponential,Exponential,0.47857405892084615,0.11114889361647831,0.22982459795776533,0.1014249579270885
37,PLS 2-component,Exponential,Logarithm plus 1,0.12832669392040352,0.15240300594945477,-0.6083989239364171,0.1715832150626546
