,Model,y transform,x transform,r2 train,mae train,r2 test,mae test
0,PLS 1-component,None,None,0.6346109722743497,0.09828186951083456,0.6205079196869734,0.0879369533521649
1,PLS 1-component,None,Exponential,0.3790155636029727,0.1203317384378178,-0.30210268371002336,0.15298693874710956
2,PLS 1-component,None,Logarithm plus 1,0.10329384400604147,0.15363777480356608,-0.6648899956040972,0.23371614994173767
3,PLS 1-component,None,Quantile Transform,0.3790155636029727,0.1203317384378178,-0.2543306379172159,0.213606592536044
4,PLS 1-component,Exponential,None,0.6484684053310864,0.09677615879187856,0.5846381383838635,0.1116509816937248
5,PLS 1-component,Exponential,Exponential,0.38049102537666357,0.12179962767438607,-0.2914783164078587,0.1748539269586389
6,PLS 1-component,Exponential,Logarithm plus 1,0.09473442219348449,0.1538436205784994,-1.828514508457415,0.22482703479047697
7,PLS 1-component,LogarithmReciprocol,None,0.5620620478274849,0.10252600583685997,0.1518098474420685,0.12605499698949174
8,PLS 1-component,LogarithmReciprocol,Exponential,0.27097656139339,0.1234760744530255,-0.4896102388366288,0.22092392414987932
9,PLS 1-component,LogarithmReciprocol,Logarithm plus 1,0.06809547689398943,0.15618941961085095,-0.486682251284144,0.17552043599431133
10,PLS 1-component,LogarithmReciprocol,Quantile Transform,0.2709765613933899,0.1234760744530255,0.05915469105563542,0.15714685015720514
11,PLS 1-component,Logarithm plus 1,None,0.6171603800928529,0.0995873235944478,0.5516868109731372,0.08140057566363976
12,PLS 1-component,Logarithm plus 1,Exponential,0.36053343151054273,0.12100671637326939,0.2877159446493762,0.15321944960936715
13,PLS 1-component,Logarithm plus 1,Logarithm plus 1,0.09959636050776,0.1539991113855648,-0.6746111809058242,0.23408501492441544
14,PLS 1-component,Logarithm plus 1,Quantile Transform,0.36053343151054273,0.12100671637326939,-2.6816613318621707,0.17954520121755094
15,PLS 1-component,Exponential minus one,None,0.233797176360085,0.12176558271122764,0.4819258008503545,0.09726873854506952
16,PLS 1-component,Exponential minus one,Exponential,-4.5588568581492925,0.17827593168559128,0.1845424496425777,0.126556801550401
17,PLS 1-component,Exponential minus one,Logarithm plus 1,-0.05435786627770378,0.16792377873120054,0.019583884202563406,0.1492906307286632
18,PLS 1-component,Exponential minus one,Quantile Transform,-4.558856858149292,0.17827593168559128,0.42250685255836695,0.1623736957413904
19,PLS 1-component,Quantile Transform,None,0.6234839584140992,0.0989698120953463,0.2324548670959633,0.11797712185282178
20,PLS 1-component,Quantile Transform,Exponential,0.40515426133351995,0.11805070277600088,0.2566321767965578,0.12278807016696132
21,PLS 1-component,Quantile Transform,Logarithm plus 1,0.10705709063358315,0.153137749760515,0.016681023859639543,0.16078960100213668
22,PLS 1-component,Quantile Transform,Quantile Transform,0.40515426133352017,0.11805070277600087,0.29713955542170634,0.12338960334480721
23,PLS 1-component,Normal Quantile Transform,None,0.6364688280546309,0.08961736948324729,0.6613290185359818,0.08183509123462078
24,PLS 1-component,Normal Quantile Transform,Exponential,0.3398058960851954,0.11728197921004795,0.31719899453700207,0.11780364681432627
25,PLS 1-component,Normal Quantile Transform,Logarithm plus 1,0.0890227717230887,0.15668936777536038,0.16843441064910425,0.18627383176890627
26,PLS 1-component,Normal Quantile Transform,Quantile Transform,0.3398058960851953,0.11728197921004795,-0.07814421489737366,0.1755864907851949
27,PLS 1-component,Power Transform,None,0.6359524509291805,0.09817195002807498,0.6092290687924187,0.10243432426748596
28,PLS 1-component,Power Transform,Exponential,0.3799718691274051,0.12041747440779657,0.25213942202088746,0.10213817781789482
29,PLS 1-component,Power Transform,Logarithm plus 1,0.1032540365597373,0.15363103131851494,-0.18789644801712924,0.16409001295192974
30,PLS 1-component,Power Transform,Quantile Transform,0.37997186912740544,0.12041747440779656,-2.786121352425026,0.1890561706142449
31,PLS 2-component,None,None,0.6721038427494781,0.08966987847479711,0.5772649212574026,0.07410233414509883
32,PLS 2-component,None,Exponential,0.4288159881234668,0.11463253337243053,-1.6423329923167795,0.18227711819362397
33,PLS 2-component,None,Logarithm plus 1,0.10396827220560112,0.1541839663854555,-1.362520259951712,0.23323290904572946
34,PLS 2-component,None,Quantile Transform,0.4288159881234668,0.11463253337243054,0.1344768585342263,0.13337612679975605
35,PLS 2-component,Exponential,None,0.6883683783168306,0.08798020829648427,0.7392284698249174,0.0857170828115969
36,PLS 2-component,Exponential,Exponential,0.43315245195331764,0.11545284085907731,-1.4958540571791201,0.18322488832331182
37,PLS 2-component,Exponential,Quantile Transform,0.43315245195331764,0.11545284085907732,0.6221011766842564,0.07946729493970169
38,PLS 2-component,LogarithmReciprocol,None,0.5931260979661053,0.09734265956445537,0.5020486075837048,0.10057932514270093
39,PLS 2-component,LogarithmReciprocol,Exponential,0.38198914823690655,0.11856131255542737,0.3195222453593296,0.0885818709656853
40,PLS 2-component,LogarithmReciprocol,Logarithm plus 1,0.07124916108851942,0.156633930903924,-0.06378105447399895,0.18060907524522732
41,PLS 2-component,LogarithmReciprocol,Quantile Transform,0.38198914823690655,0.11856131255542737,0.5117269291689499,0.1202887104690825
42,PLS 2-component,Logarithm plus 1,None,0.6539813409555655,0.0914591807871914,0.6455033079376717,0.08371263155628585
43,PLS 2-component,Logarithm plus 1,Exponential,0.41939166154446605,0.11491128900532549,-1.4635159909567323,0.1441840741820502
44,PLS 2-component,Logarithm plus 1,Logarithm plus 1,0.10116420426480055,0.15452770811457517,-0.9800704462002547,0.19379485253661397
