,Leaf number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
0,1,1,64,50,3054.59,664.2139999999999,421.355,287.566,187.89700000000002,115.93299999999999,White LED,12.5 mA,b'OK Read',10:23:54,24.12891152,19.63007553,4.498835993999999,2.155126599,1.7543981709999998,0.40072842799999997
1,1,1,64,50,5922.75,1275.713,820.533,556.275,365.35400000000004,219.662,White LED,25 mA,b'OK Read',10:23:55,24.12891152,19.63007553,4.498835993999999,2.155126599,1.7543981709999998,0.40072842799999997
2,1,1,64,50,11071.097,2403.822,1585.625,1084.264,688.954,414.917,White LED,50 mA,b'OK Read',10:23:56,24.12891152,19.63007553,4.498835993999999,2.155126599,1.7543981709999998,0.40072842799999997
3,1,1,64,50,13085.98,2888.803,1929.362,1334.1170000000002,814.2189999999999,494.23900000000003,White LED,100 mA,b'OK Read',10:23:57,24.12891152,19.63007553,4.498835993999999,2.155126599,1.7543981709999998,0.40072842799999997
4,1,1,64,100,3033.079,664.2139999999999,426.899,287.566,187.89700000000002,112.882,White LED,12.5 mA,b'OK Read',10:23:58,24.12891152,19.63007553,4.498835993999999,2.155126599,1.7543981709999998,0.40072842799999997
5,1,1,64,100,5890.483,1275.712,823.306,556.275,365.35400000000004,219.662,White LED,25 mA,b'OK Read',10:23:59,24.12891152,19.63007553,4.498835993999999,2.155126599,1.7543981709999998,0.40072842799999997
6,1,1,64,100,11010.149,2393.278,1560.6770000000001,1055.979,686.345,411.866,White LED,50 mA,b'OK Read',10:24:00,24.12891152,19.63007553,4.498835993999999,2.155126599,1.7543981709999998,0.40072842799999997
7,1,1,64,100,13103.906,2836.0879999999997,1887.781,1275.1889999999999,816.829,491.18800000000005,White LED,100 mA,b'OK Read',10:24:01,24.12891152,19.63007553,4.498835993999999,2.155126599,1.7543981709999998,0.40072842799999997
8,1,1,64,150,3023.5190000000002,643.128,419.50699999999995,281.28,186.157,111.865,White LED,12.5 mA,b'OK Read',10:24:02,24.12891152,19.63007553,4.498835993999999,2.155126599,1.7543981709999998,0.40072842799999997
9,1,1,64,150,5874.948,1256.383,820.534,551.561,363.615,219.662,White LED,25 mA,b'OK Read',10:24:03,24.12891152,19.63007553,4.498835993999999,2.155126599,1.7543981709999998,0.40072842799999997
10,1,1,64,150,10968.322,2386.25,1602.2579999999998,1079.5510000000002,685.475,410.849,White LED,50 mA,b'OK Read',10:24:04,24.12891152,19.63007553,4.498835993999999,2.155126599,1.7543981709999998,0.40072842799999997
11,1,1,64,150,13136.173,2911.647,2023.6129999999998,1373.402,824.658,496.273,White LED,100 mA,b'OK Read',10:24:05,24.12891152,19.63007553,4.498835993999999,2.155126599,1.7543981709999998,0.40072842799999997
12,1,1,64,200,3020.531,666.85,439.37300000000005,295.816,187.89700000000002,112.882,White LED,12.5 mA,b'OK Read',10:24:06,24.12891152,19.63007553,4.498835993999999,2.155126599,1.7543981709999998,0.40072842799999997
13,1,1,64,200,5865.387,1279.6660000000002,849.64,572.775,365.355,219.662,White LED,25 mA,b'OK Read',10:24:07,24.12891152,19.63007553,4.498835993999999,2.155126599,1.7543981709999998,0.40072842799999997
14,1,1,64,200,10949.201000000001,2439.405,1697.894,1156.156,691.564,414.917,White LED,50 mA,b'OK Read',10:24:08,24.12891152,19.63007553,4.498835993999999,2.155126599,1.7543981709999998,0.40072842799999997
15,1,1,64,200,13148.721000000001,2982.373,2117.863,1457.865,833.791,501.866,White LED,100 mA,b'OK Read',10:24:10,24.12891152,19.63007553,4.498835993999999,2.155126599,1.7543981709999998,0.40072842799999997
16,1,1,64,250,3014.4359999999997,677.92,452.402,308.308,189.984,113.492,White LED,12.5 mA,b'OK Read',10:24:12,24.12891152,19.63007553,4.498835993999999,2.155126599,1.7543981709999998,0.40072842799999997
17,1,1,64,250,5852.48,1289.4180000000001,859.342,587.389,367.44199999999995,219.662,White LED,25 mA,b'OK Read',10:24:13,24.12891152,19.63007553,4.498835993999999,2.155126599,1.7543981709999998,0.40072842799999997
18,1,1,64,250,10924.821000000002,2435.451,1690.964,1160.635,691.0419999999999,413.69699999999995,White LED,50 mA,b'OK Read',10:24:15,24.12891152,19.63007553,4.498835993999999,2.155126599,1.7543981709999998,0.40072842799999997
19,1,1,64,250,13147.646,2971.039,2108.993,1459.514,835.096,501.561,White LED,100 mA,b'OK Read',10:24:17,24.12891152,19.63007553,4.498835993999999,2.155126599,1.7543981709999998,0.40072842799999997
20,1,2,64,50,3154.9759999999997,685.3,449.07599999999996,301.709,187.89700000000002,115.93299999999999,White LED,12.5 mA,b'OK Read',10:24:28,24.12891152,19.63007553,4.498835993999999,2.155126599,1.7543981709999998,0.40072842799999997
21,1,2,64,50,6109.181,1302.07,848.2539999999999,565.703,370.574,219.662,White LED,25 mA,b'OK Read',10:24:29,24.12891152,19.63007553,4.498835993999999,2.155126599,1.7543981709999998,0.40072842799999997
