Leaf No.,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
1,24.12891152,19.63007553,4.498835994,2.155126599,1.754398171,0.400728428
2,8.262535663,7.00980406,1.252731603,0.889588551,0.754299179,0.135289372
3,8.058497403,6.829187396,1.229310006,0.754638164,0.638723245,0.115914919
4,4.119555461,3.78722344,0.332332021,0.417294756,0.383583945,0.033710811
5,22.37215188,18.4507667,3.921385175,2.047048235,1.688085779,0.358962457
6,6.642405665,5.945800225,0.696605441,0.75186684,0.672973392,0.078893449
7,6.802617245,6.01677395,0.785843296,0.687353268,0.6083133,0.079039967
8,3.191289995,2.950135578,0.241154417,0.394482885,0.364212291,0.030270594
9,6.970479357,6.045766428,0.924712928,0.636728619,0.552326734,0.084401886
10,21.4643025,17.7246249,3.739677599,2.17671785,1.797142721,0.379575129
11,12.31811558,10.58929995,1.728815637,1.167927301,1.003790222,0.164137079
12,17.77301329,14.70633405,3.066679242,2.095760188,1.734124164,0.361636024
13,8.341274355,7.148699473,1.192574882,0.852759686,0.730823185,0.121936501
14,20.26094802,16.8765116,3.384436428,1.999854095,1.665713905,0.33414019
15,4.571571841,4.109723106,0.461848734,0.450637881,0.404652748,0.045985133
16,7.95216807,6.941628351,1.010539719,0.9117852,0.796262664,0.115522536
17,32.24029458,26.13324059,6.107053987,2.249951567,1.823396006,0.426555561
18,21.79069738,17.84634018,3.944357203,2.183246786,1.786886547,0.396360239
19,42.33249078,34.08798503,8.244505749,2.920105967,2.351439547,0.56866642
20,46.77751998,37.388569,9.38895098,3.034177938,2.425172176,0.609005762
21,40.39720041,32.52003333,7.877167087,2.849456314,2.293190764,0.55626555
22,9.834843474,8.371776504,1.463066971,0.870212263,0.740478762,0.1297335
23,28.04825949,22.75448508,5.293774414,2.626493391,2.130591931,0.495901461
24,31.58517209,25.3160658,6.269106285,1.930033646,1.546974848,0.383058799
25,35.80126854,28.92993799,6.871330551,2.786274431,2.251448732,0.534825699
26,20.74757178,16.86493441,3.882637366,1.834372162,1.490997374,0.343374788
27,29.14193016,24.117611,5.024319162,2.423772397,2.005738045,0.418034352
28,35.28520431,28.85770201,6.427502299,2.418592552,1.977906093,0.440686459
29,41.19024781,33.20720568,7.983042135,2.314702097,1.866046,0.448656098
30,25.07183042,20.50585461,4.565975808,2.362691151,1.932354299,0.430336852
31,31.28012858,25.35031163,5.92981695,2.896948616,2.347838946,0.549109669
32,38.29160831,31.21586852,7.075739784,2.806308712,2.287786927,0.518521784
33,45.79441654,36.16824409,9.626172455,3.631587374,2.868055108,0.763532266
34,34.35972114,27.64177847,6.717942672,2.929088021,2.355474265,0.573613756
35,22.90949204,18.77788152,4.13161051,2.183849364,1.789887586,0.393961778
36,23.1929075,17.49759261,5.695314894,2.386853871,1.798018087,0.588835785
37,22.08181682,18.2699787,3.811838124,1.893637592,1.566759625,0.326877967
38,33.7335762,27.42451959,6.309056613,2.119587965,1.723234486,0.396353478
39,24.76033576,20.28088468,4.479451086,2.143342263,1.755555384,0.387786879
40,27.87135256,22.59781818,5.273534382,2.957234201,2.397592314,0.559641887
41,23.94511801,19.60343307,4.34168494,1.680302386,1.375686225,0.30461616
42,20.15467057,16.37615398,3.77851658,1.614712109,1.31199333,0.30271878
43,31.15017645,25.19746921,5.952707238,2.731697368,2.209128586,0.522568783
44,24.00746976,19.57918465,4.428285115,1.755736461,1.431986508,0.323749953
45,26.89243199,21.88646027,5.005971721,2.17340985,1.768615821,0.40479403
46,16.19300339,13.16338057,3.029622818,1.445749198,1.175152308,0.270596891
47,22.50631833,18.34497025,4.161348078,1.951453732,1.590429317,0.361024416
48,18.68269238,15.21289131,3.469801073,1.742023102,1.418548311,0.323474791
49,30.34459299,24.41968986,5.924903131,1.896007199,1.525440213,0.370566986
50,18.61879544,15.26531953,3.353475906,1.611942941,1.321647255,0.290295686
51,6.970573672,5.922119262,1.048454411,0.640717144,0.545312867,0.095404278
52,26.54998939,21.55639811,4.993591286,1.877722519,1.52432216,0.353400359
53,32.63734251,26.42514599,6.212196521,2.097959209,1.698657402,0.399301807
54,35.64191365,28.64382354,6.998090118,2.314729379,1.860309629,0.45441975
55,30.05557363,24.14840175,5.907171882,2.222770464,1.78604498,0.436725484
56,9.583878396,7.89641681,1.687461586,0.874142339,0.720179479,0.153962861
57,24.43857647,20.07463001,4.363946461,2.017985647,1.656896973,0.361088674
58,2.725630929,2.535042009,0.19058892,0.199768743,0.185732169,0.014036573
59,14.29965182,11.81930788,2.480343936,1.117823199,0.923500484,0.194322715
60,30.57870521,25.12480567,5.453899539,2.500055852,2.054086933,0.445968919
61,16.56418068,13.59456116,2.969619517,1.395770278,1.145526904,0.250243374
62,12.42925184,10.34929146,2.079960387,1.125132889,0.936631111,0.188501778
63,23.69654728,19.33047873,4.366068551,1.764884051,1.439827715,0.325056337
64,32.22220179,25.51881823,6.703383556,2.119941223,1.678866882,0.441074342
65,44.22934773,34.83165059,9.397697138,4.139644079,3.258332172,0.881311907
66,46.43683478,37.29691354,9.139921247,3.653488999,2.934330492,0.719158508
67,38.5316278,31.07725669,7.454371114,2.558221283,2.063333626,0.494887656
68,41.83511982,33.47975604,8.355363781,3.4825955,2.787024033,0.695571467
69,47.82949864,38.38587002,9.443628618,4.022509349,3.228231793,0.794277556
70,55.10028373,43.70789339,11.39239034,3.623534896,2.874451678,0.749083218
71,51.70545849,41.37046993,10.33498857,3.70166868,2.961918398,0.739750282
72,62.56345445,49.77774005,12.7857144,3.875767008,3.083540942,0.792226066
73,54.4024687,42.65620005,11.74626866,4.102862167,3.217004462,0.885857706
74,51.22163432,40.79894524,10.42268908,3.954586472,3.149968694,0.804617778
75,49.08002853,44.06054727,5.019481267,3.523857922,3.153490598,0.370367324
76,42.13864485,34.34664435,7.792000503,3.733473414,3.041935071,0.691538343
77,51.67352338,41.83316121,9.84036217,3.715936666,3.008951014,0.706985652
78,56.69399448,45.44878923,11.24520525,4.333457171,3.473774043,0.859683128
79,54.64510465,43.89974456,10.74536009,4.739399335,3.806473402,0.932925934
80,44.73456179,34.50986065,10.22470114,4.082251417,3.154697917,0.9275535
81,50.65924563,40.80449726,9.854748372,4.361709131,3.516600148,0.845108983
82,50.80051402,41.19433638,9.606177641,4.352526465,3.529480808,0.823045657
83,47.69462876,37.68869161,10.00593714,4.214118541,3.330031458,0.884087084
84,58.98609637,47.57689908,11.4091973,4.102078702,3.308589916,0.793488786
85,61.19142675,47.78482941,13.40659735,4.950082761,3.866228081,1.08385468
86,56.7534822,45.1841472,11.569335,4.766573718,3.794867159,0.971706559
87,55.07307381,43.42378785,11.64928596,4.194132629,3.305766531,0.888366098
88,44.86081284,35.79207438,9.068738456,4.276437512,3.411996511,0.864441002
89,66.96124119,52.90683077,14.05441042,5.119260108,4.044790393,1.074469715
90,64.04693122,50.21255806,13.83437316,5.125990452,4.018774331,1.10721612
91,42.96799258,34.11465107,8.853341507,3.979039494,3.15943511,0.819604385
92,53.40243962,42.28767851,11.11476111,4.621729301,3.659991911,0.961737391
93,53.21092012,42.40193503,10.80898509,4.527493034,3.607685005,0.91980803
94,64.74168023,50.83467497,13.90700526,4.324023349,3.395239906,0.928783443
95,59.03500507,46.2903492,12.74465587,4.245897491,3.329392333,0.916505158
96,52.68914197,41.28557214,11.40356983,3.991908523,3.128148125,0.863760398
97,50.9486564,40.017857,10.9307994,4.051040404,3.18130588,0.869734524
98,59.1115819,46.41236236,12.69921955,4.458081053,3.500179658,0.957901394
99,52.74285288,41.51201496,11.23083791,4.110366944,3.234900126,0.875466818
100,49.37347858,39.04075358,10.33272501,4.442920364,3.513079636,0.929840727
