Leaf No.,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
1,46.05352228,36.79441811,9.259104163,2.160390279,1.726104995,0.434285284
2,45.52574725,37.1840403,8.341706947,2.399658327,1.960030663,0.439627665
3,36.24924508,29.82712189,6.422123191,1.886321971,1.552139084,0.334182887
4,30.19098661,24.76916995,5.421816667,1.842125218,1.511298551,0.330826667
5,25.64496318,20.76103527,4.883927912,1.144538363,0.926625747,0.217912616
6,30.71914833,24.96217962,5.756968711,1.440644516,1.170601897,0.270042619
7,46.64230506,37.597727,9.044578058,2.431529489,1.960062737,0.471466752
8,47.22782611,38.50042363,8.727402482,2.278769626,1.857812384,0.420957242
9,11.64557466,9.908003429,1.737571228,0.710390222,0.604174518,0.106215704
10,55.452371,42.5075658,12.9448052,2.572824875,1.973969793,0.598855082
11,19.08562244,16.14682197,2.938800469,1.087319787,0.919907083,0.167412704
12,28.69756745,24.1122036,4.58536386,1.601791885,1.345853103,0.255938782
13,7.806609921,6.909345846,0.897264074,0.390269422,0.345275363,0.044994059
14,53.0116605,43.22043023,9.791230262,2.555521451,2.083746405,0.471775045
15,8.678608537,7.602073362,1.076535175,0.460941766,0.403752271,0.057189495
16,32.2201693,26.54903681,5.671132489,1.811610164,1.493378202,0.318231962
17,33.00017684,27.35209026,5.648086581,1.794321153,1.487217308,0.307103846
18,32.72204224,27.06629569,5.655746544,1.779815694,1.472214871,0.307600823
19,35.48871126,29.3716693,6.117041962,1.895366188,1.568563876,0.326802312
20,44.67426375,37.01722195,7.657041805,2.385110702,1.976456,0.408654702
21,26.69702357,22.37756557,4.319458002,1.348426432,1.130160724,0.218265708
22,35.0377292,29.50914778,5.528581422,1.91729791,1.614744644,0.302553266
23,25.48413069,21.6856696,3.798461091,1.385650598,1.179116581,0.206534017
24,41.74339204,34.24368678,7.499705265,2.278297473,1.869177667,0.409119807
25,50.35014266,42.43797364,7.912169013,2.314817203,1.951006764,0.363810439
26,39.11247239,31.75487806,7.357594335,2.013457293,1.639615763,0.373841531
27,47.84454505,39.72534012,8.119204923,2.430293183,2.01781667,0.412476514
28,55.23528801,45.59085615,9.64443187,2.560200875,2.113173552,0.447027322
29,48.35992706,40.32876219,8.031164871,2.414367409,2.013780246,0.400587162
30,39.6042206,33.01542996,6.588790644,2.153825162,1.795326564,0.358498598
31,26.37999575,22.1426611,4.237334654,1.338687137,1.124228895,0.214458241
32,33.70806787,28.63236267,5.075705202,1.831562898,1.556229315,0.275333583
33,36.59704636,29.85107323,6.745973136,1.858929175,1.516337942,0.342591232
34,25.73783059,21.59019279,4.147637798,1.331848908,1.117227649,0.214621258
35,41.28433818,34.24904702,7.035291159,2.218294151,1.840236634,0.378057516
36,36.85378793,30.67110891,6.182679022,1.861201054,1.548901179,0.312299874
37,30.49634293,25.59601047,4.900332461,1.55280195,1.303341531,0.24946042
38,42.75473501,35.66948512,7.085249896,2.11661762,1.764712234,0.351905385
39,46.855822,39.51641162,7.339410373,2.597650022,2.190758867,0.406891155
40,32.21103173,26.7245463,5.486485424,1.774847235,1.47257173,0.302275505
41,32.63164745,27.53546014,5.09618731,1.886746214,1.591694819,0.295051396
42,29.73552302,25.15242586,4.583097152,1.705304081,1.442302319,0.263001763
43,28.88168007,23.53890893,5.342771136,1.701251296,1.386539815,0.314711481
44,28.14873971,23.59112023,4.557619485,1.493273769,1.251452277,0.241821492
45,39.81650987,32.00364999,7.812859871,1.909423278,1.534775901,0.374647377
46,40.6178067,33.49805946,7.119747235,2.0026424,1.651668831,0.35097357
