Fruit number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,LED current,saturation check,time
1A,1,64,50,6242.526,5858.551,12307.688,12470.045,9972.99,3246.133,White LED,12.5 mA,b'OK Read',10:34:00
1A,1,64,50,12115.082,11229.904,23971.275,24283.772,19459.839,6331.792,White LED,25 mA,b'OK Read',10:34:01
1A,1,64,50,22656.319,21010.393,45274.897,45828.125,36583.364,11852.052,White LED,50 mA,b'OK Read',10:34:02
1A,1,64,50,29568.315,27392.681,59461.211,60172.007,47943.984,15483.319,White LED,100 mA,b'OK Read',10:34:03
1A,1,64,100,6230.781,5678.896,12299.636,12370.17,10015.469,3207.161,White LED,12.5 mA,b'OK Read',10:34:04
1A,1,64,100,12109.209,11074.609,23882.71,24174.385,19429.16,6253.849,White LED,25 mA,b'OK Read',10:34:06
1A,1,64,100,22729.727,20915.999,44657.637,45640.269,35764.475,11801.619,White LED,50 mA,b'OK Read',10:34:07
1A,1,64,100,29124.939,30562.51,57837.544,60181.519,44578.75,15279.289,White LED,100 mA,b'OK Read',10:34:08
1A,1,64,150,5984.134,6400.558,11897.968,12281.392,9074.65,3090.245,White LED,12.5 mA,b'OK Read',10:34:09
1A,1,64,150,11007.126,12449.927,22538.151,23670.256,17022.835,5914.564,White LED,25 mA,b'OK Read',10:34:10
1A,1,64,150,20861.274,23334.733,42131.331,44426.712,31692.051,11068.029,White LED,50 mA,b'OK Read',10:34:12
1A,1,64,150,27111.631,30715.775,55523.255,58700.84,41592.673,14589.258,White LED,100 mA,b'OK Read',10:34:13
1A,1,64,200,5733.082,6359.451,11711.895,12152.587,8953.508,3070.759,White LED,12.5 mA,b'OK Read',10:34:14
1A,1,64,200,11228.326,12368.728,22617.322,23695.225,17291.079,5977.607,White LED,25 mA,b'OK Read',10:34:15
1A,1,64,200,21029.622,23143.406,42218.105,44406.103,32184.487,11187.237,White LED,50 mA,b'OK Read',10:34:16
1A,1,64,200,27869.68,30471.162,55928.052,58899.795,42579.902,14833.406,White LED,100 mA,b'OK Read',10:34:17
1A,1,64,250,5792.689,6306.772,11686.131,12112.398,8987.491,3076.49,White LED,12.5 mA,b'OK Read',10:34:19
1A,1,64,250,11159.029,12290.776,22435.094,23511.408,17104.646,5909.062,White LED,25 mA,b'OK Read',10:34:20
1A,1,64,250,20717.201,23066.367,41689.406,43955.242,31570.91,10996.504,White LED,50 mA,b'OK Read',10:34:21
1A,1,64,250,27451.848,30466.898,55328.234,58429.434,41903.551,14632.355,White LED,100 mA,b'OK Read',10:34:23
1A,2,64,50,6518.537,5529.693,13043.036,12726.865,10647.925,3168.189,White LED,12.5 mA,b'OK Read',10:34:30
1A,2,64,50,12596.631,10992.395,25441.97,24916.308,20635.075,6226.339,White LED,25 mA,b'OK Read',10:34:31
1A,2,64,50,23525.457,20504.927,47786.89,46926.748,38504.333,11686.995,White LED,50 mA,b'OK Read',10:34:32
1A,2,64,50,30748.699,26613.167,62971.562,61655.859,50865.557,15309.092,White LED,100 mA,b'OK Read',10:34:34
1A,2,64,100,6430.448,5493.153,12924.95,12617.478,10555.889,3159.019,White LED,12.5 mA,b'OK Read',10:34:35
1A,2,64,100,12435.135,10706.166,25146.758,24628.577,20458.082,6136.933,White LED,25 mA,b'OK Read',10:34:36
1A,2,64,100,23296.428,20093.854,47309.185,46356.035,38324.981,11492.135,White LED,50 mA,b'OK Read',10:34:37
1A,2,64,100,30651.802,26351.297,62493.853,61258.735,50539.888,15176.129,White LED,100 mA,b'OK Read',10:34:38
1A,2,64,150,6391.298,5450.523,12817.6,12528.701,10482.731,3145.264,White LED,12.5 mA,b'OK Read',10:34:40
1A,2,64,150,12375.431,10614.816,24983.944,24494.618,20361.325,6113.244,White LED,25 mA,b'OK Read',10:34:41
1A,2,64,150,23194.636,19928.41,46944.193,46008.851,38090.563,11419.54,White LED,50 mA,b'OK Read',10:34:42
1A,2,64,150,30627.334,26217.318,62334.616,61062.949,50495.837,15128.752,White LED,100 mA,b'OK Read',10:34:43
1A,2,64,200,6367.318,5409.415,12797.472,12506.903,10468.572,3133.802,White LED,12.5 mA,b'OK Read',10:34:44
1A,2,64,200,12358.793,10607.205,24925.349,24426.448,20299.968,6086.499,White LED,25 mA,b'OK Read',10:34:46
1A,2,64,200,23117.315,19830.463,46779.141,45809.102,37959.194,11343.125,White LED,50 mA,b'OK Read',10:34:47
1A,2,64,200,30598.95,26127.49,62189.248,60887.774,50382.954,15059.213,White LED,100 mA,b'OK Read',10:34:48
1A,2,64,250,6340.011,5395.713,12754.264,12471.947,10437.421,3125.091,White LED,12.5 mA,b'OK Read',10:34:49
1A,2,64,250,12297.131,10555.135,24870.869,24363.67,20284.865,6068.618,White LED,25 mA,b'OK Read',10:34:50
1A,2,64,250,23029.812,19758.297,46615.703,45645.5,37864.324,11302.777,White LED,50 mA,b'OK Read',10:34:52
1A,2,64,250,30525.543,26040.709,61992.527,60716.086,50287.848,15011.071,White LED,100 mA,b'OK Read',10:34:54
1A,3,64,50,6318.869,5529.693,12715.618,12527.115,10393.056,3163.604,White LED,12.5 mA,b'OK Read',10:34:59
1A,3,64,50,12232.533,10760.976,24792.502,24450.23,20172.533,6152.981,White LED,25 mA,b'OK Read',10:35:00
